Agg(open=4.64, high=4.64, low=4.45, close=4.5, volume=537506, vwap=4.5112, timestamp=1695042000000, transactions=2382, otc=None)
Agg(open=4.51, high=4.52, low=4.43, close=4.475, volume=816828, vwap=4.4619, timestamp=1695045600000, transactions=3432, otc=None)
Agg(open=4.48, high=4.5, low=4.47, close=4.495, volume=539427, vwap=4.484, timestamp=1695049200000, transactions=2395, otc=None)
Agg(open=4.495, high=4.5, low=4.46, close=4.48, volume=426145, vwap=4.477, timestamp=1695052800000, transactions=1814, otc=None)
Agg(open=4.47, high=4.5, low=4.47, close=4.47, volume=321425, vwap=4.489, timestamp=1695056400000, transactions=1671, otc=None)
Agg(open=4.47, high=4.49, low=4.465, close=4.485, volume=518541, vwap=4.4769, timestamp=1695060000000, transactions=2011, otc=None)
Agg(open=4.485, high=4.51, low=4.45, close=4.455, volume=1088829.0, vwap=4.4736, timestamp=1695063600000, transactions=4944, otc=None)
Agg(open=4.46, high=4.46, low=4.46, close=4.46, volume=53439, vwap=4.46, timestamp=1695067200000, transactions=17, otc=None)
Agg(open=4.45, high=4.4632, low=4.45, close=4.4632, volume=2500, vwap=4.4599, timestamp=1695074400000, transactions=2, otc=None)
Agg(open=4.42, high=4.42, low=4.42, close=4.42, volume=4967, vwap=4.42, timestamp=1695078000000, transactions=1, otc=None)
Agg(open=4.47, high=4.7, low=4.46, close=4.58, volume=52414, vwap=4.6089, timestamp=1695124800000, transactions=173, otc=None)
Agg(open=4.59, high=4.74, low=4.52, close=4.6, volume=1406401.0, vwap=4.6394, timestamp=1695128400000, transactions=4079, otc=None)
Agg(open=4.61, high=4.61, low=4.53, close=4.54, volume=1310454.0, vwap=4.5641, timestamp=1695132000000, transactions=5156, otc=None)
Agg(open=4.545, high=4.59, low=4.535, close=4.54, volume=646040, vwap=4.5596, timestamp=1695135600000, transactions=3266, otc=None)
Agg(open=4.545, high=4.55, low=4.52, close=4.5475, volume=636526, vwap=4.5311, timestamp=1695139200000, transactions=3205, otc=None)
Agg(open=4.545, high=4.57, low=4.53, close=4.53, volume=685219, vwap=4.5523, timestamp=1695142800000, transactions=3240, otc=None)
Agg(open=4.535, high=4.5575, low=4.5, close=4.505, volume=1043267.0, vwap=4.5423, timestamp=1695146400000, transactions=3462, otc=None)
Agg(open=4.5, high=4.52, low=4.48, close=4.5, volume=1973468.0, vwap=4.5002, timestamp=1695150000000, transactions=8434, otc=None)
Agg(open=4.5, high=4.5, low=4.5, close=4.5, volume=48163, vwap=4.5, timestamp=1695153600000, transactions=8, otc=None)
Agg(open=4.52, high=4.52, low=4.52, close=4.52, volume=1000, vwap=4.52, timestamp=1695157200000, transactions=1, otc=None)
Agg(open=4.51, high=4.52, low=4.51, close=4.52, volume=2401, vwap=4.519, timestamp=1695164400000, transactions=6, otc=None)
Agg(open=4.5, high=4.5, low=4.5, close=4.5, volume=121, vwap=4.5005, timestamp=1695207600000, transactions=3, otc=None)
Agg(open=4.56, high=4.56, low=4.56, close=4.56, volume=100, vwap=4.56, timestamp=1695211200000, transactions=1, otc=None)
Agg(open=4.55, high=4.595, low=4.51, close=4.535, volume=327997, vwap=4.5451, timestamp=1695214800000, transactions=1623, otc=None)
Agg(open=4.54, high=4.54, low=4.495, close=4.495, volume=607415, vwap=4.5237, timestamp=1695218400000, transactions=2498, otc=None)
Agg(open=4.495, high=4.52, low=4.47, close=4.495, volume=881049, vwap=4.4949, timestamp=1695222000000, transactions=2855, otc=None)
Agg(open=4.49, high=4.505, low=4.47, close=4.485, volume=648941, vwap=4.4871, timestamp=1695225600000, transactions=2171, otc=None)
Agg(open=4.485, high=4.49, low=4.45, close=4.45, volume=509741, vwap=4.4701, timestamp=1695229200000, transactions=2219, otc=None)
Agg(open=4.45, high=4.455, low=4.41, close=4.415, volume=1110544.0, vwap=4.4286, timestamp=1695232800000, transactions=4005, otc=None)
Agg(open=4.415, high=4.42, low=4.37, close=4.375, volume=1801507.0, vwap=4.384, timestamp=1695236400000, transactions=6882, otc=None)
Agg(open=4.38, high=4.38, low=4.38, close=4.38, volume=86384, vwap=4.38, timestamp=1695240000000, transactions=18, otc=None)
Agg(open=4.39, high=4.39, low=4.38, close=4.39, volume=1905, vwap=4.3865, timestamp=1695243600000, transactions=4, otc=None)
