Agg(open=5.32, high=5.32, low=5.32, close=5.32, volume=500, vwap=5.32, timestamp=1685955600000, transactions=5, otc=None)
Agg(open=5.43, high=5.43, low=5.43, close=5.43, volume=200, vwap=5.43, timestamp=1685959200000, transactions=2, otc=None)
Agg(open=5.42, high=5.42, low=5.38, close=5.39, volume=10381, vwap=5.4052, timestamp=1685962800000, transactions=21, otc=None)
Agg(open=5.38, high=5.41, low=5.37, close=5.41, volume=13629, vwap=5.3799, timestamp=1685966400000, transactions=21, otc=None)
Agg(open=5.42, high=5.44, low=5.32, close=5.3499, volume=694975, vwap=5.3754, timestamp=1685970000000, transactions=2804, otc=None)
Agg(open=5.35, high=5.425, low=5.345, close=5.42, volume=651861, vwap=5.404, timestamp=1685973600000, transactions=3585, otc=None)
Agg(open=5.42, high=5.435, low=5.39, close=5.425, volume=586294, vwap=5.4118, timestamp=1685977200000, transactions=2592, otc=None)
Agg(open=5.425, high=5.44, low=5.4, close=5.425, volume=403297, vwap=5.4199, timestamp=1685980800000, transactions=1979, otc=None)
Agg(open=5.43, high=5.43, low=5.4, close=5.415, volume=239355, vwap=5.4172, timestamp=1685984400000, transactions=1604, otc=None)
Agg(open=5.42, high=5.42, low=5.395, close=5.395, volume=294313, vwap=5.4067, timestamp=1685988000000, transactions=1829, otc=None)
Agg(open=5.4, high=5.4, low=5.36, close=5.37, volume=951093, vwap=5.3794, timestamp=1685991600000, transactions=4424, otc=None)
Agg(open=5.37, high=5.38, low=5.36, close=5.38, volume=53202, vwap=5.3716, timestamp=1685995200000, transactions=16, otc=None)
Agg(open=5.4, high=5.4, low=5.4, close=5.4, volume=14900, vwap=5.4, timestamp=1686002400000, transactions=5, otc=None)
Agg(open=5.37, high=5.41, low=5.37, close=5.41, volume=1208, vwap=5.4033, timestamp=1686052800000, transactions=7, otc=None)
Agg(open=5.4, high=5.4, low=5.32, close=5.3493, volume=448691, vwap=5.3452, timestamp=1686056400000, transactions=2256, otc=None)
Agg(open=5.35, high=5.435, low=5.3408, close=5.4099, volume=1134624.0, vwap=5.3913, timestamp=1686060000000, transactions=4299, otc=None)
Agg(open=5.41, high=5.41, low=5.37, close=5.41, volume=663504, vwap=5.3935, timestamp=1686063600000, transactions=3239, otc=None)
Agg(open=5.41, high=5.42, low=5.385, close=5.415, volume=418297, vwap=5.4017, timestamp=1686067200000, transactions=2054, otc=None)
Agg(open=5.42, high=5.42, low=5.395, close=5.41, volume=325663, vwap=5.4069, timestamp=1686070800000, transactions=1647, otc=None)
Agg(open=5.405, high=5.41, low=5.38, close=5.405, volume=446358, vwap=5.3991, timestamp=1686074400000, transactions=1916, otc=None)
Agg(open=5.41, high=5.43, low=5.4, close=5.42, volume=863670, vwap=5.4193, timestamp=1686078000000, transactions=4675, otc=None)
Agg(open=5.42, high=5.42, low=5.42, close=5.42, volume=42728, vwap=5.42, timestamp=1686081600000, transactions=11, otc=None)
Agg(open=5.42, high=5.42, low=5.42, close=5.42, volume=1805, vwap=5.42, timestamp=1686088800000, transactions=2, otc=None)
Agg(open=5.44, high=5.44, low=5.44, close=5.44, volume=397, vwap=5.44, timestamp=1686092400000, transactions=1, otc=None)
Agg(open=5.41, high=5.44, low=5.41, close=5.4384, volume=29591, vwap=5.4332, timestamp=1686139200000, transactions=24, otc=None)
Agg(open=5.45, high=5.67, low=5.4307, close=5.67, volume=959858, vwap=5.5271, timestamp=1686142800000, transactions=3389, otc=None)
Agg(open=5.66, high=5.68, low=5.49, close=5.53, volume=1077849.0, vwap=5.5841, timestamp=1686146400000, transactions=4408, otc=None)
Agg(open=5.525, high=5.555, low=5.455, close=5.455, volume=697142, vwap=5.5082, timestamp=1686150000000, transactions=3276, otc=None)
Agg(open=5.455, high=5.465, low=5.4, close=5.405, volume=674988, vwap=5.4334, timestamp=1686153600000, transactions=2807, otc=None)
Agg(open=5.405, high=5.45, low=5.4, close=5.4397, volume=422038, vwap=5.4227, timestamp=1686157200000, transactions=2205, otc=None)
