Agg(open=6, high=6, low=6, close=6, volume=270, vwap=5.983, timestamp=1689591600000, transactions=5, otc=None)
Agg(open=5.9999, high=5.9999, low=5.86, close=5.86, volume=9270, vwap=5.8986, timestamp=1689595200000, transactions=17, otc=None)
Agg(open=5.88, high=5.89, low=5.7501, close=5.86, volume=1086313.0, vwap=5.8066, timestamp=1689598800000, transactions=3252, otc=None)
Agg(open=5.8599, high=5.94, low=5.845, close=5.925, volume=871399, vwap=5.8954, timestamp=1689602400000, transactions=3522, otc=None)
Agg(open=5.925, high=5.94, low=5.87, close=5.93, volume=564655, vwap=5.9124, timestamp=1689606000000, transactions=2339, otc=None)
Agg(open=5.93, high=5.95, low=5.92, close=5.935, volume=365363, vwap=5.9343, timestamp=1689609600000, transactions=1812, otc=None)
Agg(open=5.935, high=5.95, low=5.92, close=5.945, volume=279312, vwap=5.936, timestamp=1689613200000, transactions=1609, otc=None)
Agg(open=5.95, high=5.95, low=5.91, close=5.925, volume=524854, vwap=5.934, timestamp=1689616800000, transactions=2159, otc=None)
Agg(open=5.92, high=5.95, low=5.91, close=5.92, volume=1210728.0, vwap=5.9328, timestamp=1689620400000, transactions=5914, otc=None)
Agg(open=5.92, high=5.96, low=5.92, close=5.96, volume=62115, vwap=5.9203, timestamp=1689624000000, transactions=11, otc=None)
Agg(open=5.9, high=5.9, low=5.9, close=5.9, volume=216, vwap=5.9, timestamp=1689627600000, transactions=1, otc=None)
Agg(open=5.96, high=5.96, low=5.96, close=5.96, volume=2000, vwap=5.96, timestamp=1689634800000, transactions=1, otc=None)
Agg(open=5.96, high=5.99, low=5.96, close=5.99, volume=3142, vwap=5.9837, timestamp=1689678000000, transactions=12, otc=None)
Agg(open=5.95, high=6.01, low=5.95, close=5.98, volume=26626, vwap=5.9887, timestamp=1689681600000, transactions=19, otc=None)
Agg(open=6.04, high=6.12, low=5.99, close=6.11, volume=905326, vwap=6.0711, timestamp=1689685200000, transactions=3106, otc=None)
