Agg(open=3.82, high=4.02, low=3.82, close=4, volume=61663, vwap=3.9821, timestamp=1679299200000, transactions=220, otc=None)
Agg(open=3.99, high=4.01, low=3.95, close=3.96, volume=69919, vwap=3.9817, timestamp=1679302800000, transactions=139, otc=None)
Agg(open=3.98, high=3.98, low=3.9, close=3.94, volume=25235, vwap=3.9585, timestamp=1679306400000, transactions=43, otc=None)
Agg(open=3.91, high=3.96, low=3.9, close=3.9, volume=15874, vwap=3.9218, timestamp=1679310000000, transactions=46, otc=None)
Agg(open=3.94, high=3.9597, low=3.87, close=3.87, volume=77876, vwap=3.9053, timestamp=1679313600000, transactions=105, otc=None)
Agg(open=3.88, high=3.91, low=3.83, close=3.9, volume=576357, vwap=3.8741, timestamp=1679317200000, transactions=1876, otc=None)
Agg(open=3.905, high=3.91, low=3.84, close=3.8701, volume=777527, vwap=3.8679, timestamp=1679320800000, transactions=2451, otc=None)
Agg(open=3.875, high=3.89, low=3.85, close=3.865, volume=354988, vwap=3.8637, timestamp=1679324400000, transactions=1456, otc=None)
Agg(open=3.865, high=3.89, low=3.86, close=3.865, volume=253452, vwap=3.8769, timestamp=1679328000000, transactions=1210, otc=None)
Agg(open=3.87, high=3.93, low=3.865, close=3.93, volume=480229, vwap=3.9068, timestamp=1679331600000, transactions=1408, otc=None)
Agg(open=3.925, high=3.95, low=3.915, close=3.94, volume=483365, vwap=3.9342, timestamp=1679335200000, transactions=1731, otc=None)
Agg(open=3.935, high=3.96, low=3.92, close=3.935, volume=1450999.0, vwap=3.9405, timestamp=1679338800000, transactions=3546, otc=None)
Agg(open=3.94, high=3.94, low=3.93, close=3.93, volume=10284, vwap=3.9393, timestamp=1679342400000, transactions=3, otc=None)
Agg(open=3.93, high=3.93, low=3.93, close=3.93, volume=794, vwap=3.93, timestamp=1679346000000, transactions=2, otc=None)
Agg(open=3.93, high=3.94, low=3.93, close=3.93, volume=1942, vwap=3.9313, timestamp=1679349600000, transactions=7, otc=None)
Agg(open=3.9, high=3.9, low=3.9, close=3.9, volume=350, vwap=3.9, timestamp=1679353200000, transactions=1, otc=None)
Agg(open=3.9, high=3.9, low=3.9, close=3.9, volume=780, vwap=3.9, timestamp=1679392800000, transactions=1, otc=None)
Agg(open=3.91, high=3.91, low=3.91, close=3.91, volume=400, vwap=3.91, timestamp=1679396400000, transactions=3, otc=None)
Agg(open=3.88, high=3.9, low=3.78, close=3.81, volume=46947, vwap=3.8323, timestamp=1679400000000, transactions=61, otc=None)
Agg(open=3.8, high=3.84, low=3.74, close=3.76, volume=541941, vwap=3.7849, timestamp=1679403600000, transactions=1468, otc=None)
Agg(open=3.755, high=3.78, low=3.71, close=3.765, volume=795502, vwap=3.7422, timestamp=1679407200000, transactions=1877, otc=None)
Agg(open=3.7699, high=3.78, low=3.71, close=3.71, volume=434854, vwap=3.7371, timestamp=1679410800000, transactions=1231, otc=None)
Agg(open=3.71, high=3.7199, low=3.66, close=3.66, volume=813223, vwap=3.6863, timestamp=1679414400000, transactions=1457, otc=None)
Agg(open=3.66, high=3.715, low=3.66, close=3.715, volume=711247, vwap=3.6838, timestamp=1679418000000, transactions=1631, otc=None)
Agg(open=3.715, high=3.75, low=3.7, close=3.725, volume=616930, vwap=3.7241, timestamp=1679421600000, transactions=1644, otc=None)
Agg(open=3.725, high=3.75, low=3.72, close=3.73, volume=1134436.0, vwap=3.7388, timestamp=1679425200000, transactions=2939, otc=None)
Agg(open=3.73, high=3.74, low=3.73, close=3.73, volume=37105, vwap=3.7301, timestamp=1679428800000, transactions=9, otc=None)
Agg(open=3.73, high=3.73, low=3.73, close=3.73, volume=200, vwap=3.73, timestamp=1679432400000, transactions=1, otc=None)
Agg(open=3.72, high=3.72, low=3.72, close=3.72, volume=500, vwap=3.72, timestamp=1679436000000, transactions=1, otc=None)
Agg(open=3.73, high=3.75, low=3.73, close=3.73, volume=7435, vwap=3.7423, timestamp=1679439600000, transactions=18, otc=None)
Agg(open=3.74, high=3.75, low=3.73, close=3.73, volume=4122, vwap=3.7379, timestamp=1679472000000, transactions=17, otc=None)
Agg(open=3.78, high=3.78, low=3.78, close=3.78, volume=1600, vwap=3.78, timestamp=1679475600000, transactions=8, otc=None)
Agg(open=3.78, high=3.78, low=3.77, close=3.78, volume=5700, vwap=3.7796, timestamp=1679479200000, transactions=6, otc=None)
Agg(open=3.79, high=3.8, low=3.77, close=3.79, volume=9100, vwap=3.7879, timestamp=1679482800000, transactions=17, otc=None)
Agg(open=3.7801, high=3.8, low=3.78, close=3.8, volume=11519, vwap=3.7914, timestamp=1679486400000, transactions=38, otc=None)
Agg(open=3.8, high=3.87, low=3.8, close=3.8685, volume=556487, vwap=3.8458, timestamp=1679490000000, transactions=1190, otc=None)
Agg(open=3.865, high=3.99, low=3.86, close=3.98, volume=1512184.0, vwap=3.9327, timestamp=1679493600000, transactions=2327, otc=None)
Agg(open=3.9824, high=3.99, low=3.89, close=3.89, volume=486131, vwap=3.9562, timestamp=1679497200000, transactions=1120, otc=None)
Agg(open=3.89, high=3.925, low=3.89, close=3.915, volume=236436, vwap=3.907, timestamp=1679500800000, transactions=722, otc=None)
Agg(open=3.9199, high=3.936, low=3.9, close=3.9, volume=138704, vwap=3.9143, timestamp=1679504400000, transactions=513, otc=None)
Agg(open=3.9, high=4, low=3.9, close=3.9601, volume=1188527.0, vwap=3.9728, timestamp=1679508000000, transactions=3024, otc=None)
Agg(open=3.965, high=3.98, low=3.92, close=3.92, volume=1133267.0, vwap=3.95, timestamp=1679511600000, transactions=2917, otc=None)
Agg(open=3.93, high=3.98, low=3.93, close=3.98, volume=39462, vwap=3.9315, timestamp=1679515200000, transactions=5, otc=None)
Agg(open=3.95, high=3.95, low=3.95, close=3.95, volume=870, vwap=3.9499, timestamp=1679518800000, transactions=5, otc=None)
Agg(open=4, high=4.1, low=4, close=4.05, volume=50859, vwap=4.0483, timestamp=1679558400000, transactions=68, otc=None)
Agg(open=4.06, high=4.06, low=4.02, close=4.02, volume=300, vwap=4.0467, timestamp=1679562000000, transactions=3, otc=None)
Agg(open=4.02, high=4.02, low=4.02, close=4.02, volume=150, vwap=4.02, timestamp=1679565600000, transactions=2, otc=None)
Agg(open=4.01, high=4.01, low=4, close=4.01, volume=10052, vwap=4.0099, timestamp=1679569200000, transactions=17, otc=None)
Agg(open=4.0199, high=4.03, low=3.95, close=3.96, volume=18488, vwap=3.9835, timestamp=1679572800000, transactions=46, otc=None)
Agg(open=3.96, high=4.01, low=3.91, close=4.005, volume=642005, vwap=3.9688, timestamp=1679576400000, transactions=1350, otc=None)
Agg(open=4.0001, high=4.0299, low=3.96, close=3.96, volume=857043, vwap=3.9967, timestamp=1679580000000, transactions=2092, otc=None)
Agg(open=3.96, high=4.02, low=3.94, close=3.975, volume=392534, vwap=3.983, timestamp=1679583600000, transactions=1165, otc=None)
Agg(open=3.975, high=4.035, low=3.965, close=4.005, volume=324234, vwap=4.0125, timestamp=1679587200000, transactions=1078, otc=None)
Agg(open=4.005, high=4.02, low=3.9725, close=4.015, volume=429963, vwap=3.997, timestamp=1679590800000, transactions=1156, otc=None)
Agg(open=4.02, high=4.04, low=3.97, close=3.975, volume=704548, vwap=4.0132, timestamp=1679594400000, transactions=1733, otc=None)
Agg(open=3.975, high=3.995, low=3.95, close=3.96, volume=726557, vwap=3.9775, timestamp=1679598000000, transactions=2249, otc=None)
Agg(open=3.98, high=3.98, low=3.93, close=3.93, volume=300, vwap=3.9467, timestamp=1679601600000, transactions=2, otc=None)
Agg(open=3.96, high=3.96, low=3.96, close=3.96, volume=1500, vwap=3.96, timestamp=1679605200000, transactions=1, otc=None)
Agg(open=3.94, high=3.95, low=3.92, close=3.92, volume=3400, vwap=3.9476, timestamp=1679644800000, transactions=9, otc=None)
Agg(open=3.96, high=3.98, low=3.95, close=3.98, volume=1106, vwap=3.9641, timestamp=1679648400000, transactions=6, otc=None)
Agg(open=3.98, high=3.99, low=3.98, close=3.99, volume=412, vwap=3.9839, timestamp=1679652000000, transactions=2, otc=None)
Agg(open=4.02, high=4.08, low=4.02, close=4.08, volume=69684, vwap=4.0579, timestamp=1679655600000, transactions=96, otc=None)
Agg(open=4.0499, high=4.12, low=4.0499, close=4.1, volume=42413, vwap=4.096, timestamp=1679659200000, transactions=130, otc=None)
Agg(open=4.1, high=4.12, low=3.99, close=4.01, volume=1087049.0, vwap=4.0385, timestamp=1679662800000, transactions=2187, otc=None)
Agg(open=4, high=4.095, low=3.98, close=4.075, volume=1275973.0, vwap=4.0379, timestamp=1679666400000, transactions=3544, otc=None)
Agg(open=4.075, high=4.085, low=4.04, close=4.045, volume=604769, vwap=4.0633, timestamp=1679670000000, transactions=1263, otc=None)
Agg(open=4.045, high=4.06, low=4.03, close=4.035, volume=566384, vwap=4.0458, timestamp=1679673600000, transactions=1071, otc=None)
Agg(open=4.04, high=4.04, low=4, close=4.005, volume=338764, vwap=4.0202, timestamp=1679677200000, transactions=1215, otc=None)
Agg(open=4.005, high=4.03, low=3.99, close=4.02, volume=388258, vwap=4.0121, timestamp=1679680800000, transactions=1338, otc=None)
Agg(open=4.02, high=4.05, low=4.015, close=4.04, volume=667036, vwap=4.0373, timestamp=1679684400000, transactions=2026, otc=None)
Agg(open=4.05, high=4.05, low=3.98, close=4.04, volume=18756, vwap=4.0493, timestamp=1679688000000, transactions=4, otc=None)
Agg(open=4.05, high=4.05, low=4.05, close=4.05, volume=1000, vwap=4.05, timestamp=1679691600000, transactions=1, otc=None)
Agg(open=4.01, high=4.01, low=4.01, close=4.01, volume=206, vwap=4.01, timestamp=1679695200000, transactions=1, otc=None)
Agg(open=4.05, high=4.05, low=4.05, close=4.05, volume=100, vwap=4.05, timestamp=1679698800000, transactions=1, otc=None)
