Agg(open=4.51, high=4.57, low=4.51, close=4.57, volume=22071, vwap=4.5332, timestamp=1685433600000, transactions=38, otc=None)
Agg(open=4.56, high=4.57, low=4.55, close=4.57, volume=3200, vwap=4.5544, timestamp=1685437200000, transactions=19, otc=None)
Agg(open=4.6, high=4.6, low=4.6, close=4.6, volume=750, vwap=4.6, timestamp=1685440800000, transactions=4, otc=None)
Agg(open=4.66, high=4.71, low=4.66, close=4.71, volume=1450, vwap=4.6797, timestamp=1685444400000, transactions=7, otc=None)
Agg(open=4.68, high=4.73, low=4.68, close=4.7, volume=7768, vwap=4.7203, timestamp=1685448000000, transactions=19, otc=None)
Agg(open=4.7, high=4.71, low=4.66, close=4.6812, volume=317604, vwap=4.6872, timestamp=1685451600000, transactions=1023, otc=None)
Agg(open=4.685, high=4.69, low=4.63, close=4.65, volume=409741, vwap=4.6528, timestamp=1685455200000, transactions=1401, otc=None)
Agg(open=4.65, high=4.71, low=4.63, close=4.69, volume=496839, vwap=4.6688, timestamp=1685458800000, transactions=1530, otc=None)
Agg(open=4.69, high=4.7, low=4.645, close=4.65, volume=1073686.0, vwap=4.6823, timestamp=1685462400000, transactions=2007, otc=None)
Agg(open=4.65, high=4.65, low=4.625, close=4.645, volume=276798, vwap=4.6381, timestamp=1685466000000, transactions=1041, otc=None)
Agg(open=4.645, high=4.65, low=4.61, close=4.63, volume=318542, vwap=4.6252, timestamp=1685469600000, transactions=1151, otc=None)
Agg(open=4.63, high=4.63, low=4.6, close=4.61, volume=944976, vwap=4.6199, timestamp=1685473200000, transactions=3004, otc=None)
Agg(open=4.61, high=4.65, low=4.61, close=4.63, volume=28200, vwap=4.6103, timestamp=1685476800000, transactions=3, otc=None)
Agg(open=4.61, high=4.63, low=4.61, close=4.63, volume=1000151.0, vwap=4.61, timestamp=1685480400000, transactions=3, otc=None)
Agg(open=4.63, high=4.63, low=4.63, close=4.63, volume=3600, vwap=4.63, timestamp=1685487600000, transactions=2, otc=None)
Agg(open=4.57, high=4.57, low=4.57, close=4.57, volume=109, vwap=4.57, timestamp=1685520000000, transactions=1, otc=None)
Agg(open=4.58, high=4.58, low=4.57, close=4.57, volume=2010, vwap=4.5725, timestamp=1685527200000, transactions=8, otc=None)
Agg(open=4.65, high=4.66, low=4.63, close=4.63, volume=6185, vwap=4.6471, timestamp=1685530800000, transactions=15, otc=None)
Agg(open=4.6399, high=4.6399, low=4.6, close=4.6, volume=3945, vwap=4.6101, timestamp=1685534400000, transactions=11, otc=None)
Agg(open=4.62, high=4.695, low=4.59, close=4.665, volume=423908, vwap=4.6442, timestamp=1685538000000, transactions=1355, otc=None)
Agg(open=4.665, high=4.71, low=4.61, close=4.6915, volume=958666, vwap=4.6621, timestamp=1685541600000, transactions=2605, otc=None)
Agg(open=4.69, high=4.785, low=4.69, close=4.755, volume=406147, vwap=4.7542, timestamp=1685545200000, transactions=1341, otc=None)
Agg(open=4.755, high=4.77, low=4.71, close=4.735, volume=268664, vwap=4.7322, timestamp=1685548800000, transactions=1021, otc=None)
Agg(open=4.735, high=4.75, low=4.715, close=4.735, volume=244720, vwap=4.7304, timestamp=1685552400000, transactions=905, otc=None)
Agg(open=4.735, high=4.74, low=4.695, close=4.695, volume=170497, vwap=4.7139, timestamp=1685556000000, transactions=818, otc=None)
Agg(open=4.69, high=4.72, low=4.685, close=4.72, volume=574741, vwap=4.7098, timestamp=1685559600000, transactions=1831, otc=None)
Agg(open=4.7998, high=4.8, low=4.7998, close=4.8, volume=599, vwap=4.7999, timestamp=1685566800000, transactions=2, otc=None)
Agg(open=4.64, high=4.64, low=4.64, close=4.64, volume=100, vwap=4.64, timestamp=1685606400000, transactions=1, otc=None)
Agg(open=4.7, high=4.71, low=4.66, close=4.68, volume=800, vwap=4.69, timestamp=1685613600000, transactions=8, otc=None)
Agg(open=4.71, high=4.71, low=4.71, close=4.71, volume=100, vwap=4.71, timestamp=1685617200000, transactions=1, otc=None)
Agg(open=4.74, high=4.74, low=4.7, close=4.74, volume=3910, vwap=4.7279, timestamp=1685620800000, transactions=15, otc=None)
Agg(open=4.7499, high=4.775, low=4.7, close=4.765, volume=475805, vwap=4.7398, timestamp=1685624400000, transactions=1086, otc=None)
Agg(open=4.77, high=4.825, low=4.75, close=4.8, volume=562191, vwap=4.7821, timestamp=1685628000000, transactions=1812, otc=None)
Agg(open=4.8, high=4.88, low=4.795, close=4.875, volume=606274, vwap=4.8411, timestamp=1685631600000, transactions=1802, otc=None)
Agg(open=4.875, high=4.875, low=4.835, close=4.86, volume=300139, vwap=4.8539, timestamp=1685635200000, transactions=1391, otc=None)
Agg(open=4.855, high=4.86, low=4.82, close=4.825, volume=206491, vwap=4.833, timestamp=1685638800000, transactions=964, otc=None)
Agg(open=4.83, high=4.835, low=4.81, close=4.815, volume=191633, vwap=4.8243, timestamp=1685642400000, transactions=1024, otc=None)
Agg(open=4.815, high=4.835, low=4.79, close=4.795, volume=1590100.0, vwap=4.8049, timestamp=1685646000000, transactions=3604, otc=None)
Agg(open=4.79, high=4.79, low=4.7513, close=4.79, volume=12048, vwap=4.7895, timestamp=1685649600000, transactions=5, otc=None)
Agg(open=4.78, high=4.78, low=4.78, close=4.78, volume=500, vwap=4.78, timestamp=1685653200000, transactions=1, otc=None)
Agg(open=4.85, high=4.85, low=4.85, close=4.85, volume=200, vwap=4.85, timestamp=1685656800000, transactions=1, otc=None)
Agg(open=4.78, high=4.82, low=4.78, close=4.82, volume=300, vwap=4.7933, timestamp=1685696400000, transactions=3, otc=None)
Agg(open=4.8, high=4.81, low=4.79, close=4.8, volume=4015, vwap=4.7988, timestamp=1685703600000, transactions=17, otc=None)
Agg(open=4.81, high=4.81, low=4.73, close=4.73, volume=5949, vwap=4.7833, timestamp=1685707200000, transactions=20, otc=None)
Agg(open=4.73, high=4.8, low=4.67, close=4.695, volume=492919, vwap=4.7235, timestamp=1685710800000, transactions=1244, otc=None)
Agg(open=4.7, high=4.71, low=4.635, close=4.685, volume=524272, vwap=4.6662, timestamp=1685714400000, transactions=1544, otc=None)
Agg(open=4.685, high=4.69, low=4.655, close=4.665, volume=375589, vwap=4.6738, timestamp=1685718000000, transactions=1023, otc=None)
Agg(open=4.665, high=4.67, low=4.615, close=4.625, volume=540045, vwap=4.6393, timestamp=1685721600000, transactions=1401, otc=None)
Agg(open=4.63, high=4.645, low=4.6, close=4.605, volume=328024, vwap=4.6217, timestamp=1685725200000, transactions=971, otc=None)
Agg(open=4.605, high=4.63, low=4.6, close=4.625, volume=300548, vwap=4.6163, timestamp=1685728800000, transactions=977, otc=None)
Agg(open=4.625, high=4.63, low=4.6, close=4.61, volume=668722, vwap=4.6203, timestamp=1685732400000, transactions=2637, otc=None)
Agg(open=4.62, high=4.62, low=4.62, close=4.62, volume=500, vwap=4.62, timestamp=1685746800000, transactions=1, otc=None)
