Agg(open=14.16, high=14.17, low=14.005, close=14.14, volume=217425, vwap=14.1042, timestamp=1700488800000, transactions=1821, otc=None)
Agg(open=14.14, high=14.4, low=14.095, close=14.325, volume=569286, vwap=14.28, timestamp=1700492400000, transactions=4560, otc=None)
Agg(open=14.32, high=14.55, low=14.29, close=14.485, volume=648020, vwap=14.4173, timestamp=1700496000000, transactions=4114, otc=None)
Agg(open=14.49, high=14.535, low=14.41, close=14.48, volume=710274, vwap=14.4867, timestamp=1700499600000, transactions=4198, otc=None)
Agg(open=14.479, high=14.6, low=14.47, close=14.555, volume=752302, vwap=14.5358, timestamp=1700503200000, transactions=4573, otc=None)
Agg(open=14.55, high=14.725, low=14.545, close=14.665, volume=919755, vwap=14.6519, timestamp=1700506800000, transactions=6042, otc=None)
Agg(open=14.665, high=14.7, low=14.58, close=14.64, volume=1258358.0, vwap=14.6282, timestamp=1700510400000, transactions=6582, otc=None)
Agg(open=14.63, high=14.63, low=14.63, close=14.63, volume=108560, vwap=14.63, timestamp=1700514000000, transactions=26, otc=None)
Agg(open=14.54, high=14.67, low=14.24, close=14.325, volume=220779, vwap=14.3639, timestamp=1700575200000, transactions=2146, otc=None)
Agg(open=14.32, high=14.38, low=14.215, close=14.23, volume=410303, vwap=14.2696, timestamp=1700578800000, transactions=3573, otc=None)
Agg(open=14.2301, high=14.28, low=14.145, close=14.145, volume=327279, vwap=14.2243, timestamp=1700582400000, transactions=2620, otc=None)
Agg(open=14.15, high=14.3, low=14.145, close=14.295, volume=268720, vwap=14.2335, timestamp=1700586000000, transactions=2271, otc=None)
Agg(open=14.29, high=14.29, low=14.21, close=14.22, volume=236687, vwap=14.2546, timestamp=1700589600000, transactions=2269, otc=None)
Agg(open=14.225, high=14.25, low=14.15, close=14.2013, volume=281989, vwap=14.193, timestamp=1700593200000, transactions=2374, otc=None)
Agg(open=14.205, high=14.29, low=14.18, close=14.29, volume=811011, vwap=14.2404, timestamp=1700596800000, transactions=4619, otc=None)
Agg(open=14.3, high=14.3, low=14.29, close=14.29, volume=130607, vwap=14.29, timestamp=1700600400000, transactions=38, otc=None)
Agg(open=14.47, high=14.5, low=14.2895, close=14.33, volume=148433, vwap=14.387, timestamp=1700661600000, transactions=1351, otc=None)
Agg(open=14.325, high=14.38, low=14.28, close=14.3, volume=294983, vwap=14.3208, timestamp=1700665200000, transactions=2817, otc=None)
Agg(open=14.31, high=14.32, low=14.225, close=14.285, volume=396800, vwap=14.2611, timestamp=1700668800000, transactions=2693, otc=None)
Agg(open=14.285, high=14.33, low=14.165, close=14.175, volume=476019, vwap=14.2246, timestamp=1700672400000, transactions=3063, otc=None)
Agg(open=14.175, high=14.255, low=14.145, close=14.24, volume=559877, vwap=14.1902, timestamp=1700676000000, transactions=3632, otc=None)
Agg(open=14.245, high=14.3, low=14.22, close=14.29, volume=314624, vwap=14.2639, timestamp=1700679600000, transactions=2510, otc=None)
Agg(open=14.29, high=14.41, low=14.29, close=14.41, volume=764243, vwap=14.3633, timestamp=1700683200000, transactions=4458, otc=None)
Agg(open=14.41, high=14.41, low=14.41, close=14.41, volume=70071, vwap=14.41, timestamp=1700686800000, transactions=17, otc=None)
Agg(open=14.32, high=14.45, low=14.23, close=14.375, volume=178040, vwap=14.3276, timestamp=1700834400000, transactions=1923, otc=None)
Agg(open=14.38, high=14.41, low=14.33, close=14.37, volume=238514, vwap=14.3739, timestamp=1700838000000, transactions=3023, otc=None)
Agg(open=14.37, high=14.48, low=14.36, close=14.395, volume=235164, vwap=14.4154, timestamp=1700841600000, transactions=2856, otc=None)
Agg(open=14.395, high=14.48, low=14.36, close=14.47, volume=526168, vwap=14.4259, timestamp=1700845200000, transactions=4820, otc=None)
Agg(open=14.48, high=14.48, low=14.48, close=14.48, volume=5862, vwap=14.48, timestamp=1700848800000, transactions=10, otc=None)
