Agg(open=1.84, high=1.85, low=1.84, close=1.85, volume=2390, vwap=1.8425, timestamp=1692619200000, transactions=9, otc=None)
Agg(open=1.8407, high=1.8407, low=1.6201, close=1.6693, volume=681450, vwap=1.692, timestamp=1692622800000, transactions=2046, otc=None)
Agg(open=1.665, high=1.7, low=1.64, close=1.6985, volume=714423, vwap=1.6672, timestamp=1692626400000, transactions=2160, otc=None)
Agg(open=1.695, high=1.7, low=1.67, close=1.6762, volume=198824, vwap=1.6871, timestamp=1692630000000, transactions=533, otc=None)
Agg(open=1.675, high=1.68, low=1.67, close=1.675, volume=89490, vwap=1.6751, timestamp=1692633600000, transactions=399, otc=None)
Agg(open=1.675, high=1.68, low=1.67, close=1.675, volume=216128, vwap=1.6756, timestamp=1692637200000, transactions=916, otc=None)
Agg(open=1.675, high=1.68, low=1.65, close=1.655, volume=421948, vwap=1.67, timestamp=1692640800000, transactions=1134, otc=None)
Agg(open=1.655, high=1.66, low=1.63, close=1.645, volume=812527, vwap=1.6429, timestamp=1692644400000, transactions=2247, otc=None)
Agg(open=1.65, high=1.65, low=1.6396, close=1.64, volume=4713, vwap=1.6403, timestamp=1692648000000, transactions=18, otc=None)
Agg(open=1.64, high=1.64, low=1.6394, close=1.6394, volume=1450, vwap=1.6399, timestamp=1692651600000, transactions=3, otc=None)
Agg(open=1.64, high=1.64, low=1.63, close=1.63, volume=500, vwap=1.632, timestamp=1692658800000, transactions=4, otc=None)
Agg(open=1.65, high=1.65, low=1.65, close=1.65, volume=100, vwap=1.65, timestamp=1692691200000, transactions=1, otc=None)
Agg(open=1.66, high=1.7, low=1.6502, close=1.69, volume=9610, vwap=1.6712, timestamp=1692705600000, transactions=42, otc=None)
Agg(open=1.7, high=1.77, low=1.68, close=1.7, volume=499801, vwap=1.716, timestamp=1692709200000, transactions=1398, otc=None)
Agg(open=1.705, high=1.71, low=1.67, close=1.705, volume=382033, vwap=1.6969, timestamp=1692712800000, transactions=1604, otc=None)
Agg(open=1.705, high=1.71, low=1.7, close=1.705, volume=128774, vwap=1.7058, timestamp=1692716400000, transactions=834, otc=None)
Agg(open=1.705, high=1.7298, low=1.69, close=1.725, volume=303006, vwap=1.7073, timestamp=1692720000000, transactions=1260, otc=None)
Agg(open=1.725, high=1.73, low=1.7, close=1.71, volume=146584, vwap=1.7099, timestamp=1692723600000, transactions=574, otc=None)
Agg(open=1.705, high=1.72, low=1.7, close=1.71, volume=94954, vwap=1.7107, timestamp=1692727200000, transactions=705, otc=None)
Agg(open=1.715, high=1.72, low=1.67, close=1.7, volume=420137, vwap=1.697, timestamp=1692730800000, transactions=1764, otc=None)
Agg(open=1.7, high=1.7, low=1.7, close=1.7, volume=1127, vwap=1.7, timestamp=1692734400000, transactions=7, otc=None)
Agg(open=1.76, high=1.76, low=1.76, close=1.76, volume=500, vwap=1.7596, timestamp=1692781200000, transactions=3, otc=None)
Agg(open=1.72, high=1.72, low=1.72, close=1.72, volume=200, vwap=1.72, timestamp=1692788400000, transactions=2, otc=None)
Agg(open=1.7181, high=1.72, low=1.6802, close=1.72, volume=7359, vwap=1.7079, timestamp=1692792000000, transactions=38, otc=None)
Agg(open=1.7, high=1.71, low=1.62, close=1.695, volume=270020, vwap=1.6745, timestamp=1692795600000, transactions=1275, otc=None)
Agg(open=1.69, high=1.715, low=1.66, close=1.695, volume=270801, vwap=1.6928, timestamp=1692799200000, transactions=1136, otc=None)
Agg(open=1.695, high=1.71, low=1.69, close=1.695, volume=111416, vwap=1.6984, timestamp=1692802800000, transactions=656, otc=None)
Agg(open=1.69, high=1.6999, low=1.69, close=1.695, volume=35431, vwap=1.6931, timestamp=1692806400000, transactions=547, otc=None)
Agg(open=1.695, high=1.7, low=1.685, close=1.695, volume=134972, vwap=1.6951, timestamp=1692810000000, transactions=889, otc=None)
Agg(open=1.695, high=1.71, low=1.68, close=1.68, volume=191938, vwap=1.6976, timestamp=1692813600000, transactions=984, otc=None)
Agg(open=1.68, high=1.69, low=1.65, close=1.655, volume=364147, vwap=1.6697, timestamp=1692817200000, transactions=2083, otc=None)
Agg(open=1.65, high=1.65, low=1.65, close=1.65, volume=200, vwap=1.65, timestamp=1692820800000, transactions=1, otc=None)
Agg(open=1.71, high=1.71, low=1.66, close=1.66, volume=3500, vwap=1.6785, timestamp=1692824400000, transactions=3, otc=None)
Agg(open=1.7, high=1.7, low=1.6987, close=1.7, volume=1350, vwap=1.6993, timestamp=1692828000000, transactions=3, otc=None)
Agg(open=1.6615, high=1.6985, low=1.6615, close=1.67, volume=2477, vwap=1.6725, timestamp=1692878400000, transactions=9, otc=None)
Agg(open=1.66, high=1.66, low=1.6, close=1.6499, volume=237524, vwap=1.6334, timestamp=1692882000000, transactions=715, otc=None)
Agg(open=1.645, high=1.67, low=1.63, close=1.658, volume=276296, vwap=1.6417, timestamp=1692885600000, transactions=879, otc=None)
Agg(open=1.65, high=1.66, low=1.63, close=1.63, volume=80763, vwap=1.6489, timestamp=1692889200000, transactions=323, otc=None)
Agg(open=1.635, high=1.66, low=1.63, close=1.645, volume=73675, vwap=1.6471, timestamp=1692892800000, transactions=393, otc=None)
Agg(open=1.645, high=1.65, low=1.63, close=1.63, volume=170228, vwap=1.6334, timestamp=1692896400000, transactions=539, otc=None)
