Agg(open=5.16, high=5.16, low=5.15, close=5.15, volume=10299, vwap=5.1505, timestamp=1700470800000, transactions=13, otc=None)
Agg(open=5.13, high=5.14, low=5.13, close=5.14, volume=3776, vwap=5.1347, timestamp=1700478000000, transactions=5, otc=None)
Agg(open=5.13, high=5.14, low=5.13, close=5.14, volume=679, vwap=5.1369, timestamp=1700481600000, transactions=5, otc=None)
Agg(open=5.15, high=5.17, low=5.13, close=5.17, volume=7540, vwap=5.1376, timestamp=1700485200000, transactions=22, otc=None)
Agg(open=5.2, high=5.228, low=5.171, close=5.21, volume=106601, vwap=5.2058, timestamp=1700488800000, transactions=470, otc=None)
Agg(open=5.21, high=5.22, low=5.19, close=5.215, volume=94455, vwap=5.2068, timestamp=1700492400000, transactions=491, otc=None)
Agg(open=5.21, high=5.2399, low=5.21, close=5.235, volume=59254, vwap=5.2198, timestamp=1700496000000, transactions=270, otc=None)
Agg(open=5.23, high=5.24, low=5.21, close=5.2129, volume=79065, vwap=5.2262, timestamp=1700499600000, transactions=476, otc=None)
Agg(open=5.21, high=5.23, low=5.21, close=5.225, volume=68666, vwap=5.2191, timestamp=1700503200000, transactions=437, otc=None)
Agg(open=5.225, high=5.24, low=5.22, close=5.235, volume=37425, vwap=5.2285, timestamp=1700506800000, transactions=365, otc=None)
Agg(open=5.235, high=5.24, low=5.22, close=5.23, volume=225577, vwap=5.2275, timestamp=1700510400000, transactions=1823, otc=None)
Agg(open=5.23, high=5.23, low=5.23, close=5.23, volume=900, vwap=5.23, timestamp=1700514000000, transactions=1, otc=None)
Agg(open=5.29, high=5.29, low=5.29, close=5.29, volume=100, vwap=5.29, timestamp=1700524800000, transactions=1, otc=None)
Agg(open=5.17, high=5.17, low=5.16, close=5.16, volume=1339, vwap=5.169, timestamp=1700557200000, transactions=6, otc=None)
Agg(open=5.15, high=5.15, low=5.11, close=5.11, volume=13517, vwap=5.1432, timestamp=1700571600000, transactions=23, otc=None)
Agg(open=5.11, high=5.17, low=5.11, close=5.145, volume=56306, vwap=5.1549, timestamp=1700575200000, transactions=300, otc=None)
Agg(open=5.15, high=5.18, low=5.145, close=5.175, volume=126807, vwap=5.1618, timestamp=1700578800000, transactions=758, otc=None)
Agg(open=5.175, high=5.19, low=5.16, close=5.16, volume=76857, vwap=5.1736, timestamp=1700582400000, transactions=416, otc=None)
Agg(open=5.16, high=5.17, low=5.16, close=5.1691, volume=11046, vwap=5.1653, timestamp=1700586000000, transactions=105, otc=None)
Agg(open=5.165, high=5.17, low=5.13, close=5.13, volume=30372, vwap=5.1493, timestamp=1700589600000, transactions=201, otc=None)
Agg(open=5.13, high=5.15, low=5.125, close=5.135, volume=27826, vwap=5.1366, timestamp=1700593200000, transactions=227, otc=None)
Agg(open=5.135, high=5.14, low=5.13, close=5.14, volume=82221, vwap=5.1364, timestamp=1700596800000, transactions=609, otc=None)
Agg(open=5.22, high=5.24, low=5.15, close=5.21, volume=139507, vwap=5.1857, timestamp=1700661600000, transactions=935, otc=None)
Agg(open=5.21, high=5.23, low=5.185, close=5.195, volume=105979, vwap=5.2093, timestamp=1700665200000, transactions=794, otc=None)
Agg(open=5.2, high=5.205, low=5.19, close=5.205, volume=31292, vwap=5.1986, timestamp=1700668800000, transactions=278, otc=None)
Agg(open=5.205, high=5.21, low=5.17, close=5.17, volume=37553, vwap=5.1882, timestamp=1700672400000, transactions=349, otc=None)
Agg(open=5.17, high=5.19, low=5.17, close=5.18, volume=32604, vwap=5.1802, timestamp=1700676000000, transactions=300, otc=None)
Agg(open=5.18, high=5.2, low=5.18, close=5.2, volume=102633, vwap=5.1878, timestamp=1700679600000, transactions=639, otc=None)
Agg(open=5.1912, high=5.205, low=5.19, close=5.19, volume=127144, vwap=5.1967, timestamp=1700683200000, transactions=975, otc=None)
Agg(open=5.19, high=5.19, low=5.19, close=5.19, volume=926, vwap=5.19, timestamp=1700686800000, transactions=2, otc=None)
Agg(open=5.01, high=5.01, low=5.01, close=5.01, volume=500, vwap=5.01, timestamp=1700697600000, transactions=1, otc=None)
Agg(open=5.19, high=5.19, low=5.19, close=5.19, volume=3000, vwap=5.19, timestamp=1700830800000, transactions=1, otc=None)
Agg(open=5.19, high=5.23, low=5.18, close=5.23, volume=58240, vwap=5.1988, timestamp=1700834400000, transactions=413, otc=None)
Agg(open=5.225, high=5.26, low=5.225, close=5.23, volume=71000, vwap=5.2386, timestamp=1700838000000, transactions=577, otc=None)
Agg(open=5.23, high=5.24, low=5.22, close=5.22, volume=36640, vwap=5.2257, timestamp=1700841600000, transactions=257, otc=None)
Agg(open=5.225, high=5.25, low=5.21, close=5.22, volume=101215, vwap=5.2268, timestamp=1700845200000, transactions=697, otc=None)
Agg(open=5.23, high=5.23, low=5.23, close=5.23, volume=100, vwap=5.23, timestamp=1700848800000, transactions=1, otc=None)
