Agg(open=4.63, high=4.63, low=4.35, close=4.39, volume=31789, vwap=4.4118, timestamp=1675069200000, transactions=704, otc=None)
Agg(open=4.4, high=4.49, low=4.38, close=4.46, volume=14333, vwap=4.4171, timestamp=1675072800000, transactions=257, otc=None)
Agg(open=4.46, high=4.49, low=4.41, close=4.42, volume=15829, vwap=4.4589, timestamp=1675076400000, transactions=260, otc=None)
Agg(open=4.42, high=4.47, low=4.42, close=4.46, volume=11212, vwap=4.44, timestamp=1675080000000, transactions=172, otc=None)
Agg(open=4.44, high=4.51, low=4.3815, close=4.47, volume=53907, vwap=4.4598, timestamp=1675083600000, transactions=868, otc=None)
Agg(open=4.47, high=4.59, low=4.41, close=4.55, volume=511808, vwap=4.4892, timestamp=1675087200000, transactions=3651, otc=None)
Agg(open=4.555, high=4.5882, low=4.4, close=4.44, volume=459822, vwap=4.4986, timestamp=1675090800000, transactions=3614, otc=None)
Agg(open=4.435, high=4.55, low=4.42, close=4.51, volume=281537, vwap=4.4991, timestamp=1675094400000, transactions=1590, otc=None)
Agg(open=4.5, high=4.54, low=4.49, close=4.51, volume=144620, vwap=4.5127, timestamp=1675098000000, transactions=1028, otc=None)
Agg(open=4.51, high=4.525, low=4.47, close=4.49, volume=159884, vwap=4.4971, timestamp=1675101600000, transactions=1141, otc=None)
Agg(open=4.4936, high=4.51, low=4.47, close=4.485, volume=155103, vwap=4.4874, timestamp=1675105200000, transactions=1033, otc=None)
Agg(open=4.485, high=4.505, low=4.45, close=4.45, volume=280876, vwap=4.4736, timestamp=1675108800000, transactions=2307, otc=None)
Agg(open=4.46, high=4.52, low=4.46, close=4.5, volume=4647, vwap=4.4933, timestamp=1675112400000, transactions=33, otc=None)
Agg(open=4.51, high=4.51, low=4.46, close=4.47, volume=1413, vwap=4.4784, timestamp=1675116000000, transactions=11, otc=None)
Agg(open=4.46, high=4.47, low=4.45, close=4.47, volume=4670, vwap=4.4543, timestamp=1675155600000, transactions=60, otc=None)
Agg(open=4.47, high=4.48, low=4.42, close=4.44, volume=9297, vwap=4.4493, timestamp=1675159200000, transactions=181, otc=None)
Agg(open=4.43, high=4.44, low=4.4, close=4.42, volume=15772, vwap=4.4194, timestamp=1675162800000, transactions=189, otc=None)
Agg(open=4.44, high=4.46, low=4.43, close=4.46, volume=4542, vwap=4.4456, timestamp=1675166400000, transactions=66, otc=None)
Agg(open=4.43, high=4.5, low=4.4215, close=4.49, volume=48549, vwap=4.4702, timestamp=1675170000000, transactions=427, otc=None)
Agg(open=4.5, high=4.53, low=4.4515, close=4.4515, volume=340885, vwap=4.5054, timestamp=1675173600000, transactions=2732, otc=None)
Agg(open=4.4585, high=4.575, low=4.4215, close=4.55, volume=421637, vwap=4.5158, timestamp=1675177200000, transactions=2563, otc=None)
Agg(open=4.55, high=4.56, low=4.495, close=4.5, volume=301133, vwap=4.5276, timestamp=1675180800000, transactions=1526, otc=None)
Agg(open=4.5015, high=4.53, low=4.475, close=4.5043, volume=229340, vwap=4.5076, timestamp=1675184400000, transactions=930, otc=None)
Agg(open=4.5, high=4.5, low=4.4609, close=4.485, volume=105516, vwap=4.4839, timestamp=1675188000000, transactions=713, otc=None)
