Agg(open=4.15, high=4.16, low=4.15, close=4.16, volume=5000, vwap=4.1516, timestamp=1696842000000, transactions=11, otc=None)
Agg(open=4.05, high=4.05, low=4, close=4.03, volume=3457, vwap=4.0319, timestamp=1696849200000, transactions=23, otc=None)
Agg(open=4.07, high=4.07, low=3.982, close=4.01, volume=4900, vwap=4.0179, timestamp=1696852800000, transactions=16, otc=None)
Agg(open=4, high=4.06, low=3.88, close=3.96, volume=792832, vwap=3.9782, timestamp=1696856400000, transactions=3428, otc=None)
Agg(open=3.955, high=3.98, low=3.9, close=3.915, volume=504450, vwap=3.9425, timestamp=1696860000000, transactions=3427, otc=None)
Agg(open=3.91, high=3.9875, low=3.91, close=3.94, volume=488866, vwap=3.9422, timestamp=1696863600000, transactions=2629, otc=None)
Agg(open=3.935, high=3.96, low=3.91, close=3.91, volume=212862, vwap=3.9385, timestamp=1696867200000, transactions=1551, otc=None)
Agg(open=3.91, high=4.02, low=3.91, close=4.02, volume=243480, vwap=3.9575, timestamp=1696870800000, transactions=1553, otc=None)
Agg(open=4.02, high=4.03, low=4.005, close=4.0179, volume=253886, vwap=4.0169, timestamp=1696874400000, transactions=1851, otc=None)
Agg(open=4.015, high=4.02, low=3.94, close=3.985, volume=2780848.0, vwap=3.9805, timestamp=1696878000000, transactions=9393, otc=None)
Agg(open=3.98, high=4.06, low=3.98, close=4, volume=16228, vwap=3.9824, timestamp=1696881600000, transactions=16, otc=None)
Agg(open=4.01, high=4.01, low=4.01, close=4.01, volume=124, vwap=4.0098, timestamp=1696885200000, transactions=2, otc=None)
Agg(open=4, high=4, low=3.9983, close=4, volume=3475, vwap=4, timestamp=1696892400000, transactions=5, otc=None)
Agg(open=3.98, high=3.98, low=3.98, close=3.98, volume=298, vwap=3.98, timestamp=1696924800000, transactions=1, otc=None)
Agg(open=4.01, high=4.1, low=3.98, close=4.045, volume=683683, vwap=4.0224, timestamp=1696942800000, transactions=3349, otc=None)
Agg(open=4.05, high=4.16, low=4, close=4.125, volume=816060, vwap=4.0758, timestamp=1696946400000, transactions=4086, otc=None)
