Agg(open=5.41, high=5.56, low=5.36, close=5.52, volume=50871, vwap=5.5193, timestamp=1672736400000, transactions=233, otc=None)
Agg(open=5.52, high=5.58, low=5.5, close=5.54, volume=49898, vwap=5.5469, timestamp=1672740000000, transactions=127, otc=None)
Agg(open=5.55, high=5.56, low=5.43, close=5.44, volume=28288, vwap=5.5106, timestamp=1672743600000, transactions=85, otc=None)
Agg(open=5.44, high=5.48, low=5.41, close=5.48, volume=12807, vwap=5.4414, timestamp=1672747200000, transactions=81, otc=None)
Agg(open=5.44, high=5.5, low=5.4, close=5.49, volume=128269, vwap=5.4547, timestamp=1672750800000, transactions=316, otc=None)
Agg(open=5.49, high=5.92, low=5.461, close=5.92, volume=5422944.0, vwap=5.6766, timestamp=1672754400000, transactions=16379, otc=None)
Agg(open=5.915, high=6.07, low=5.88, close=5.985, volume=6908602.0, vwap=5.988, timestamp=1672758000000, transactions=19737, otc=None)
Agg(open=5.985, high=6.25, low=5.985, close=6.14, volume=4721338.0, vwap=6.1497, timestamp=1672761600000, transactions=13053, otc=None)
Agg(open=6.145, high=6.17, low=5.74, close=5.8084, volume=3791011.0, vwap=5.912, timestamp=1672765200000, transactions=9907, otc=None)
Agg(open=5.805, high=5.925, low=5.77, close=5.875, volume=1989011.0, vwap=5.853, timestamp=1672768800000, transactions=5238, otc=None)
Agg(open=5.8791, high=5.94, low=5.82, close=5.865, volume=2101010.0, vwap=5.8821, timestamp=1672772400000, transactions=4967, otc=None)
Agg(open=5.865, high=5.91, low=5.815, close=5.88, volume=3010503.0, vwap=5.8694, timestamp=1672776000000, transactions=6866, otc=None)
Agg(open=5.88, high=5.89, low=5.87, close=5.87, volume=15109, vwap=5.8798, timestamp=1672779600000, transactions=42, otc=None)
Agg(open=5.87, high=5.89, low=5.87, close=5.89, volume=7366, vwap=5.8828, timestamp=1672783200000, transactions=27, otc=None)
Agg(open=5.88, high=5.93, low=5.88, close=5.93, volume=7189, vwap=5.9001, timestamp=1672786800000, transactions=26, otc=None)
Agg(open=5.95, high=5.95, low=5.9, close=5.94, volume=14883, vwap=5.9149, timestamp=1672790400000, transactions=52, otc=None)
