Agg(open=19.13, high=19.3, low=19.11, close=19.29, volume=75235, vwap=19.1987, timestamp=1676296800000, transactions=608, otc=None)
Agg(open=19.275, high=19.515, low=19.275, close=19.485, volume=174068, vwap=19.442, timestamp=1676300400000, transactions=1634, otc=None)
Agg(open=19.485, high=19.515, low=19.455, close=19.5, volume=163355, vwap=19.4832, timestamp=1676304000000, transactions=1176, otc=None)
Agg(open=19.4999, high=19.505, low=19.445, close=19.45, volume=155216, vwap=19.4845, timestamp=1676307600000, transactions=1129, otc=None)
Agg(open=19.45, high=19.455, low=19.32, close=19.355, volume=89392, vwap=19.3681, timestamp=1676311200000, transactions=1026, otc=None)
Agg(open=19.35, high=19.36, low=19.21, close=19.31, volume=167119, vwap=19.2762, timestamp=1676314800000, transactions=1596, otc=None)
Agg(open=19.31, high=19.4, low=19.29, close=19.32, volume=881729, vwap=19.344, timestamp=1676318400000, transactions=5485, otc=None)
Agg(open=19.31, high=19.312317, low=19.31, close=19.312317, volume=42474, vwap=19.31, timestamp=1676322000000, transactions=16, otc=None)
Agg(open=19.22, high=19.42, low=19.11, close=19.41, volume=130126, vwap=19.3221, timestamp=1676383200000, transactions=807, otc=None)
Agg(open=19.4, high=19.5, low=19.25, close=19.31, volume=386209, vwap=19.3701, timestamp=1676386800000, transactions=2301, otc=None)
Agg(open=19.315, high=19.415, low=19.14, close=19.175, volume=144551, vwap=19.2948, timestamp=1676390400000, transactions=1480, otc=None)
Agg(open=19.17, high=19.26, low=19.17, close=19.22, volume=77773, vwap=19.2107, timestamp=1676394000000, transactions=816, otc=None)
Agg(open=19.215, high=19.34, low=19.215, close=19.28, volume=90203, vwap=19.2958, timestamp=1676397600000, transactions=1067, otc=None)
Agg(open=19.27, high=19.35, low=19.225, close=19.33, volume=93901, vwap=19.29, timestamp=1676401200000, transactions=1097, otc=None)
Agg(open=19.335, high=19.39, low=19.295, close=19.32, volume=391018, vwap=19.3354, timestamp=1676404800000, transactions=3457, otc=None)
Agg(open=19.31, high=19.31, low=19.31, close=19.31, volume=39728, vwap=19.31, timestamp=1676408400000, transactions=14, otc=None)
Agg(open=19.14, high=19.2233, low=19.1, close=19.18, volume=48263, vwap=19.1599, timestamp=1676469600000, transactions=578, otc=None)
Agg(open=19.175, high=19.34, low=19.16, close=19.29, volume=101108, vwap=19.244, timestamp=1676473200000, transactions=1297, otc=None)
Agg(open=19.295, high=19.39, low=19.28, close=19.32, volume=172985, vwap=19.3415, timestamp=1676476800000, transactions=1659, otc=None)
Agg(open=19.325, high=19.33, low=19.15, close=19.19, volume=290100, vwap=19.2609, timestamp=1676480400000, transactions=2009, otc=None)
Agg(open=19.195, high=19.26, low=19.14, close=19.16, volume=155497, vwap=19.2037, timestamp=1676484000000, transactions=1578, otc=None)
Agg(open=19.17, high=19.335, low=19.15, close=19.235, volume=159351, vwap=19.257, timestamp=1676487600000, transactions=1816, otc=None)
Agg(open=19.235, high=19.37, low=19.235, close=19.36, volume=380541, vwap=19.3214, timestamp=1676491200000, transactions=3975, otc=None)
Agg(open=19.35, high=19.35, low=19.35, close=19.35, volume=73210, vwap=19.35, timestamp=1676494800000, transactions=21, otc=None)
Agg(open=19.09, high=19.36, low=18.73, close=18.84, volume=327788, vwap=18.8882, timestamp=1676556000000, transactions=1785, otc=None)
Agg(open=18.835, high=19.46, low=18.835, close=19.4, volume=974960, vwap=19.3344, timestamp=1676559600000, transactions=4134, otc=None)
Agg(open=19.41, high=19.53, low=19.2, close=19.2, volume=730036, vwap=19.3766, timestamp=1676563200000, transactions=3237, otc=None)
Agg(open=19.21, high=19.325, low=19.185, close=19.24, volume=169867, vwap=19.2566, timestamp=1676566800000, transactions=2130, otc=None)
Agg(open=19.24, high=19.3, low=19.15, close=19.21, volume=297245, vwap=19.241, timestamp=1676570400000, transactions=2455, otc=None)
Agg(open=19.21, high=19.235, low=19.1, close=19.165, volume=311695, vwap=19.168, timestamp=1676574000000, transactions=3401, otc=None)
Agg(open=19.165, high=19.175, low=18.93, close=18.98, volume=579477, vwap=19.0165, timestamp=1676577600000, transactions=5939, otc=None)
Agg(open=18.97, high=18.97, low=18.97, close=18.97, volume=37311, vwap=18.97, timestamp=1676581200000, transactions=21, otc=None)
Agg(open=19.06, high=19.18, low=18.48, close=18.595, volume=287426, vwap=18.8293, timestamp=1676642400000, transactions=1970, otc=None)
Agg(open=18.59, high=18.705, low=18.535, close=18.545, volume=415441, vwap=18.6316, timestamp=1676646000000, transactions=3668, otc=None)
Agg(open=18.54, high=18.565, low=18.385, close=18.46, volume=385682, vwap=18.4559, timestamp=1676649600000, transactions=2802, otc=None)
Agg(open=18.46, high=18.52, low=18.38, close=18.43, volume=196403, vwap=18.4407, timestamp=1676653200000, transactions=1649, otc=None)
Agg(open=18.43, high=18.595, low=18.43, close=18.53, volume=186630, vwap=18.522, timestamp=1676656800000, transactions=2042, otc=None)
Agg(open=18.55, high=18.615, low=18.505, close=18.605, volume=230200, vwap=18.5727, timestamp=1676660400000, transactions=1980, otc=None)
Agg(open=18.605, high=18.82, low=18.6, close=18.73, volume=965020, vwap=18.7417, timestamp=1676664000000, transactions=6480, otc=None)
Agg(open=18.74, high=18.74, low=18.74, close=18.74, volume=50395, vwap=18.74, timestamp=1676667600000, transactions=25, otc=None)
