Agg(open=16, high=16.09, low=15.93, close=16.08, volume=66291, vwap=16.0055, timestamp=1680526800000, transactions=856, otc=None)
Agg(open=16.09, high=16.285, low=16.08, close=16.095, volume=242046, vwap=16.1815, timestamp=1680530400000, transactions=2140, otc=None)
Agg(open=16.1, high=16.14, low=15.995, close=16.06, volume=197800, vwap=16.0537, timestamp=1680534000000, transactions=1584, otc=None)
Agg(open=16.07, high=16.08, low=15.98, close=15.995, volume=133148, vwap=16.028, timestamp=1680537600000, transactions=975, otc=None)
Agg(open=15.995, high=16.07, low=15.89, close=15.91, volume=195315, vwap=16.0197, timestamp=1680541200000, transactions=1925, otc=None)
Agg(open=15.9, high=15.97, low=15.865, close=15.925, volume=97364, vwap=15.9173, timestamp=1680544800000, transactions=1155, otc=None)
Agg(open=15.915, high=16.02, low=15.88, close=16.02, volume=350845, vwap=15.952, timestamp=1680548400000, transactions=3383, otc=None)
Agg(open=16.02, high=16.02, low=16.02, close=16.02, volume=66049, vwap=16.02, timestamp=1680552000000, transactions=15, otc=None)
Agg(open=16.1, high=16.1, low=15.94, close=16.02, volume=121699, vwap=16.0172, timestamp=1680613200000, transactions=1219, otc=None)
Agg(open=16.04, high=16.125, low=15.911, close=15.915, volume=193472, vwap=16.0463, timestamp=1680616800000, transactions=1901, otc=None)
Agg(open=15.91, high=16.03, low=15.905, close=16.02, volume=237876, vwap=15.9638, timestamp=1680620400000, transactions=1728, otc=None)
Agg(open=16.01, high=16.08, low=15.97, close=16.065, volume=150317, vwap=16.0271, timestamp=1680624000000, transactions=1598, otc=None)
Agg(open=16.065, high=16.12, low=16.035, close=16.04, volume=99558, vwap=16.0827, timestamp=1680627600000, transactions=1142, otc=None)
Agg(open=16.04, high=16.07, low=16, close=16.05, volume=206412, vwap=16.037, timestamp=1680631200000, transactions=1648, otc=None)
Agg(open=16.05, high=16.095, low=15.98, close=16.07, volume=757715, vwap=16.0322, timestamp=1680634800000, transactions=5560, otc=None)
Agg(open=16.07, high=16.07, low=16.07, close=16.07, volume=46041, vwap=16.07, timestamp=1680638400000, transactions=17, otc=None)
Agg(open=15.95, high=16.12, low=15.95, close=16.05, volume=78393, vwap=16.034, timestamp=1680699600000, transactions=685, otc=None)
Agg(open=16.05, high=16.11, low=15.93, close=16.025, volume=285412, vwap=16.0467, timestamp=1680703200000, transactions=2518, otc=None)
Agg(open=16.025, high=16.15, low=15.97, close=16.13, volume=134996, vwap=16.072, timestamp=1680706800000, transactions=1474, otc=None)
Agg(open=16.13, high=16.15, low=16.06, close=16.08, volume=150633, vwap=16.1115, timestamp=1680710400000, transactions=1564, otc=None)
Agg(open=16.085, high=16.17, low=16.065, close=16.14, volume=132749, vwap=16.1239, timestamp=1680714000000, transactions=1342, otc=None)
Agg(open=16.14, high=16.17, low=15.925, close=15.925, volume=229232, vwap=16.0414, timestamp=1680717600000, transactions=2183, otc=None)
Agg(open=15.925, high=16.11, low=15.895, close=16.09, volume=554550, vwap=16.0393, timestamp=1680721200000, transactions=5106, otc=None)
Agg(open=16.09, high=16.09, low=16.09, close=16.09, volume=18808, vwap=16.09, timestamp=1680724800000, transactions=14, otc=None)
Agg(open=16.23, high=16.23, low=16.13, close=16.195, volume=122521, vwap=16.1863, timestamp=1680786000000, transactions=946, otc=None)
Agg(open=16.195, high=16.245, low=16.075, close=16.15, volume=204862, vwap=16.1643, timestamp=1680789600000, transactions=2153, otc=None)
Agg(open=16.15, high=16.17, low=16.1, close=16.125, volume=151355, vwap=16.1324, timestamp=1680793200000, transactions=1649, otc=None)
Agg(open=16.125, high=16.255, low=16.105, close=16.255, volume=115005, vwap=16.1846, timestamp=1680796800000, transactions=1355, otc=None)
Agg(open=16.255, high=16.28, low=16.17, close=16.17, volume=140665, vwap=16.2275, timestamp=1680800400000, transactions=1706, otc=None)
Agg(open=16.17, high=16.18, low=16.14, close=16.165, volume=133779, vwap=16.1622, timestamp=1680804000000, transactions=1794, otc=None)
Agg(open=16.165, high=16.29, low=16.13, close=16.27, volume=389215, vwap=16.2163, timestamp=1680807600000, transactions=4145, otc=None)
Agg(open=16.28, high=16.28, low=16.28, close=16.28, volume=30801, vwap=16.28, timestamp=1680811200000, transactions=14, otc=None)
