Agg(open=13.5, high=13.5, low=13.5, close=13.5, volume=100, vwap=13.5, timestamp=1696852800000, transactions=1, otc=None)
Agg(open=13.42, high=13.585, low=13.39, close=13.425, volume=185682, vwap=13.4779, timestamp=1696856400000, transactions=1899, otc=None)
Agg(open=13.42, high=13.525, low=13.36, close=13.49, volume=418688, vwap=13.4426, timestamp=1696860000000, transactions=4125, otc=None)
Agg(open=13.49, high=13.57, low=13.485, close=13.5315, volume=387141, vwap=13.533, timestamp=1696863600000, transactions=3960, otc=None)
Agg(open=13.54, high=13.565, low=13.495, close=13.5018, volume=356315, vwap=13.528, timestamp=1696867200000, transactions=3349, otc=None)
Agg(open=13.51, high=13.655, low=13.48, close=13.645, volume=316876, vwap=13.569, timestamp=1696870800000, transactions=3291, otc=None)
Agg(open=13.65, high=13.72, low=13.625, close=13.705, volume=319313, vwap=13.6715, timestamp=1696874400000, transactions=3637, otc=None)
Agg(open=13.705, high=13.71, low=13.535, close=13.63, volume=903721, vwap=13.6296, timestamp=1696878000000, transactions=8127, otc=None)
Agg(open=13.63, high=13.65, low=13.63, close=13.65, volume=36621, vwap=13.6301, timestamp=1696881600000, transactions=41, otc=None)
Agg(open=13.57, high=13.82, low=13.57, close=13.785, volume=260956, vwap=13.763, timestamp=1696942800000, transactions=2369, otc=None)
Agg(open=13.785, high=13.94, low=13.76, close=13.88, volume=463231, vwap=13.8872, timestamp=1696946400000, transactions=4299, otc=None)
Agg(open=13.88, high=13.95, low=13.86, close=13.9, volume=256370, vwap=13.8984, timestamp=1696950000000, transactions=3029, otc=None)
Agg(open=13.895, high=13.96, low=13.88, close=13.939, volume=356787, vwap=13.9218, timestamp=1696953600000, transactions=3272, otc=None)
Agg(open=13.93, high=13.935, low=13.84, close=13.905, volume=272023, vwap=13.8916, timestamp=1696957200000, transactions=2990, otc=None)
Agg(open=13.905, high=13.915, low=13.8313, close=13.85, volume=324374, vwap=13.8759, timestamp=1696960800000, transactions=3477, otc=None)
Agg(open=13.85, high=13.88, low=13.81, close=13.88, volume=771690, vwap=13.8531, timestamp=1696964400000, transactions=7486, otc=None)
Agg(open=13.88, high=13.88, low=13.88, close=13.88, volume=82163, vwap=13.88, timestamp=1696968000000, transactions=46, otc=None)
Agg(open=14, high=14, low=14, close=14, volume=319, vwap=14, timestamp=1697014800000, transactions=1, otc=None)
Agg(open=14.34, high=14.34, low=14.34, close=14.34, volume=230, vwap=14.2367, timestamp=1697022000000, transactions=9, otc=None)
Agg(open=13.81, high=14.05, low=13.8, close=13.98, volume=465126, vwap=13.9405, timestamp=1697029200000, transactions=3829, otc=None)
Agg(open=13.985, high=14.0475, low=13.855, close=13.9, volume=633337, vwap=13.926, timestamp=1697032800000, transactions=5857, otc=None)
Agg(open=13.9, high=13.94, low=13.74, close=13.76, volume=430469, vwap=13.8252, timestamp=1697036400000, transactions=4118, otc=None)
Agg(open=13.765, high=13.78, low=13.615, close=13.645, volume=409704, vwap=13.6887, timestamp=1697040000000, transactions=3766, otc=None)
Agg(open=13.6475, high=13.675, low=13.62, close=13.625, volume=570473, vwap=13.6438, timestamp=1697043600000, transactions=5443, otc=None)
Agg(open=13.6299, high=13.675, low=13.58, close=13.65, volume=910366, vwap=13.6265, timestamp=1697047200000, transactions=6741, otc=None)
Agg(open=13.66, high=13.825, low=13.655, close=13.8, volume=1190819.0, vwap=13.7705, timestamp=1697050800000, transactions=9581, otc=None)
Agg(open=13.81, high=13.81, low=13.81, close=13.81, volume=121387, vwap=13.81, timestamp=1697054400000, transactions=53, otc=None)
Agg(open=13.77, high=13.78, low=13.4, close=13.4, volume=420327, vwap=13.5094, timestamp=1697115600000, transactions=3312, otc=None)
Agg(open=13.4, high=13.51, low=13.375, close=13.465, volume=649352, vwap=13.4631, timestamp=1697119200000, transactions=6195, otc=None)
