Agg(open=4.08, high=4.16, low=4.07, close=4.13, volume=13570, vwap=4.1031, timestamp=1673946000000, transactions=70, otc=None)
Agg(open=4.14, high=4.2, low=4.14, close=4.16, volume=2602, vwap=4.1563, timestamp=1673949600000, transactions=39, otc=None)
Agg(open=4.16, high=4.19, low=4.16, close=4.19, volume=12886, vwap=4.1812, timestamp=1673953200000, transactions=97, otc=None)
Agg(open=4.19, high=4.21, low=4.18, close=4.19, volume=8747, vwap=4.1936, timestamp=1673956800000, transactions=100, otc=None)
Agg(open=4.18, high=4.2085, low=4.1015, close=4.19, volume=14956, vwap=4.173, timestamp=1673960400000, transactions=223, otc=None)
Agg(open=4.2, high=4.35, low=4.17, close=4.335, volume=470986, vwap=4.2825, timestamp=1673964000000, transactions=2367, otc=None)
Agg(open=4.3396, high=4.49, low=4.3384, close=4.47, volume=945192, vwap=4.415, timestamp=1673967600000, transactions=4171, otc=None)
Agg(open=4.4715, high=4.485, low=4.39, close=4.425, volume=370030, vwap=4.4327, timestamp=1673971200000, transactions=2046, otc=None)
Agg(open=4.425, high=4.45, low=4.18, close=4.325, volume=978717, vwap=4.3162, timestamp=1673974800000, transactions=4451, otc=None)
Agg(open=4.325, high=4.38, low=4.32, close=4.38, volume=323630, vwap=4.35, timestamp=1673978400000, transactions=1436, otc=None)
Agg(open=4.3778, high=4.435, low=4.3502, close=4.405, volume=437151, vwap=4.4034, timestamp=1673982000000, transactions=1959, otc=None)
Agg(open=4.4092, high=4.46, low=4.4, close=4.45, volume=774608, vwap=4.4405, timestamp=1673985600000, transactions=3325, otc=None)
Agg(open=4.44, high=4.45, low=4.4, close=4.4, volume=44811, vwap=4.4374, timestamp=1673989200000, transactions=103, otc=None)
Agg(open=4.43, high=4.43, low=4.35, close=4.35, volume=2436, vwap=4.3574, timestamp=1673992800000, transactions=5, otc=None)
Agg(open=4.43, high=4.43, low=4.43, close=4.43, volume=275, vwap=4.4217, timestamp=1673996400000, transactions=6, otc=None)
Agg(open=4.35, high=4.56, low=4.35, close=4.44, volume=19351, vwap=4.4199, timestamp=1674000000000, transactions=79, otc=None)
Agg(open=4.58, high=4.58, low=4.46, close=4.5, volume=10098, vwap=4.5075, timestamp=1674032400000, transactions=105, otc=None)
Agg(open=4.5, high=4.5, low=4.45, close=4.45, volume=6172, vwap=4.4776, timestamp=1674036000000, transactions=99, otc=None)
Agg(open=4.47, high=4.49, low=4.47, close=4.49, volume=640, vwap=4.4761, timestamp=1674039600000, transactions=9, otc=None)
Agg(open=4.49, high=4.5, low=4.47, close=4.49, volume=5738, vwap=4.491, timestamp=1674043200000, transactions=67, otc=None)
Agg(open=4.5042, high=4.5585, low=4.44, close=4.48, volume=27788, vwap=4.489, timestamp=1674046800000, transactions=421, otc=None)
Agg(open=4.49, high=4.55, low=4.4615, close=4.49, volume=567771, vwap=4.5044, timestamp=1674050400000, transactions=2287, otc=None)
Agg(open=4.49, high=4.64, low=4.43, close=4.4485, volume=726692, vwap=4.5461, timestamp=1674054000000, transactions=3974, otc=None)
Agg(open=4.4415, high=4.46, low=4.34, close=4.3864, volume=757713, vwap=4.4056, timestamp=1674057600000, transactions=3313, otc=None)
Agg(open=4.39, high=4.4092, low=4.28, close=4.33, volume=722867, vwap=4.348, timestamp=1674061200000, transactions=2300, otc=None)
Agg(open=4.335, high=4.39, low=4.315, close=4.3595, volume=592415, vwap=4.3664, timestamp=1674064800000, transactions=2230, otc=None)
Agg(open=4.3547, high=4.3568, low=4.25, close=4.265, volume=520464, vwap=4.292, timestamp=1674068400000, transactions=1866, otc=None)
Agg(open=4.26, high=4.28, low=4.25, close=4.265, volume=738053, vwap=4.2624, timestamp=1674072000000, transactions=3235, otc=None)
Agg(open=4.27, high=4.3, low=4.27, close=4.27, volume=40338, vwap=4.2735, timestamp=1674075600000, transactions=78, otc=None)
Agg(open=4.27, high=4.28, low=4.27, close=4.27, volume=1118, vwap=4.2719, timestamp=1674079200000, transactions=8, otc=None)
Agg(open=4.27, high=4.27, low=4.24, close=4.27, volume=1139, vwap=4.2562, timestamp=1674082800000, transactions=15, otc=None)
Agg(open=4.27, high=4.27, low=4.27, close=4.27, volume=235, vwap=4.27, timestamp=1674086400000, transactions=2, otc=None)
Agg(open=4.4, high=4.4, low=4.2, close=4.2, volume=3815, vwap=4.251, timestamp=1674118800000, transactions=65, otc=None)
Agg(open=4.22, high=4.25, low=4.19, close=4.19, volume=2204, vwap=4.2218, timestamp=1674122400000, transactions=39, otc=None)
Agg(open=4.2, high=4.22, low=4.17, close=4.2, volume=2849, vwap=4.1961, timestamp=1674126000000, transactions=31, otc=None)
Agg(open=4.19, high=4.19, low=4.15, close=4.16, volume=18751, vwap=4.1678, timestamp=1674129600000, transactions=202, otc=None)
Agg(open=4.17, high=4.28, low=4.15, close=4.2, volume=37258, vwap=4.1771, timestamp=1674133200000, transactions=319, otc=None)
Agg(open=4.2, high=4.23, low=4, close=4.05, volume=794323, vwap=4.0884, timestamp=1674136800000, transactions=3755, otc=None)
Agg(open=4.0589, high=4.085, low=3.98, close=3.985, volume=579249, vwap=4.0288, timestamp=1674140400000, transactions=3694, otc=None)
Agg(open=3.985, high=4.01, low=3.93, close=3.9399, volume=360377, vwap=3.965, timestamp=1674144000000, transactions=2481, otc=None)
