Agg(open=16.37, high=16.37, low=16.21, close=16.21, volume=354, vwap=16.2576, timestamp=1681729200000, transactions=7, otc=None)
Agg(open=16.21, high=16.21, low=16.21, close=16.21, volume=123, vwap=16.2353, timestamp=1681732800000, transactions=3, otc=None)
Agg(open=16.3, high=17, low=16.17, close=17, volume=1137947.0, vwap=16.7464, timestamp=1681736400000, transactions=9760, otc=None)
Agg(open=16.9915, high=17.65, low=16.87, close=17.14, volume=2794243.0, vwap=17.2275, timestamp=1681740000000, transactions=23102, otc=None)
Agg(open=17.14, high=17.16, low=16.82, close=16.88, volume=832457, vwap=16.945, timestamp=1681743600000, transactions=8457, otc=None)
Agg(open=16.875, high=16.96, low=16.85, close=16.905, volume=422902, vwap=16.8936, timestamp=1681747200000, transactions=4943, otc=None)
Agg(open=16.905, high=16.99, low=16.845, close=16.85, volume=425546, vwap=16.9211, timestamp=1681750800000, transactions=5327, otc=None)
Agg(open=16.85, high=16.98, low=16.84, close=16.965, volume=389187, vwap=16.9016, timestamp=1681754400000, transactions=5252, otc=None)
Agg(open=16.965, high=17.065, low=16.85, close=17.005, volume=1750614.0, vwap=16.9502, timestamp=1681758000000, transactions=12947, otc=None)
Agg(open=17, high=17.18, low=16.99, close=17.11, volume=14478, vwap=17.0353, timestamp=1681761600000, transactions=29, otc=None)
Agg(open=17.08, high=17.15, low=17.08, close=17.1499, volume=6585, vwap=17.137, timestamp=1681765200000, transactions=16, otc=None)
Agg(open=17.1, high=17.15, low=17.02, close=17.15, volume=5752, vwap=17.0302, timestamp=1681768800000, transactions=13, otc=None)
Agg(open=17.15, high=17.15, low=16.97, close=16.99, volume=2395, vwap=17.0395, timestamp=1681772400000, transactions=28, otc=None)
Agg(open=17.13, high=17.13, low=17, close=17.13, volume=5809, vwap=17.1244, timestamp=1681819200000, transactions=28, otc=None)
Agg(open=17.13, high=17.5, low=16.885, close=16.915, volume=1477846.0, vwap=17.2528, timestamp=1681822800000, transactions=10003, otc=None)
Agg(open=16.915, high=17.1, low=16.885, close=17.0691, volume=555116, vwap=17.0015, timestamp=1681826400000, transactions=6119, otc=None)
Agg(open=17.08, high=17.17, low=16.92, close=17.095, volume=580799, vwap=17.0495, timestamp=1681830000000, transactions=5674, otc=None)
Agg(open=17.095, high=17.225, low=17.08, close=17.1, volume=290367, vwap=17.1581, timestamp=1681833600000, transactions=3826, otc=None)
Agg(open=17.1, high=17.11, low=17, close=17.015, volume=224063, vwap=17.0546, timestamp=1681837200000, transactions=2886, otc=None)
Agg(open=17.015, high=17.09, low=16.99, close=17.045, volume=239141, vwap=17.0312, timestamp=1681840800000, transactions=3078, otc=None)
Agg(open=17.045, high=17.1, low=17.0399, close=17.1, volume=840700, vwap=17.0767, timestamp=1681844400000, transactions=7700, otc=None)
Agg(open=17.09, high=17.09, low=17, close=17, volume=21408, vwap=17.0883, timestamp=1681848000000, transactions=6, otc=None)
Agg(open=16.9325, high=17.1, low=16.93, close=17.1, volume=700, vwap=16.9877, timestamp=1681851600000, transactions=5, otc=None)
Agg(open=17, high=17, low=17, close=17, volume=6000, vwap=17, timestamp=1681855200000, transactions=8, otc=None)
Agg(open=17, high=17.15, low=17, close=17.15, volume=1094, vwap=17.0798, timestamp=1681902000000, transactions=6, otc=None)
Agg(open=16.814, high=17.15, low=16.814, close=17.15, volume=526, vwap=17.0731, timestamp=1681905600000, transactions=5, otc=None)
Agg(open=16.95, high=17.055, low=16.88, close=16.95, volume=224487, vwap=16.968, timestamp=1681909200000, transactions=2483, otc=None)
Agg(open=16.95, high=17.05, low=16.95, close=17.01, volume=368490, vwap=17.0063, timestamp=1681912800000, transactions=4247, otc=None)
Agg(open=17.01, high=17.055, low=16.94, close=17.0319, volume=291168, vwap=16.9974, timestamp=1681916400000, transactions=3684, otc=None)
Agg(open=17.03, high=17.06, low=16.94, close=16.95, volume=316132, vwap=17.0082, timestamp=1681920000000, transactions=3238, otc=None)
Agg(open=16.96, high=17.0282, low=16.945, close=17, volume=256035, vwap=16.985, timestamp=1681923600000, transactions=2781, otc=None)
Agg(open=17.005, high=17.055, low=16.96, close=16.975, volume=369399, vwap=17.0076, timestamp=1681927200000, transactions=3349, otc=None)
Agg(open=16.975, high=17.125, low=16.955, close=17.04, volume=1402557.0, vwap=17.0343, timestamp=1681930800000, transactions=10522, otc=None)
Agg(open=17.06, high=17.06, low=17.06, close=17.06, volume=8406, vwap=17.06, timestamp=1681934400000, transactions=7, otc=None)
Agg(open=17.03, high=17.03, low=17.03, close=17.03, volume=100, vwap=17.03, timestamp=1681938000000, transactions=1, otc=None)
Agg(open=17, high=17.11, low=16.7, close=17.09, volume=6514, vwap=16.9581, timestamp=1681941600000, transactions=45, otc=None)
Agg(open=16.99, high=17.14, low=16.99, close=17.14, volume=2385, vwap=17.0713, timestamp=1681945200000, transactions=13, otc=None)
Agg(open=16.95, high=16.95, low=16.95, close=16.95, volume=100, vwap=16.95, timestamp=1681992000000, transactions=1, otc=None)
Agg(open=16.81, high=16.92, low=16.67, close=16.855, volume=621037, vwap=16.7826, timestamp=1681995600000, transactions=3878, otc=None)
Agg(open=16.86, high=16.89, low=16.685, close=16.805, volume=649073, vwap=16.8142, timestamp=1681999200000, transactions=6176, otc=None)
Agg(open=16.805, high=16.815, low=16.575, close=16.575, volume=388721, vwap=16.7338, timestamp=1682002800000, transactions=4526, otc=None)
