Agg(open=14.12, high=14.15, low=14.12, close=14.15, volume=1130, vwap=14.1465, timestamp=1698656400000, transactions=5, otc=None)
Agg(open=14.23, high=14.5, low=14.115, close=14.15, volume=153076, vwap=14.2941, timestamp=1698670800000, transactions=1851, otc=None)
Agg(open=14.155, high=14.18, low=14.065, close=14.125, volume=295062, vwap=14.1319, timestamp=1698674400000, transactions=3597, otc=None)
Agg(open=14.13, high=14.22, low=14.07, close=14.105, volume=131831, vwap=14.143, timestamp=1698678000000, transactions=1950, otc=None)
Agg(open=14.105, high=14.105, low=13.965, close=13.97, volume=126698, vwap=14.0272, timestamp=1698681600000, transactions=1610, otc=None)
Agg(open=13.97, high=14.12, low=13.9519, close=14.12, volume=87750, vwap=14.0197, timestamp=1698685200000, transactions=1190, otc=None)
Agg(open=14.11, high=14.24, low=14.1, close=14.215, volume=116364, vwap=14.1697, timestamp=1698688800000, transactions=1752, otc=None)
Agg(open=14.22, high=14.29, low=14.185, close=14.24, volume=283844, vwap=14.233, timestamp=1698692400000, transactions=3790, otc=None)
Agg(open=14.23, high=14.23, low=14.23, close=14.23, volume=15581, vwap=14.23, timestamp=1698696000000, transactions=12, otc=None)
Agg(open=14.25, high=14.505, low=14.25, close=14.485, volume=110928, vwap=14.386, timestamp=1698757200000, transactions=1132, otc=None)
Agg(open=14.485, high=14.64, low=14.4, close=14.6301, volume=134811, vwap=14.5238, timestamp=1698760800000, transactions=1635, otc=None)
Agg(open=14.64, high=14.68, low=14.545, close=14.68, volume=118329, vwap=14.619, timestamp=1698764400000, transactions=1366, otc=None)
Agg(open=14.69, high=14.695, low=14.52, close=14.56, volume=108086, vwap=14.6106, timestamp=1698768000000, transactions=1500, otc=None)
Agg(open=14.56, high=14.61, low=14.535, close=14.61, volume=77374, vwap=14.5689, timestamp=1698771600000, transactions=1366, otc=None)
Agg(open=14.61, high=14.67, low=14.58, close=14.625, volume=83447, vwap=14.6224, timestamp=1698775200000, transactions=1546, otc=None)
Agg(open=14.63, high=14.69, low=14.62, close=14.63, volume=415416, vwap=14.6505, timestamp=1698778800000, transactions=4191, otc=None)
