Agg(open=4.6, high=4.6, low=4.57, close=4.57, volume=63566, vwap=4.576, timestamp=1688990400000, transactions=36, otc=None)
Agg(open=4.57, high=4.66, low=4.57, close=4.645, volume=1401034.0, vwap=4.618, timestamp=1688994000000, transactions=2124, otc=None)
Agg(open=4.645, high=4.69, low=4.64, close=4.69, volume=970603, vwap=4.6668, timestamp=1688997600000, transactions=1873, otc=None)
Agg(open=4.69, high=4.7, low=4.67, close=4.69, volume=546135, vwap=4.6852, timestamp=1689001200000, transactions=1660, otc=None)
Agg(open=4.685, high=4.72, low=4.68, close=4.72, volume=538272, vwap=4.6963, timestamp=1689004800000, transactions=1587, otc=None)
Agg(open=4.715, high=4.77, low=4.7115, close=4.765, volume=1007603.0, vwap=4.7411, timestamp=1689008400000, transactions=2306, otc=None)
Agg(open=4.76, high=4.79, low=4.76, close=4.785, volume=1847941.0, vwap=4.7783, timestamp=1689012000000, transactions=3492, otc=None)
Agg(open=4.785, high=4.81, low=4.78, close=4.8, volume=3198476.0, vwap=4.7933, timestamp=1689015600000, transactions=6786, otc=None)
Agg(open=4.81, high=4.81, low=4.79, close=4.81, volume=47511, vwap=4.8099, timestamp=1689019200000, transactions=12, otc=None)
Agg(open=4.8, high=4.8, low=4.8, close=4.8, volume=200, vwap=4.8, timestamp=1689022800000, transactions=1, otc=None)
Agg(open=4.8, high=4.8, low=4.8, close=4.8, volume=500, vwap=4.8, timestamp=1689026400000, transactions=1, otc=None)
Agg(open=4.8, high=4.8, low=4.8, close=4.8, volume=100, vwap=4.8, timestamp=1689066000000, transactions=1, otc=None)
Agg(open=4.81, high=4.81, low=4.81, close=4.81, volume=900, vwap=4.81, timestamp=1689069600000, transactions=3, otc=None)
Agg(open=4.86, high=4.86, low=4.83, close=4.83, volume=2011, vwap=4.8483, timestamp=1689073200000, transactions=6, otc=None)
Agg(open=4.85, high=4.85, low=4.82, close=4.83, volume=4614, vwap=4.8357, timestamp=1689076800000, transactions=11, otc=None)
Agg(open=4.84, high=4.88, low=4.83, close=4.875, volume=782254, vwap=4.8575, timestamp=1689080400000, transactions=1529, otc=None)
Agg(open=4.875, high=4.89, low=4.835, close=4.855, volume=1483313.0, vwap=4.8663, timestamp=1689084000000, transactions=2716, otc=None)
Agg(open=4.855, high=4.86, low=4.82, close=4.825, volume=1287401.0, vwap=4.8371, timestamp=1689087600000, transactions=3850, otc=None)
Agg(open=4.82, high=4.83, low=4.81, close=4.81, volume=617985, vwap=4.8185, timestamp=1689091200000, transactions=2421, otc=None)
Agg(open=4.81, high=4.82, low=4.8, close=4.805, volume=397810, vwap=4.8082, timestamp=1689094800000, transactions=1377, otc=None)
Agg(open=4.8, high=4.81, low=4.8, close=4.8, volume=311072, vwap=4.8019, timestamp=1689098400000, transactions=1748, otc=None)
