Agg(open=7.322, high=7.47, low=7.322, close=7.47, volume=1265, vwap=7.3514, timestamp=1676984400000, transactions=6, otc=None)
Agg(open=7.3069, high=7.57, low=7.3, close=7.455, volume=430422, vwap=7.4793, timestamp=1676988000000, transactions=2294, otc=None)
Agg(open=7.45, high=7.51, low=7.4, close=7.475, volume=567665, vwap=7.4633, timestamp=1676991600000, transactions=3214, otc=None)
Agg(open=7.47, high=7.505, low=7.415, close=7.425, volume=482171, vwap=7.4622, timestamp=1676995200000, transactions=2295, otc=None)
Agg(open=7.42, high=7.46, low=7.4, close=7.425, volume=453788, vwap=7.4337, timestamp=1676998800000, transactions=2150, otc=None)
Agg(open=7.425, high=7.44, low=7.375, close=7.44, volume=571859, vwap=7.4068, timestamp=1677002400000, transactions=2711, otc=None)
Agg(open=7.44, high=7.51, low=7.42, close=7.495, volume=783930, vwap=7.4726, timestamp=1677006000000, transactions=3150, otc=None)
Agg(open=7.5, high=7.57, low=7.49, close=7.5, volume=2864625.0, vwap=7.5251, timestamp=1677009600000, transactions=7841, otc=None)
Agg(open=7.49, high=7.6, low=7.49, close=7.6, volume=95463, vwap=7.4901, timestamp=1677013200000, transactions=19, otc=None)
Agg(open=7.58, high=7.58, low=7.41, close=7.51, volume=260993, vwap=7.5052, timestamp=1677074400000, transactions=1544, otc=None)
Agg(open=7.5, high=7.5, low=7.285, close=7.34, volume=613329, vwap=7.3687, timestamp=1677078000000, transactions=3359, otc=None)
Agg(open=7.34, high=7.37, low=7.29, close=7.345, volume=677663, vwap=7.3228, timestamp=1677081600000, transactions=3286, otc=None)
Agg(open=7.35, high=7.38, low=7.32, close=7.36, volume=259782, vwap=7.3519, timestamp=1677085200000, transactions=1635, otc=None)
Agg(open=7.36, high=7.43, low=7.34, close=7.395, volume=358507, vwap=7.3878, timestamp=1677088800000, transactions=2137, otc=None)
Agg(open=7.39, high=7.45, low=7.32, close=7.33, volume=688809, vwap=7.3924, timestamp=1677092400000, transactions=4122, otc=None)
Agg(open=7.32, high=7.38, low=7.29, close=7.375, volume=1115193.0, vwap=7.3363, timestamp=1677096000000, transactions=4679, otc=None)
Agg(open=7.37, high=7.37, low=7.37, close=7.37, volume=77332, vwap=7.37, timestamp=1677099600000, transactions=15, otc=None)
Agg(open=7.47, high=7.5, low=7.47, close=7.5, volume=500, vwap=7.4778, timestamp=1677110400000, transactions=2, otc=None)
Agg(open=7.55, high=7.62, low=7.48, close=7.515, volume=385509, vwap=7.5454, timestamp=1677160800000, transactions=1948, otc=None)
Agg(open=7.52, high=7.53, low=7.425, close=7.47, volume=574938, vwap=7.4775, timestamp=1677164400000, transactions=3151, otc=None)
Agg(open=7.47, high=7.5499, low=7.38, close=7.385, volume=609215, vwap=7.4743, timestamp=1677168000000, transactions=2785, otc=None)
Agg(open=7.385, high=7.45, low=7.38, close=7.435, volume=337761, vwap=7.4091, timestamp=1677171600000, transactions=2020, otc=None)
Agg(open=7.4301, high=7.47, low=7.41, close=7.465, volume=240820, vwap=7.4445, timestamp=1677175200000, transactions=1777, otc=None)
Agg(open=7.465, high=7.5487, low=7.465, close=7.52, volume=543168, vwap=7.5148, timestamp=1677178800000, transactions=2806, otc=None)
Agg(open=7.525, high=7.56, low=7.48, close=7.5, volume=1080272.0, vwap=7.5154, timestamp=1677182400000, transactions=5630, otc=None)
Agg(open=7.5, high=7.5, low=7.4, close=7.4, volume=62393, vwap=7.499, timestamp=1677186000000, transactions=24, otc=None)
Agg(open=7.4, high=7.58, low=7.4, close=7.58, volume=725, vwap=7.5241, timestamp=1677189600000, transactions=2, otc=None)
Agg(open=7.52, high=7.53, low=7.47, close=7.53, volume=16038, vwap=7.5261, timestamp=1677240000000, transactions=23, otc=None)
Agg(open=7.54, high=7.54, low=7.41, close=7.47, volume=27102, vwap=7.5295, timestamp=1677243600000, transactions=14, otc=None)
Agg(open=7.415, high=7.44, low=7.3, close=7.375, volume=527139, vwap=7.3417, timestamp=1677247200000, transactions=2497, otc=None)
Agg(open=7.37, high=7.45, low=7.31, close=7.415, volume=628822, vwap=7.3806, timestamp=1677250800000, transactions=3931, otc=None)
Agg(open=7.415, high=7.51, low=7.4, close=7.485, volume=619524, vwap=7.4503, timestamp=1677254400000, transactions=3616, otc=None)
Agg(open=7.485, high=7.49, low=7.38, close=7.39, volume=535416, vwap=7.4288, timestamp=1677258000000, transactions=3061, otc=None)
Agg(open=7.39, high=7.44, low=7.37, close=7.4, volume=518466, vwap=7.4056, timestamp=1677261600000, transactions=2772, otc=None)
Agg(open=7.4, high=7.53, low=7.4, close=7.52, volume=626904, vwap=7.4535, timestamp=1677265200000, transactions=3195, otc=None)
Agg(open=7.515, high=7.57, low=7.48, close=7.56, volume=1917947.0, vwap=7.5163, timestamp=1677268800000, transactions=8407, otc=None)
Agg(open=7.56, high=7.6, low=7.55, close=7.55, volume=117420, vwap=7.5601, timestamp=1677272400000, transactions=27, otc=None)
Agg(open=7.57, high=7.57, low=7.57, close=7.57, volume=140, vwap=7.57, timestamp=1677276000000, transactions=1, otc=None)
Agg(open=7.57, high=7.65, low=7.57, close=7.57, volume=1636, vwap=7.6189, timestamp=1677283200000, transactions=17, otc=None)
