Agg(open=12.67, high=12.67, low=12.66, close=12.66, volume=2250, vwap=12.6611, timestamp=1679310000000, transactions=5, otc=None)
Agg(open=12.66, high=12.7, low=12.66, close=12.7, volume=3310, vwap=12.694, timestamp=1679313600000, transactions=10, otc=None)
Agg(open=12.7, high=13, low=12.7, close=12.9887, volume=165784, vwap=12.8596, timestamp=1679317200000, transactions=1722, otc=None)
Agg(open=12.99, high=13.195, low=12.84, close=13.025, volume=296694, vwap=13.026, timestamp=1679320800000, transactions=3491, otc=None)
Agg(open=13.025, high=13.13, low=12.945, close=12.945, volume=268107, vwap=13.0662, timestamp=1679324400000, transactions=2693, otc=None)
Agg(open=12.95, high=12.975, low=12.805, close=12.935, volume=255445, vwap=12.88, timestamp=1679328000000, transactions=2737, otc=None)
Agg(open=12.94, high=12.99, low=12.85, close=12.875, volume=184768, vwap=12.9289, timestamp=1679331600000, transactions=2199, otc=None)
Agg(open=12.88, high=12.94, low=12.825, close=12.89, volume=176887, vwap=12.88, timestamp=1679335200000, transactions=2385, otc=None)
Agg(open=12.895, high=12.955, low=12.85, close=12.875, volume=506663, vwap=12.895, timestamp=1679338800000, transactions=5652, otc=None)
Agg(open=12.88, high=12.88, low=12.88, close=12.88, volume=239747, vwap=12.88, timestamp=1679342400000, transactions=23, otc=None)
Agg(open=13, high=13, low=13, close=13, volume=1024, vwap=13.0002, timestamp=1679396400000, transactions=6, otc=None)
Agg(open=13.53, high=13.53, low=13.41, close=13.53, volume=500, vwap=13.482, timestamp=1679400000000, transactions=3, otc=None)
Agg(open=13.32, high=13.39, low=13.15, close=13.25, volume=340109, vwap=13.2448, timestamp=1679403600000, transactions=2809, otc=None)
Agg(open=13.25, high=13.31, low=12.89, close=12.95, volume=1026783.0, vwap=13.0601, timestamp=1679407200000, transactions=7086, otc=None)
Agg(open=12.95, high=13.065, low=12.86, close=12.95, volume=359391, vwap=12.9726, timestamp=1679410800000, transactions=3705, otc=None)
Agg(open=12.96, high=13.05, low=12.92, close=12.97, volume=188280, vwap=12.9891, timestamp=1679414400000, transactions=2137, otc=None)
Agg(open=12.975, high=13.04, low=12.93, close=12.985, volume=274884, vwap=12.9948, timestamp=1679418000000, transactions=2715, otc=None)
Agg(open=12.98, high=13.01, low=12.89, close=12.945, volume=579937, vwap=12.9406, timestamp=1679421600000, transactions=4021, otc=None)
Agg(open=12.945, high=12.97, low=12.83, close=12.83, volume=1030229.0, vwap=12.8979, timestamp=1679425200000, transactions=6617, otc=None)
Agg(open=12.85, high=13.14, low=12.85, close=13.14, volume=25922, vwap=12.858, timestamp=1679428800000, transactions=16, otc=None)
Agg(open=12.85, high=12.85, low=12.85, close=12.85, volume=200, vwap=12.85, timestamp=1679472000000, transactions=2, otc=None)
Agg(open=13.01, high=13.01, low=13.01, close=13.01, volume=110, vwap=13.01, timestamp=1679486400000, transactions=2, otc=None)
Agg(open=12.85, high=12.8765, low=12.55, close=12.69, volume=371373, vwap=12.6827, timestamp=1679490000000, transactions=3032, otc=None)
