Agg(open=19, high=19.2, low=18.9, close=19.165, volume=105395, vwap=19.0725, timestamp=1679317200000, transactions=1067, otc=None)
Agg(open=19.17, high=19.345, low=19.115, close=19.335, volume=155969, vwap=19.2036, timestamp=1679320800000, transactions=1908, otc=None)
Agg(open=19.35, high=19.42, low=19.315, close=19.33, volume=179716, vwap=19.3793, timestamp=1679324400000, transactions=1619, otc=None)
Agg(open=19.33, high=19.37, low=19.25, close=19.355, volume=90185, vwap=19.3039, timestamp=1679328000000, transactions=1297, otc=None)
Agg(open=19.355, high=19.375, low=19.26, close=19.265, volume=72146, vwap=19.3126, timestamp=1679331600000, transactions=1058, otc=None)
Agg(open=19.265, high=19.265, low=19.185, close=19.225, volume=163799, vwap=19.2289, timestamp=1679335200000, transactions=1865, otc=None)
Agg(open=19.225, high=19.28, low=19.18, close=19.24, volume=525028, vwap=19.2394, timestamp=1679338800000, transactions=5456, otc=None)
Agg(open=19.23, high=19.23, low=19.23, close=19.23, volume=32446, vwap=19.23, timestamp=1679342400000, transactions=18, otc=None)
Agg(open=19.46, high=19.61, low=19.15, close=19.15, volume=278469, vwap=19.3396, timestamp=1679403600000, transactions=2585, otc=None)
Agg(open=19.15, high=19.23, low=19, close=19.095, volume=193550, vwap=19.0975, timestamp=1679407200000, transactions=2002, otc=None)
Agg(open=19.095, high=19.22, low=19.07, close=19.095, volume=104397, vwap=19.1462, timestamp=1679410800000, transactions=979, otc=None)
Agg(open=19.1, high=19.2, low=19.06, close=19.18, volume=99488, vwap=19.1252, timestamp=1679414400000, transactions=1170, otc=None)
Agg(open=19.175, high=19.175, low=19.12, close=19.135, volume=86475, vwap=19.1502, timestamp=1679418000000, transactions=1093, otc=None)
Agg(open=19.13, high=19.29, low=19.125, close=19.28, volume=103415, vwap=19.2111, timestamp=1679421600000, transactions=1318, otc=None)
Agg(open=19.28, high=19.36, low=19.24, close=19.29, volume=345465, vwap=19.3101, timestamp=1679425200000, transactions=3423, otc=None)
Agg(open=19.29, high=19.29, low=19.29, close=19.29, volume=28897, vwap=19.29, timestamp=1679428800000, transactions=21, otc=None)
Agg(open=19.21, high=19.25, low=19.15, close=19.215, volume=40322, vwap=19.2033, timestamp=1679490000000, transactions=452, otc=None)
Agg(open=19.21, high=19.275, low=19.15, close=19.265, volume=71751, vwap=19.2192, timestamp=1679493600000, transactions=936, otc=None)
Agg(open=19.27, high=19.28, low=19.06, close=19.07, volume=85549, vwap=19.1737, timestamp=1679497200000, transactions=1109, otc=None)
Agg(open=19.07, high=19.075, low=18.895, close=18.92, volume=92693, vwap=18.9705, timestamp=1679500800000, transactions=1274, otc=None)
Agg(open=18.92, high=18.96, low=18.89, close=18.96, volume=64348, vwap=18.9194, timestamp=1679504400000, transactions=965, otc=None)
Agg(open=18.96, high=19.11, low=18.845, close=18.87, volume=250788, vwap=18.9932, timestamp=1679508000000, transactions=3398, otc=None)
Agg(open=18.855, high=18.925, low=18.53, close=18.54, volume=415282, vwap=18.7134, timestamp=1679511600000, transactions=5254, otc=None)
Agg(open=18.54, high=18.54, low=18.54, close=18.54, volume=18154, vwap=18.54, timestamp=1679515200000, transactions=24, otc=None)
Agg(open=18.53, high=18.53, low=18.53, close=18.53, volume=100, vwap=18.53, timestamp=1679518800000, transactions=1, otc=None)
Agg(open=18.67, high=18.94, low=18.55, close=18.94, volume=89473, vwap=18.8082, timestamp=1679576400000, transactions=1424, otc=None)
Agg(open=18.94, high=19.05, low=18.93, close=19.01, volume=121442, vwap=18.9937, timestamp=1679580000000, transactions=1480, otc=None)
Agg(open=19.01, high=19.1, low=19.005, close=19.005, volume=85614, vwap=19.0584, timestamp=1679583600000, transactions=1040, otc=None)
Agg(open=19.005, high=19.01, low=18.855, close=18.87, volume=119151, vwap=18.9298, timestamp=1679587200000, transactions=1642, otc=None)
Agg(open=18.865, high=18.89, low=18.665, close=18.665, volume=108152, vwap=18.7763, timestamp=1679590800000, transactions=1429, otc=None)
Agg(open=18.665, high=18.7, low=18.52, close=18.575, volume=153557, vwap=18.6023, timestamp=1679594400000, transactions=2062, otc=None)
Agg(open=18.575, high=18.71, low=18.505, close=18.63, volume=342342, vwap=18.6405, timestamp=1679598000000, transactions=3487, otc=None)
Agg(open=18.63, high=18.63, low=18.63, close=18.63, volume=21104, vwap=18.63, timestamp=1679601600000, transactions=21, otc=None)
Agg(open=18.45, high=18.52, low=18.36, close=18.445, volume=68235, vwap=18.41, timestamp=1679662800000, transactions=809, otc=None)
Agg(open=18.435, high=18.545, low=18.405, close=18.45, volume=119185, vwap=18.4547, timestamp=1679666400000, transactions=1245, otc=None)
Agg(open=18.45, high=18.57, low=18.395, close=18.57, volume=83750, vwap=18.484, timestamp=1679670000000, transactions=1033, otc=None)
Agg(open=18.565, high=18.625, low=18.535, close=18.58, volume=68134, vwap=18.5829, timestamp=1679673600000, transactions=913, otc=None)
Agg(open=18.585, high=18.62, low=18.55, close=18.575, volume=58735, vwap=18.5802, timestamp=1679677200000, transactions=857, otc=None)
Agg(open=18.58, high=18.62, low=18.575, close=18.605, volume=78000, vwap=18.5987, timestamp=1679680800000, transactions=1028, otc=None)
Agg(open=18.605, high=18.655, low=18.49, close=18.53, volume=322596, vwap=18.5465, timestamp=1679684400000, transactions=2807, otc=None)
Agg(open=18.52, high=18.52, low=18.52, close=18.52, volume=24779, vwap=18.52, timestamp=1679688000000, transactions=17, otc=None)
