Agg(open=18.66, high=18.82, low=18.59, close=18.75, volume=92663, vwap=18.7174, timestamp=1690808400000, transactions=891, otc=None)
Agg(open=18.755, high=18.87, low=18.7, close=18.72, volume=135694, vwap=18.7778, timestamp=1690812000000, transactions=1676, otc=None)
Agg(open=18.71, high=18.77, low=18.64, close=18.68, volume=166637, vwap=18.7156, timestamp=1690815600000, transactions=2088, otc=None)
Agg(open=18.685, high=18.72, low=18.585, close=18.6, volume=150653, vwap=18.6625, timestamp=1690819200000, transactions=2225, otc=None)
Agg(open=18.6, high=18.605, low=18.52, close=18.54, volume=90990, vwap=18.5592, timestamp=1690822800000, transactions=1746, otc=None)
Agg(open=18.535, high=18.54, low=18.47, close=18.535, volume=105373, vwap=18.5076, timestamp=1690826400000, transactions=1585, otc=None)
Agg(open=18.54, high=18.64, low=18.52, close=18.58, volume=263116, vwap=18.5685, timestamp=1690830000000, transactions=3272, otc=None)
Agg(open=18.57, high=18.57, low=18.57, close=18.57, volume=18822, vwap=18.57, timestamp=1690833600000, transactions=13, otc=None)
Agg(open=18.57, high=18.57, low=18.415, close=18.52, volume=67367, vwap=18.4854, timestamp=1690894800000, transactions=969, otc=None)
Agg(open=18.53, high=18.555, low=18.295, close=18.41, volume=188715, vwap=18.3734, timestamp=1690898400000, transactions=2197, otc=None)
Agg(open=18.42, high=18.505, low=18.385, close=18.45, volume=114593, vwap=18.4489, timestamp=1690902000000, transactions=1470, otc=None)
Agg(open=18.455, high=18.48, low=18.435, close=18.47, volume=62470, vwap=18.4574, timestamp=1690905600000, transactions=790, otc=None)
Agg(open=18.465, high=18.495, low=18.385, close=18.385, volume=69701, vwap=18.443, timestamp=1690909200000, transactions=883, otc=None)
Agg(open=18.39, high=18.5, low=18.385, close=18.435, volume=115276, vwap=18.439, timestamp=1690912800000, transactions=1448, otc=None)
Agg(open=18.435, high=18.49, low=18.415, close=18.46, volume=272051, vwap=18.4486, timestamp=1690916400000, transactions=3098, otc=None)
Agg(open=18.46, high=18.46, low=18.46, close=18.46, volume=41874, vwap=18.46, timestamp=1690920000000, transactions=19, otc=None)
Agg(open=18.32, high=18.44, low=18.21, close=18.295, volume=111308, vwap=18.318, timestamp=1690981200000, transactions=1247, otc=None)
Agg(open=18.3, high=18.34, low=18.13, close=18.18, volume=146018, vwap=18.2524, timestamp=1690984800000, transactions=1811, otc=None)
Agg(open=18.185, high=18.29, low=18.085, close=18.285, volume=163044, vwap=18.161, timestamp=1690988400000, transactions=1875, otc=None)
Agg(open=18.285, high=18.335, low=18.19, close=18.315, volume=134123, vwap=18.2639, timestamp=1690992000000, transactions=1574, otc=None)
Agg(open=18.315, high=18.42, low=18.315, close=18.375, volume=176512, vwap=18.3827, timestamp=1690995600000, transactions=1675, otc=None)
Agg(open=18.375, high=18.38, low=18.3, close=18.325, volume=190555, vwap=18.3386, timestamp=1690999200000, transactions=1750, otc=None)
Agg(open=18.325, high=18.36, low=18.275, close=18.31, volume=400797, vwap=18.3233, timestamp=1691002800000, transactions=3701, otc=None)
Agg(open=18.32, high=18.32, low=18.32, close=18.32, volume=48018, vwap=18.32, timestamp=1691006400000, transactions=18, otc=None)
Agg(open=18.28, high=18.28, low=18, close=18.09, volume=91799, vwap=18.1098, timestamp=1691067600000, transactions=862, otc=None)
Agg(open=18.09, high=18.17, low=17.975, close=18.025, volume=217492, vwap=18.0728, timestamp=1691071200000, transactions=2091, otc=None)
Agg(open=18.02, high=18.45, low=18.02, close=18.44, volume=196778, vwap=18.2607, timestamp=1691074800000, transactions=2318, otc=None)
Agg(open=18.44, high=18.57, low=18.43, close=18.545, volume=135612, vwap=18.5158, timestamp=1691078400000, transactions=1662, otc=None)
Agg(open=18.545, high=18.62, low=18.5, close=18.5, volume=129906, vwap=18.5633, timestamp=1691082000000, transactions=1734, otc=None)
Agg(open=18.5, high=18.525, low=18.44, close=18.45, volume=115479, vwap=18.4829, timestamp=1691085600000, transactions=1456, otc=None)
Agg(open=18.455, high=18.47, low=18.35, close=18.35, volume=356563, vwap=18.3807, timestamp=1691089200000, transactions=3659, otc=None)
Agg(open=18.36, high=18.36, low=18.36, close=18.36, volume=18774, vwap=18.36, timestamp=1691092800000, transactions=9, otc=None)
Agg(open=18.31, high=18.61, low=18.295, close=18.44, volume=145932, vwap=18.4426, timestamp=1691154000000, transactions=1852, otc=None)
Agg(open=18.44, high=18.47, low=18.315, close=18.44, volume=243410, vwap=18.3914, timestamp=1691157600000, transactions=3535, otc=None)
Agg(open=18.45, high=18.48, low=18.345, close=18.38, volume=166567, vwap=18.3939, timestamp=1691161200000, transactions=2150, otc=None)
Agg(open=18.38, high=18.44, low=18.3725, close=18.43, volume=105325, vwap=18.4091, timestamp=1691164800000, transactions=1378, otc=None)
Agg(open=18.43, high=18.48, low=18.36, close=18.415, volume=153509, vwap=18.4154, timestamp=1691168400000, transactions=2007, otc=None)
Agg(open=18.415, high=18.42, low=18.22, close=18.22, volume=153664, vwap=18.3031, timestamp=1691172000000, transactions=1636, otc=None)
Agg(open=18.22, high=18.245, low=18.13, close=18.18, volume=448681, vwap=18.1727, timestamp=1691175600000, transactions=4792, otc=None)
Agg(open=18.19, high=18.19, low=18.15, close=18.15, volume=21434, vwap=18.1906, timestamp=1691179200000, transactions=25, otc=None)
