Agg(open=17.49, high=17.535, low=17.23, close=17.315, volume=195972, vwap=17.3094, timestamp=1700488800000, transactions=1566, otc=None)
Agg(open=17.31, high=17.45, low=17.265, close=17.4, volume=196585, vwap=17.349, timestamp=1700492400000, transactions=1647, otc=None)
Agg(open=17.41, high=17.44, low=17.375, close=17.38, volume=212286, vwap=17.4085, timestamp=1700496000000, transactions=1928, otc=None)
Agg(open=17.385, high=17.39, low=17.28, close=17.32, volume=178739, vwap=17.3333, timestamp=1700499600000, transactions=1686, otc=None)
Agg(open=17.33, high=17.55, low=17.32, close=17.55, volume=164867, vwap=17.4636, timestamp=1700503200000, transactions=1612, otc=None)
Agg(open=17.555, high=17.595, low=17.51, close=17.525, volume=205239, vwap=17.5495, timestamp=1700506800000, transactions=1887, otc=None)
Agg(open=17.53, high=17.53, low=17.44, close=17.45, volume=403814, vwap=17.4812, timestamp=1700510400000, transactions=3853, otc=None)
Agg(open=17.47, high=17.47, low=17.47, close=17.47, volume=48616, vwap=17.47, timestamp=1700514000000, transactions=30, otc=None)
Agg(open=17.3, high=17.3, low=16.695, close=16.78, volume=436936, vwap=16.8573, timestamp=1700575200000, transactions=3871, otc=None)
Agg(open=16.79, high=16.865, low=16.66, close=16.675, volume=353303, vwap=16.7624, timestamp=1700578800000, transactions=3808, otc=None)
Agg(open=16.675, high=16.685, low=16.585, close=16.625, volume=272084, vwap=16.6326, timestamp=1700582400000, transactions=2618, otc=None)
Agg(open=16.62, high=16.75, low=16.575, close=16.74, volume=245722, vwap=16.6699, timestamp=1700586000000, transactions=2693, otc=None)
Agg(open=16.73, high=16.755, low=16.625, close=16.7, volume=235723, vwap=16.6967, timestamp=1700589600000, transactions=2399, otc=None)
Agg(open=16.7, high=16.805, low=16.69, close=16.75, volume=194074, vwap=16.7512, timestamp=1700593200000, transactions=2167, otc=None)
Agg(open=16.745, high=16.755, low=16.65, close=16.69, volume=543241, vwap=16.6864, timestamp=1700596800000, transactions=4570, otc=None)
Agg(open=16.69, high=16.7, low=16.69, close=16.7, volume=68575, vwap=16.7, timestamp=1700600400000, transactions=26, otc=None)
Agg(open=16.82, high=16.85, low=16.63, close=16.74, volume=127422, vwap=16.7035, timestamp=1700661600000, transactions=1251, otc=None)
Agg(open=16.74, high=16.87, low=16.73, close=16.775, volume=182847, vwap=16.8109, timestamp=1700665200000, transactions=2503, otc=None)
Agg(open=16.77, high=16.9, low=16.765, close=16.885, volume=152296, vwap=16.8434, timestamp=1700668800000, transactions=2270, otc=None)
Agg(open=16.885, high=16.905, low=16.775, close=16.795, volume=109803, vwap=16.8457, timestamp=1700672400000, transactions=1564, otc=None)
Agg(open=16.795, high=16.84, low=16.76, close=16.805, volume=121257, vwap=16.7961, timestamp=1700676000000, transactions=1675, otc=None)
Agg(open=16.81, high=16.845, low=16.74, close=16.79, volume=135879, vwap=16.7941, timestamp=1700679600000, transactions=2390, otc=None)
Agg(open=16.79, high=16.855, low=16.78, close=16.82, volume=307586, vwap=16.8129, timestamp=1700683200000, transactions=3496, otc=None)
Agg(open=16.81, high=16.81, low=16.78, close=16.81, volume=28663, vwap=16.8097, timestamp=1700686800000, transactions=21, otc=None)
Agg(open=16.97, high=17.105, low=16.75, close=16.765, volume=223615, vwap=16.9383, timestamp=1700834400000, transactions=2231, otc=None)
Agg(open=16.76, high=16.905, low=16.75, close=16.845, volume=378844, vwap=16.8099, timestamp=1700838000000, transactions=3731, otc=None)
Agg(open=16.845, high=16.86, low=16.69, close=16.725, volume=385164, vwap=16.7672, timestamp=1700841600000, transactions=3767, otc=None)
Agg(open=16.72, high=17.09, low=16.67, close=17.02, volume=545241, vwap=16.8943, timestamp=1700845200000, transactions=4698, otc=None)
Agg(open=17.02, high=17.02, low=17.02, close=17.02, volume=488, vwap=17.02, timestamp=1700848800000, transactions=2, otc=None)
