Agg(open=12.5, high=13.8, low=11.61, close=13.17, volume=1750234.0, vwap=12.8121, timestamp=1675069200000, transactions=20620, otc=None)
Agg(open=13.17, high=13.7, low=13.15, close=13.3, volume=833173, vwap=13.3722, timestamp=1675072800000, transactions=10293, otc=None)
Agg(open=13.3, high=13.46, low=13.22, close=13.43, volume=539407, vwap=13.3477, timestamp=1675076400000, transactions=5773, otc=None)
Agg(open=13.43, high=14.79, low=13.4, close=13.88, volume=5373233.0, vwap=14.2744, timestamp=1675080000000, transactions=39145, otc=None)
Agg(open=14.2707, high=14.79, low=12.59, close=13.19, volume=8855853.0, vwap=13.7933, timestamp=1675083600000, transactions=59538, otc=None)
Agg(open=13.2, high=13.25, low=11.86, close=12.355, volume=32878235.0, vwap=12.366, timestamp=1675087200000, transactions=162592, otc=None)
Agg(open=12.355, high=12.59, low=11.89, close=12.1999, volume=18521170.0, vwap=12.178, timestamp=1675090800000, transactions=81381, otc=None)
Agg(open=12.19, high=12.27, low=11.98, close=12.04, volume=9513820.0, vwap=12.0749, timestamp=1675094400000, transactions=38157, otc=None)
Agg(open=12.04, high=12.33, low=12.02, close=12.12, volume=6986547.0, vwap=12.1359, timestamp=1675098000000, transactions=26243, otc=None)
Agg(open=12.125, high=12.125, low=11.58, close=11.929, volume=12325365.0, vwap=11.8834, timestamp=1675101600000, transactions=45842, otc=None)
Agg(open=11.93, high=12.05, low=11.85, close=11.965, volume=6614466.0, vwap=11.9578, timestamp=1675105200000, transactions=20532, otc=None)
Agg(open=11.965, high=11.97, low=11.69, close=11.75, volume=7871342.0, vwap=11.7546, timestamp=1675108800000, transactions=28945, otc=None)
Agg(open=11.75, high=11.77, low=11.6, close=11.64, volume=952690, vwap=11.7198, timestamp=1675112400000, transactions=2872, otc=None)
Agg(open=11.65, high=11.65, low=11.5, close=11.58, volume=340126, vwap=11.6026, timestamp=1675116000000, transactions=2189, otc=None)
Agg(open=11.58, high=11.62, low=11.55, close=11.56, volume=117932, vwap=11.5812, timestamp=1675119600000, transactions=823, otc=None)
Agg(open=11.55, high=11.59, low=11.5, close=11.54, volume=214309, vwap=11.5327, timestamp=1675123200000, transactions=1267, otc=None)
Agg(open=11.5, high=11.7, low=11.15, close=11.4, volume=268720, vwap=11.3572, timestamp=1675155600000, transactions=3737, otc=None)
Agg(open=11.4, high=11.4, low=11.18, close=11.3, volume=167641, vwap=11.2604, timestamp=1675159200000, transactions=2062, otc=None)
Agg(open=11.29, high=11.48, low=11.2, close=11.47, volume=136543, vwap=11.3325, timestamp=1675162800000, transactions=1266, otc=None)
Agg(open=11.46, high=11.47, low=11.19, close=11.33, volume=251201, vwap=11.2842, timestamp=1675166400000, transactions=2663, otc=None)
Agg(open=11.41, high=11.65, low=11.1515, close=11.59, volume=1074371.0, vwap=11.4071, timestamp=1675170000000, transactions=6589, otc=None)
Agg(open=11.6, high=11.76, low=11.24, close=11.63, volume=7712200.0, vwap=11.538, timestamp=1675173600000, transactions=33116, otc=None)
Agg(open=11.635, high=12.25, low=11.45, close=12.055, volume=11025559.0, vwap=11.8368, timestamp=1675177200000, transactions=41553, otc=None)
Agg(open=12.0505, high=12.205, low=11.59, close=11.6383, volume=9144502.0, vwap=11.9375, timestamp=1675180800000, transactions=34384, otc=None)
Agg(open=11.64, high=11.9098, low=11.53, close=11.8508, volume=4802315.0, vwap=11.6925, timestamp=1675184400000, transactions=17515, otc=None)
Agg(open=11.855, high=11.86, low=11.65, close=11.725, volume=3439858.0, vwap=11.7699, timestamp=1675188000000, transactions=12368, otc=None)
Agg(open=11.73, high=11.7445, low=11.52, close=11.565, volume=3947871.0, vwap=11.6189, timestamp=1675191600000, transactions=14651, otc=None)
Agg(open=11.57, high=11.69, low=11.5, close=11.685, volume=6254383.0, vwap=11.5614, timestamp=1675195200000, transactions=22341, otc=None)
Agg(open=11.69, high=11.7, low=11.52, close=11.56, volume=424018, vwap=11.6366, timestamp=1675198800000, transactions=1455, otc=None)
Agg(open=11.56, high=11.6, low=11.53, close=11.56, volume=150700, vwap=11.5561, timestamp=1675202400000, transactions=830, otc=None)
Agg(open=11.55, high=11.6, low=11.55, close=11.55, volume=60403, vwap=11.5723, timestamp=1675206000000, transactions=389, otc=None)
Agg(open=11.55, high=11.6, low=11.55, close=11.57, volume=61357, vwap=11.5618, timestamp=1675209600000, transactions=469, otc=None)
Agg(open=11.69, high=11.69, low=11.44, close=11.44, volume=86749, vwap=11.5346, timestamp=1675242000000, transactions=1479, otc=None)
Agg(open=11.45, high=11.5, low=11.45, close=11.46, volume=22352, vwap=11.4635, timestamp=1675245600000, transactions=434, otc=None)
Agg(open=11.46, high=11.52, low=11.44, close=11.52, volume=35380, vwap=11.4596, timestamp=1675249200000, transactions=554, otc=None)
Agg(open=11.51, high=11.66, low=11.46, close=11.6, volume=87383, vwap=11.5715, timestamp=1675252800000, transactions=1092, otc=None)
Agg(open=11.59, high=11.73, low=11.4315, close=11.53, volume=315239, vwap=11.5936, timestamp=1675256400000, transactions=3062, otc=None)
Agg(open=11.52, high=11.81, low=11.37, close=11.45, volume=5380908.0, vwap=11.6069, timestamp=1675260000000, transactions=24618, otc=None)
Agg(open=11.46, high=11.5391, low=11.11, close=11.115, volume=5742175.0, vwap=11.3808, timestamp=1675263600000, transactions=28234, otc=None)
Agg(open=11.1199, high=11.405, low=11.08, close=11.2094, volume=4211674.0, vwap=11.2623, timestamp=1675267200000, transactions=18978, otc=None)
Agg(open=11.21, high=11.34, low=11.11, close=11.33, volume=3228985.0, vwap=11.1932, timestamp=1675270800000, transactions=14601, otc=None)
Agg(open=11.32, high=11.41, low=11.255, close=11.2799, volume=2127774.0, vwap=11.3336, timestamp=1675274400000, transactions=9954, otc=None)
Agg(open=11.27, high=11.77, low=11.2112, close=11.7679, volume=7561395.0, vwap=11.5558, timestamp=1675278000000, transactions=31939, otc=None)
Agg(open=11.77, high=12.14, low=11.72, close=11.84, volume=10951783.0, vwap=11.9202, timestamp=1675281600000, transactions=40649, otc=None)
Agg(open=11.845, high=11.85, low=11.7, close=11.74, volume=775106, vwap=11.8169, timestamp=1675285200000, transactions=1923, otc=None)
Agg(open=11.73, high=12, low=11.59, close=11.9, volume=277198, vwap=11.7814, timestamp=1675288800000, transactions=1384, otc=None)
Agg(open=11.9654, high=12, low=11.8, close=11.98, volume=186962, vwap=11.9542, timestamp=1675292400000, transactions=1076, otc=None)
Agg(open=11.98, high=11.99, low=11.86, close=11.98, volume=135980, vwap=11.9593, timestamp=1675296000000, transactions=732, otc=None)
Agg(open=12.1, high=12.1, low=11.9, close=12.08, volume=86943, vwap=12.0447, timestamp=1675328400000, transactions=1294, otc=None)
Agg(open=12.07, high=12.07, low=11.95, close=11.99, volume=46224, vwap=12.0277, timestamp=1675332000000, transactions=827, otc=None)
Agg(open=11.97, high=11.99, low=11.91, close=11.91, volume=28105, vwap=11.9388, timestamp=1675335600000, transactions=534, otc=None)
Agg(open=11.93, high=11.95, low=11.89, close=11.95, volume=87226, vwap=11.9284, timestamp=1675339200000, transactions=738, otc=None)
Agg(open=11.94, high=12.23, low=11.8, close=12.23, volume=866222, vwap=12.0809, timestamp=1675342800000, transactions=5350, otc=None)
Agg(open=12.23, high=12.87, low=11.97, close=12.46, volume=12692947.0, vwap=12.4096, timestamp=1675346400000, transactions=56713, otc=None)
Agg(open=12.465, high=12.94, low=12.28, close=12.8312, volume=12026163.0, vwap=12.6292, timestamp=1675350000000, transactions=55069, otc=None)
Agg(open=12.835, high=13.04, low=12.41, close=12.44, volume=7883228.0, vwap=12.7007, timestamp=1675353600000, transactions=36769, otc=None)
Agg(open=12.44, high=12.585, low=12.275, close=12.505, volume=18132557.0, vwap=12.388, timestamp=1675357200000, transactions=25854, otc=None)
Agg(open=12.505, high=12.61, low=12.36, close=12.5454, volume=4046748.0, vwap=12.4984, timestamp=1675360800000, transactions=19497, otc=None)
Agg(open=12.5416, high=12.58, low=11.91, close=11.915, volume=6937875.0, vwap=12.1931, timestamp=1675364400000, transactions=32905, otc=None)
Agg(open=11.9199, high=12.11, low=11.86, close=12.06, volume=6524370.0, vwap=12.0069, timestamp=1675368000000, transactions=30213, otc=None)
Agg(open=12.07, high=12.07, low=11.75, close=11.83, volume=592330, vwap=11.9222, timestamp=1675371600000, transactions=2900, otc=None)
Agg(open=11.84, high=12.1, low=11.78, close=11.95, volume=247519, vwap=11.9437, timestamp=1675375200000, transactions=1048, otc=None)
Agg(open=11.95, high=11.98, low=11.9, close=11.93, volume=74691, vwap=11.9316, timestamp=1675378800000, transactions=476, otc=None)
Agg(open=11.92, high=11.95, low=11.85, close=11.88, volume=73699, vwap=11.9027, timestamp=1675382400000, transactions=547, otc=None)
Agg(open=12, high=12, low=11.71, close=11.97, volume=64148, vwap=11.8477, timestamp=1675414800000, transactions=1059, otc=None)
Agg(open=11.97, high=12, low=11.96, close=11.99, volume=14308, vwap=11.969, timestamp=1675418400000, transactions=231, otc=None)
Agg(open=11.98, high=11.99, low=11.86, close=11.95, volume=42609, vwap=11.9298, timestamp=1675422000000, transactions=465, otc=None)
Agg(open=11.95, high=12.06, low=11.95, close=12.05, volume=55843, vwap=12.0252, timestamp=1675425600000, transactions=514, otc=None)
Agg(open=12.0498, high=12.12, low=11.7115, close=11.87, volume=527897, vwap=11.9979, timestamp=1675429200000, transactions=4110, otc=None)
Agg(open=11.87, high=12.65, low=11.44, close=12.4116, volume=6414512.0, vwap=12.1633, timestamp=1675432800000, transactions=31466, otc=None)
Agg(open=12.4, high=12.6071, low=12.19, close=12.2208, volume=6154258.0, vwap=12.4041, timestamp=1675436400000, transactions=31038, otc=None)
Agg(open=12.2299, high=12.34, low=12.01, close=12.03, volume=3524917.0, vwap=12.2012, timestamp=1675440000000, transactions=16976, otc=None)
Agg(open=12.03, high=12.165, low=11.8709, close=11.885, volume=2732701.0, vwap=12.0623, timestamp=1675443600000, transactions=13189, otc=None)
Agg(open=11.88, high=11.91, low=11.67, close=11.745, volume=3522902.0, vwap=11.7879, timestamp=1675447200000, transactions=16560, otc=None)
Agg(open=11.74, high=11.78, low=11.61, close=11.6192, volume=1994827.0, vwap=11.7055, timestamp=1675450800000, transactions=10960, otc=None)
Agg(open=11.61, high=11.73, low=11.58, close=11.63, volume=3576072.0, vwap=11.6485, timestamp=1675454400000, transactions=18455, otc=None)
Agg(open=11.64, high=11.68, low=11.62, close=11.66, volume=383984, vwap=11.6321, timestamp=1675458000000, transactions=891, otc=None)
Agg(open=11.66, high=11.66, low=11.55, close=11.65, volume=68883, vwap=11.616, timestamp=1675461600000, transactions=644, otc=None)
Agg(open=11.66, high=11.7, low=11.65, close=11.69, volume=54854, vwap=11.669, timestamp=1675465200000, transactions=302, otc=None)
Agg(open=11.67, high=11.74, low=11.66, close=11.74, volume=60983, vwap=11.6863, timestamp=1675468800000, transactions=319, otc=None)
