Agg(open=8.2, high=8.24, low=8.2, close=8.21, volume=14974, vwap=8.2186, timestamp=1679904000000, transactions=91, otc=None)
Agg(open=8.22, high=8.26, low=8.21, close=8.26, volume=8822, vwap=8.2411, timestamp=1679907600000, transactions=97, otc=None)
Agg(open=8.26, high=8.28, low=8.25, close=8.26, volume=12919, vwap=8.2666, timestamp=1679911200000, transactions=115, otc=None)
Agg(open=8.28, high=8.3, low=8.25, close=8.29, volume=24494, vwap=8.2813, timestamp=1679914800000, transactions=208, otc=None)
Agg(open=8.25, high=8.41, low=8.22, close=8.33, volume=146456, vwap=8.3315, timestamp=1679918400000, transactions=1252, otc=None)
Agg(open=8.34, high=8.35, low=8.1479, close=8.17, volume=2048006.0, vwap=8.2387, timestamp=1679922000000, transactions=10277, otc=None)
Agg(open=8.175, high=8.28, low=8.12, close=8.1915, volume=1806259.0, vwap=8.2098, timestamp=1679925600000, transactions=13057, otc=None)
Agg(open=8.19, high=8.255, low=8.17, close=8.175, volume=1842661.0, vwap=8.2075, timestamp=1679929200000, transactions=8998, otc=None)
Agg(open=8.175, high=8.22, low=8.09, close=8.125, volume=1352327.0, vwap=8.156, timestamp=1679932800000, transactions=7515, otc=None)
Agg(open=8.12, high=8.21, low=8.11, close=8.195, volume=806700, vwap=8.1581, timestamp=1679936400000, transactions=5663, otc=None)
Agg(open=8.195, high=8.26, low=8.15, close=8.25, volume=1273096.0, vwap=8.2304, timestamp=1679940000000, transactions=6595, otc=None)
Agg(open=8.245, high=8.255, low=8.12, close=8.14, volume=1577583.0, vwap=8.1768, timestamp=1679943600000, transactions=8849, otc=None)
Agg(open=8.14, high=8.19, low=8.13, close=8.17, volume=148229, vwap=8.1422, timestamp=1679947200000, transactions=207, otc=None)
Agg(open=8.18, high=8.18, low=8.15, close=8.17, volume=5084, vwap=8.1743, timestamp=1679950800000, transactions=50, otc=None)
Agg(open=8.17, high=8.19, low=8.17, close=8.17, volume=17683, vwap=8.1753, timestamp=1679954400000, transactions=70, otc=None)
Agg(open=8.18, high=8.19, low=8.17, close=8.19, volume=23064, vwap=8.1752, timestamp=1679958000000, transactions=81, otc=None)
Agg(open=8.14, high=8.16, low=8.11, close=8.16, volume=1498, vwap=8.1467, timestamp=1679990400000, transactions=22, otc=None)
Agg(open=8.15, high=8.19, low=8.15, close=8.18, volume=7134, vwap=8.1803, timestamp=1679994000000, transactions=61, otc=None)
Agg(open=8.18, high=8.18, low=8.15, close=8.18, volume=3938, vwap=8.1712, timestamp=1679997600000, transactions=48, otc=None)
