Agg(open=5.9, high=6, low=5.88, close=5.95, volume=73859, vwap=5.9392, timestamp=1694419200000, transactions=550, otc=None)
Agg(open=5.95, high=5.96, low=5.93, close=5.94, volume=35465, vwap=5.9433, timestamp=1694422800000, transactions=333, otc=None)
Agg(open=5.94, high=5.95, low=5.91, close=5.95, volume=64132, vwap=5.9346, timestamp=1694426400000, transactions=342, otc=None)
Agg(open=5.945, high=5.945, low=5.91, close=5.92, volume=42721, vwap=5.9226, timestamp=1694430000000, transactions=420, otc=None)
Agg(open=5.93, high=5.9794, low=5.84, close=5.93, volume=217079, vwap=5.9186, timestamp=1694433600000, transactions=1692, otc=None)
Agg(open=5.93, high=6.02, low=5.78, close=5.78, volume=4486654.0, vwap=5.8975, timestamp=1694437200000, transactions=16617, otc=None)
Agg(open=5.78, high=5.83, low=5.635, close=5.825, volume=8607250.0, vwap=5.7384, timestamp=1694440800000, transactions=27592, otc=None)
Agg(open=5.829, high=5.83, low=5.71, close=5.7891, volume=4777172.0, vwap=5.7637, timestamp=1694444400000, transactions=13766, otc=None)
Agg(open=5.7857, high=5.84, low=5.78, close=5.835, volume=2118774.0, vwap=5.8129, timestamp=1694448000000, transactions=8602, otc=None)
Agg(open=5.839, high=5.88, low=5.81, close=5.855, volume=2470729.0, vwap=5.8512, timestamp=1694451600000, transactions=8877, otc=None)
Agg(open=5.86, high=5.89, low=5.75, close=5.865, volume=1642915.0, vwap=5.8624, timestamp=1694455200000, transactions=6965, otc=None)
Agg(open=5.865, high=5.9, low=5.84, close=5.86, volume=4786189.0, vwap=5.8713, timestamp=1694458800000, transactions=13523, otc=None)
Agg(open=5.84, high=5.86, low=5.83, close=5.84, volume=324441, vwap=5.8425, timestamp=1694462400000, transactions=654, otc=None)
Agg(open=5.85, high=5.85, low=5.83, close=5.84, volume=52828, vwap=5.8426, timestamp=1694466000000, transactions=291, otc=None)
Agg(open=5.85, high=5.85, low=5.84, close=5.85, volume=87098, vwap=5.847, timestamp=1694469600000, transactions=213, otc=None)
Agg(open=5.84, high=5.93, low=5.84, close=5.86, volume=98142, vwap=5.87, timestamp=1694473200000, transactions=217, otc=None)
Agg(open=5.88, high=5.88, low=5.84, close=5.85, volume=9836, vwap=5.8474, timestamp=1694505600000, transactions=132, otc=None)
Agg(open=5.84, high=5.87, low=5.83, close=5.85, volume=30203, vwap=5.85, timestamp=1694509200000, transactions=265, otc=None)
Agg(open=5.85, high=5.85, low=5.81, close=5.82, volume=38716, vwap=5.8273, timestamp=1694512800000, transactions=352, otc=None)
Agg(open=5.83, high=5.86, low=5.81, close=5.82, volume=26196, vwap=5.831, timestamp=1694516400000, transactions=245, otc=None)
