Agg(open=5.1, high=5.1, low=5, close=5, volume=213793, vwap=5.0184, timestamp=1696838400000, transactions=1033, otc=None)
Agg(open=5.01, high=5.06, low=5.01, close=5.04, volume=64966, vwap=5.0338, timestamp=1696842000000, transactions=284, otc=None)
Agg(open=5.05, high=5.05, low=5.02, close=5.05, volume=78598, vwap=5.0401, timestamp=1696845600000, transactions=214, otc=None)
Agg(open=5.05, high=5.05, low=5.03, close=5.04, volume=132215, vwap=5.0373, timestamp=1696849200000, transactions=305, otc=None)
Agg(open=5.0499, high=5.06, low=5.01, close=5.01, volume=532301, vwap=5.0263, timestamp=1696852800000, transactions=2216, otc=None)
Agg(open=5.02, high=5.14, low=4.95, close=5.025, volume=4890803.0, vwap=5.0234, timestamp=1696856400000, transactions=13220, otc=None)
Agg(open=5.03, high=5.03, low=4.88, close=4.8979, volume=7396112.0, vwap=4.9424, timestamp=1696860000000, transactions=25763, otc=None)
Agg(open=4.9, high=4.925, low=4.87, close=4.915, volume=4368711.0, vwap=4.8986, timestamp=1696863600000, transactions=16827, otc=None)
Agg(open=4.9163, high=4.9599, low=4.9, close=4.905, volume=2590473.0, vwap=4.9279, timestamp=1696867200000, transactions=9466, otc=None)
Agg(open=4.9071, high=4.98, low=4.905, close=4.98, volume=2468340.0, vwap=4.9428, timestamp=1696870800000, transactions=8246, otc=None)
Agg(open=4.98, high=5.04, low=4.9601, close=5.0242, volume=3258653.0, vwap=5.0062, timestamp=1696874400000, transactions=9134, otc=None)
Agg(open=5.025, high=5.05, low=4.925, close=5.02, volume=4425777.0, vwap=5.0272, timestamp=1696878000000, transactions=14345, otc=None)
Agg(open=5.02, high=5.04, low=5, close=5.01, volume=173224, vwap=5.0212, timestamp=1696881600000, transactions=450, otc=None)
Agg(open=5.01, high=5.02, low=5.01, close=5.02, volume=75985, vwap=5.0115, timestamp=1696885200000, transactions=259, otc=None)
Agg(open=5.01, high=5.02, low=5, close=5.01, volume=26560, vwap=5.0064, timestamp=1696888800000, transactions=186, otc=None)
Agg(open=5.01, high=5.01, low=4.99, close=4.99, volume=24854, vwap=5.0037, timestamp=1696892400000, transactions=198, otc=None)
Agg(open=4.99, high=5.06, low=4.99, close=5.06, volume=70339, vwap=5.0387, timestamp=1696924800000, transactions=400, otc=None)
Agg(open=5.06, high=5.07, low=5.04, close=5.05, volume=24168, vwap=5.051, timestamp=1696928400000, transactions=199, otc=None)
Agg(open=5.04, high=5.06, low=5.01, close=5.01, volume=81666, vwap=5.0331, timestamp=1696932000000, transactions=448, otc=None)
Agg(open=5.01, high=5.02, low=5, close=5, volume=75014, vwap=5.0069, timestamp=1696935600000, transactions=462, otc=None)
Agg(open=5.0001, high=5.0605, low=5, close=5.02, volume=226399, vwap=5.0098, timestamp=1696939200000, transactions=1274, otc=None)
Agg(open=5.0105, high=5.22, low=4.99, close=5.21, volume=4979935.0, vwap=5.13, timestamp=1696942800000, transactions=11605, otc=None)
Agg(open=5.2133, high=5.26, low=5.19, close=5.22, volume=5766148.0, vwap=5.2261, timestamp=1696946400000, transactions=17235, otc=None)
Agg(open=5.215, high=5.31, low=5.2, close=5.3058, volume=5004501.0, vwap=5.2677, timestamp=1696950000000, transactions=11360, otc=None)
Agg(open=5.3058, high=5.41, low=5.28, close=5.4, volume=4640371.0, vwap=5.3567, timestamp=1696953600000, transactions=9774, otc=None)
Agg(open=5.4, high=5.4, low=5.32, close=5.37, volume=3506360.0, vwap=5.3582, timestamp=1696957200000, transactions=9719, otc=None)
Agg(open=5.36, high=5.43, low=5.33, close=5.405, volume=3795913.0, vwap=5.384, timestamp=1696960800000, transactions=11125, otc=None)
Agg(open=5.41, high=5.46, low=5.4, close=5.435, volume=7088486.0, vwap=5.4344, timestamp=1696964400000, transactions=18260, otc=None)
Agg(open=5.43, high=5.44, low=5.36, close=5.4, volume=271393, vwap=5.4122, timestamp=1696968000000, transactions=718, otc=None)
Agg(open=5.4, high=5.42, low=5.39, close=5.405, volume=273064, vwap=5.4343, timestamp=1696971600000, transactions=296, otc=None)
Agg(open=5.4, high=5.42, low=5.4, close=5.4, volume=33536, vwap=5.4071, timestamp=1696975200000, transactions=148, otc=None)
Agg(open=5.4099, high=5.41, low=5.39, close=5.4, volume=29998, vwap=5.3953, timestamp=1696978800000, transactions=143, otc=None)
Agg(open=5.42, high=5.42, low=5.4, close=5.41, volume=22620, vwap=5.4088, timestamp=1697011200000, transactions=146, otc=None)
Agg(open=5.4, high=5.42, low=5.4, close=5.42, volume=15127, vwap=5.4053, timestamp=1697014800000, transactions=113, otc=None)
Agg(open=5.41, high=5.42, low=5.4, close=5.41, volume=29571, vwap=5.4073, timestamp=1697018400000, transactions=218, otc=None)
Agg(open=5.41, high=5.44, low=5.4, close=5.44, volume=32662, vwap=5.427, timestamp=1697022000000, transactions=249, otc=None)
Agg(open=5.41, high=5.45, low=5.39, close=5.45, volume=315157, vwap=5.4203, timestamp=1697025600000, transactions=1797, otc=None)
Agg(open=5.44, high=5.48, low=5.33, close=5.34, volume=3531406.0, vwap=5.4013, timestamp=1697029200000, transactions=11824, otc=None)
Agg(open=5.3412, high=5.35, low=5.28, close=5.345, volume=5624019.0, vwap=5.3213, timestamp=1697032800000, transactions=15615, otc=None)
Agg(open=5.346, high=5.37, low=5.28, close=5.29, volume=3028658.0, vwap=5.3166, timestamp=1697036400000, transactions=9469, otc=None)
Agg(open=5.285, high=5.34, low=5.28, close=5.33, volume=2158166.0, vwap=5.3069, timestamp=1697040000000, transactions=6877, otc=None)
Agg(open=5.325, high=5.33, low=5.23, close=5.27, volume=2507704.0, vwap=5.2698, timestamp=1697043600000, transactions=10305, otc=None)
Agg(open=5.27, high=5.32, low=5.27, close=5.32, volume=2307160.0, vwap=5.3007, timestamp=1697047200000, transactions=9489, otc=None)
Agg(open=5.315, high=5.35, low=5.29, close=5.34, volume=3794819.0, vwap=5.3313, timestamp=1697050800000, transactions=11580, otc=None)
Agg(open=5.34, high=5.35, low=5.32, close=5.33, volume=576877, vwap=5.3391, timestamp=1697054400000, transactions=523, otc=None)
Agg(open=5.32, high=5.34, low=5.31, close=5.31, volume=50903, vwap=5.3233, timestamp=1697058000000, transactions=247, otc=None)
Agg(open=5.31, high=5.34, low=5.31, close=5.32, volume=38841, vwap=5.3213, timestamp=1697061600000, transactions=84, otc=None)
Agg(open=5.3299, high=5.34, low=5.3, close=5.32, volume=32229, vwap=5.3184, timestamp=1697065200000, transactions=129, otc=None)
Agg(open=5.4, high=5.4, low=5.31, close=5.35, volume=39409, vwap=5.3444, timestamp=1697097600000, transactions=285, otc=None)
Agg(open=5.35, high=5.36, low=5.33, close=5.33, volume=16808, vwap=5.341, timestamp=1697101200000, transactions=158, otc=None)
