Agg(open=16.15, high=16.15, low=16.15, close=16.15, volume=1220, vwap=16.15, timestamp=1674475200000, transactions=6, otc=None)
Agg(open=16.1399, high=16.1399, low=16.05, close=16.05, volume=1282, vwap=16.0847, timestamp=1674478800000, transactions=18, otc=None)
Agg(open=16.07, high=16.7593, low=16.07, close=16.7, volume=195559, vwap=16.4213, timestamp=1674482400000, transactions=1776, otc=None)
Agg(open=16.7, high=17.01, low=16.7, close=16.785, volume=574352, vwap=16.8488, timestamp=1674486000000, transactions=3815, otc=None)
Agg(open=16.785, high=17.02, low=16.74, close=16.905, volume=327859, vwap=16.8775, timestamp=1674489600000, transactions=3146, otc=None)
Agg(open=16.91, high=17.02, low=16.77, close=16.85, volume=399599, vwap=16.8772, timestamp=1674493200000, transactions=3520, otc=None)
Agg(open=16.845, high=17.04, low=16.78, close=17.01, volume=414396, vwap=16.9193, timestamp=1674496800000, transactions=3380, otc=None)
Agg(open=17.01, high=17.02, low=16.72, close=16.73, volume=347748, vwap=16.8831, timestamp=1674500400000, transactions=3065, otc=None)
Agg(open=16.74, high=16.888, low=16.74, close=16.825, volume=585524, vwap=16.8395, timestamp=1674504000000, transactions=5653, otc=None)
Agg(open=16.82, high=16.82, low=16.82, close=16.82, volume=21709, vwap=16.82, timestamp=1674507600000, transactions=20, otc=None)
Agg(open=16.82, high=16.82, low=16.69, close=16.69, volume=201, vwap=16.7547, timestamp=1674558000000, transactions=2, otc=None)
Agg(open=17, high=17, low=16.61, close=16.73, volume=81643, vwap=16.7989, timestamp=1674568800000, transactions=1265, otc=None)
Agg(open=16.75, high=16.83, low=16.66, close=16.8, volume=241325, vwap=16.7502, timestamp=1674572400000, transactions=3412, otc=None)
Agg(open=16.8, high=16.955, low=16.6985, close=16.795, volume=373590, vwap=16.8274, timestamp=1674576000000, transactions=3757, otc=None)
Agg(open=16.8, high=16.81, low=16.675, close=16.79, volume=325174, vwap=16.7355, timestamp=1674579600000, transactions=2895, otc=None)
Agg(open=16.795, high=16.92, low=16.795, close=16.895, volume=182155, vwap=16.8662, timestamp=1674583200000, transactions=2386, otc=None)
Agg(open=16.89, high=16.89, low=16.74, close=16.785, volume=410365, vwap=16.8181, timestamp=1674586800000, transactions=3212, otc=None)
Agg(open=16.79, high=16.835, low=16.64, close=16.72, volume=709596, vwap=16.7243, timestamp=1674590400000, transactions=6561, otc=None)
Agg(open=16.72, high=16.72, low=16.72, close=16.72, volume=19406, vwap=16.72, timestamp=1674594000000, transactions=15, otc=None)
Agg(open=16.7, high=16.7, low=16.7, close=16.7, volume=953, vwap=16.7, timestamp=1674601200000, transactions=2, otc=None)
Agg(open=17.3954, high=17.3954, low=17.3954, close=17.3954, volume=526, vwap=17.3694, timestamp=1674651600000, transactions=8, otc=None)
Agg(open=16.55, high=16.63, low=16.14, close=16.2, volume=444130, vwap=16.3606, timestamp=1674655200000, transactions=1361, otc=None)
Agg(open=16.21, high=16.44, low=16.2, close=16.4, volume=641524, vwap=16.3473, timestamp=1674658800000, transactions=4353, otc=None)
Agg(open=16.395, high=16.61, low=16.37, close=16.515, volume=455406, vwap=16.4618, timestamp=1674662400000, transactions=2604, otc=None)
Agg(open=16.515, high=16.595, low=16.515, close=16.53, volume=193106, vwap=16.5508, timestamp=1674666000000, transactions=1842, otc=None)
Agg(open=16.52, high=16.75, low=16.52, close=16.72, volume=214203, vwap=16.6533, timestamp=1674669600000, transactions=2329, otc=None)
Agg(open=16.72, high=16.76, low=16.54, close=16.58, volume=507082, vwap=16.6101, timestamp=1674673200000, transactions=4215, otc=None)
Agg(open=16.575, high=16.68, low=16.5, close=16.52, volume=1207586.0, vwap=16.6054, timestamp=1674676800000, transactions=7940, otc=None)
Agg(open=16.48, high=17.92, low=16.48, close=17.68, volume=189020, vwap=16.9693, timestamp=1674680400000, transactions=599, otc=None)
Agg(open=17.6996, high=17.7, low=17.31, close=17.31, volume=15194, vwap=17.5762, timestamp=1674684000000, transactions=72, otc=None)
Agg(open=17.49, high=17.56, low=17.4, close=17.55, volume=10890, vwap=17.4989, timestamp=1674687600000, transactions=38, otc=None)
Agg(open=17.46, high=17.57, low=17.46, close=17.5687, volume=8851, vwap=17.5105, timestamp=1674691200000, transactions=17, otc=None)
Agg(open=17.57, high=17.57, low=17.57, close=17.57, volume=100, vwap=17.57, timestamp=1674723600000, transactions=1, otc=None)
Agg(open=17.5, high=17.58, low=17.46, close=17.58, volume=4520, vwap=17.5052, timestamp=1674734400000, transactions=23, otc=None)
Agg(open=17.5899, high=17.85, low=17.42, close=17.67, volume=40674, vwap=17.5921, timestamp=1674738000000, transactions=71, otc=None)
Agg(open=17.7, high=17.85, low=16.83, close=16.85, volume=909856, vwap=17.287, timestamp=1674741600000, transactions=5293, otc=None)
Agg(open=16.86, high=17.335, low=16.85, close=17.175, volume=802285, vwap=17.107, timestamp=1674745200000, transactions=7046, otc=None)
Agg(open=17.17, high=17.44, low=16.9, close=17.168, volume=705310, vwap=17.1676, timestamp=1674748800000, transactions=6322, otc=None)
Agg(open=17.15, high=17.49, low=17.15, close=17.48, volume=433192, vwap=17.2809, timestamp=1674752400000, transactions=3749, otc=None)
Agg(open=17.4883, high=17.57, low=17.46, close=17.49, volume=492102, vwap=17.5151, timestamp=1674756000000, transactions=4425, otc=None)
Agg(open=17.49, high=17.635, low=17.44, close=17.6, volume=436894, vwap=17.5263, timestamp=1674759600000, transactions=4160, otc=None)
Agg(open=17.605, high=17.83, low=17.53, close=17.74, volume=1477220.0, vwap=17.7111, timestamp=1674763200000, transactions=10043, otc=None)
Agg(open=17.73, high=17.73, low=17.3617, close=17.65, volume=44325, vwap=17.7062, timestamp=1674766800000, transactions=26, otc=None)
Agg(open=17.74, high=17.75, low=17.6, close=17.6, volume=2700, vwap=17.7134, timestamp=1674770400000, transactions=10, otc=None)
Agg(open=17.58, high=17.58, low=17.58, close=17.58, volume=100, vwap=17.58, timestamp=1674774000000, transactions=1, otc=None)
Agg(open=17.78, high=17.78, low=17.78, close=17.78, volume=100, vwap=17.78, timestamp=1674817200000, transactions=1, otc=None)
Agg(open=17.8, high=17.8, low=17.56, close=17.61, volume=1929, vwap=17.6135, timestamp=1674824400000, transactions=9, otc=None)
Agg(open=17.6, high=18.04, low=17.57, close=17.94, volume=279836, vwap=17.8026, timestamp=1674828000000, transactions=2143, otc=None)
Agg(open=17.95, high=18.135, low=17.94, close=18.055, volume=517133, vwap=18.0543, timestamp=1674831600000, transactions=5008, otc=None)
Agg(open=18.055, high=18.055, low=17.62, close=17.81, volume=449082, vwap=17.8659, timestamp=1674835200000, transactions=4637, otc=None)
