Agg(open=14.14, high=14.2, low=13.98, close=14, volume=70004, vwap=14.0406, timestamp=1699884000000, transactions=878, otc=None)
Agg(open=13.995, high=14.14, low=13.94, close=14.13, volume=120499, vwap=14.0717, timestamp=1699887600000, transactions=1595, otc=None)
Agg(open=14.12, high=14.205, low=14.11, close=14.195, volume=130088, vwap=14.1511, timestamp=1699891200000, transactions=1469, otc=None)
Agg(open=14.195, high=14.23, low=14.1225, close=14.215, volume=113958, vwap=14.1718, timestamp=1699894800000, transactions=1361, otc=None)
Agg(open=14.215, high=14.24, low=14.17, close=14.195, volume=101975, vwap=14.202, timestamp=1699898400000, transactions=1540, otc=None)
Agg(open=14.19, high=14.22, low=14.17, close=14.19, volume=111412, vwap=14.1926, timestamp=1699902000000, transactions=1604, otc=None)
Agg(open=14.19, high=14.275, low=14.175, close=14.24, volume=370102, vwap=14.2414, timestamp=1699905600000, transactions=3653, otc=None)
Agg(open=14.25, high=14.25, low=14.25, close=14.25, volume=18526, vwap=14.25, timestamp=1699909200000, transactions=13, otc=None)
Agg(open=14.28, high=14.73, low=14.28, close=14.73, volume=6375, vwap=14.5463, timestamp=1699966800000, transactions=38, otc=None)
Agg(open=14.68, high=14.94, low=14.55, close=14.94, volume=125852, vwap=14.7627, timestamp=1699970400000, transactions=1533, otc=None)
Agg(open=14.93, high=15.13, low=14.89, close=15.105, volume=280046, vwap=15.0077, timestamp=1699974000000, transactions=3063, otc=None)
Agg(open=15.115, high=15.24, low=15.04, close=15.0619, volume=274930, vwap=15.149, timestamp=1699977600000, transactions=3251, otc=None)
Agg(open=15.065, high=15.1, low=14.985, close=15.09, volume=182477, vwap=15.0471, timestamp=1699981200000, transactions=2419, otc=None)
Agg(open=15.09, high=15.125, low=15.04, close=15.055, volume=168253, vwap=15.0902, timestamp=1699984800000, transactions=2223, otc=None)
Agg(open=15.055, high=15.0625, low=14.87, close=14.895, volume=270237, vwap=14.9373, timestamp=1699988400000, transactions=3567, otc=None)
Agg(open=14.895, high=15, low=14.895, close=14.98, volume=529758, vwap=14.9654, timestamp=1699992000000, transactions=5987, otc=None)
Agg(open=14.98, high=14.98, low=14.98, close=14.98, volume=16511, vwap=14.98, timestamp=1699995600000, transactions=16, otc=None)
Agg(open=14.99, high=14.99, low=14.99, close=14.99, volume=1000, vwap=14.99, timestamp=1699999200000, transactions=1, otc=None)
Agg(open=15.08, high=15.1, low=15.08, close=15.1, volume=5685, vwap=15.0955, timestamp=1700002800000, transactions=5, otc=None)
Agg(open=15, high=15.14, low=15, close=15.14, volume=1394, vwap=15.0846, timestamp=1700049600000, transactions=4, otc=None)
Agg(open=15.05, high=15.05, low=15.05, close=15.05, volume=500, vwap=15.05, timestamp=1700053200000, transactions=1, otc=None)
Agg(open=15.12, high=15.55, low=15.0281, close=15.55, volume=183522, vwap=15.388, timestamp=1700056800000, transactions=1840, otc=None)
Agg(open=15.55, high=15.6, low=15.415, close=15.495, volume=441525, vwap=15.5258, timestamp=1700060400000, transactions=3945, otc=None)
Agg(open=15.5, high=15.525, low=15.32, close=15.335, volume=219785, vwap=15.4141, timestamp=1700064000000, transactions=2666, otc=None)
Agg(open=15.33, high=15.365, low=15.195, close=15.2, volume=142733, vwap=15.3117, timestamp=1700067600000, transactions=2057, otc=None)
Agg(open=15.205, high=15.345, low=15.14, close=15.345, volume=230037, vwap=15.2102, timestamp=1700071200000, transactions=2737, otc=None)
Agg(open=15.35, high=15.355, low=15.24, close=15.245, volume=174039, vwap=15.3082, timestamp=1700074800000, transactions=2081, otc=None)
Agg(open=15.245, high=15.29, low=15.205, close=15.22, volume=559326, vwap=15.2366, timestamp=1700078400000, transactions=5717, otc=None)
