Agg(open=20.59, high=20.6, low=20.59, close=20.6, volume=4191, vwap=20.5983, timestamp=1682323200000, transactions=7, otc=None)
Agg(open=20.6, high=20.6, low=20.6, close=20.6, volume=447, vwap=20.6, timestamp=1682326800000, transactions=1, otc=None)
Agg(open=20.56, high=20.75, low=20.56, close=20.75, volume=3037, vwap=20.6352, timestamp=1682330400000, transactions=23, otc=None)
Agg(open=20.75, high=20.81, low=20.74, close=20.8, volume=2314, vwap=20.7752, timestamp=1682334000000, transactions=26, otc=None)
Agg(open=20.7, high=20.7, low=20.65, close=20.66, volume=3141, vwap=20.6892, timestamp=1682337600000, transactions=18, otc=None)
Agg(open=20.68, high=21.64, low=20.606, close=21.22, volume=685582, vwap=21.3685, timestamp=1682341200000, transactions=5681, otc=None)
Agg(open=21.23, high=21.6, low=21.065, close=21.2, volume=785303, vwap=21.3963, timestamp=1682344800000, transactions=8470, otc=None)
Agg(open=21.21, high=21.495, low=21.1, close=21.46, volume=388310, vwap=21.3089, timestamp=1682348400000, transactions=5127, otc=None)
Agg(open=21.46, high=21.78, low=21.37, close=21.7401, volume=312017, vwap=21.5419, timestamp=1682352000000, transactions=3676, otc=None)
Agg(open=21.745, high=21.81, low=21.565, close=21.75, volume=427798, vwap=21.7137, timestamp=1682355600000, transactions=4240, otc=None)
Agg(open=21.75, high=21.865, low=21.705, close=21.815, volume=411034, vwap=21.7952, timestamp=1682359200000, transactions=4272, otc=None)
Agg(open=21.815, high=21.91, low=21.65, close=21.91, volume=892000, vwap=21.788, timestamp=1682362800000, transactions=8020, otc=None)
Agg(open=21.91, high=22, low=21.91, close=21.99, volume=3022, vwap=21.9734, timestamp=1682366400000, transactions=21, otc=None)
Agg(open=21.9848, high=21.9848, low=21.85, close=21.91, volume=1570, vwap=21.9129, timestamp=1682370000000, transactions=8, otc=None)
Agg(open=21.86, high=21.9092, low=21.86, close=21.9092, volume=812, vwap=21.891, timestamp=1682373600000, transactions=3, otc=None)
Agg(open=21.85, high=21.85, low=21.8, close=21.8, volume=499, vwap=21.8199, timestamp=1682377200000, transactions=2, otc=None)
Agg(open=22, high=22, low=21.95, close=21.95, volume=670, vwap=21.9924, timestamp=1682409600000, transactions=7, otc=None)
Agg(open=21.7, high=21.7, low=21.7, close=21.7, volume=419, vwap=21.6998, timestamp=1682416800000, transactions=5, otc=None)
Agg(open=21.68, high=21.75, low=21.68, close=21.75, volume=552, vwap=21.7488, timestamp=1682420400000, transactions=9, otc=None)
Agg(open=21.75, high=21.75, low=21.56, close=21.58, volume=3583, vwap=21.5911, timestamp=1682424000000, transactions=22, otc=None)
Agg(open=21.58, high=21.69, low=20.86, close=21.16, volume=313233, vwap=21.1382, timestamp=1682427600000, transactions=2888, otc=None)
Agg(open=21.1597, high=21.23, low=20.89, close=21.05, volume=346984, vwap=21.0459, timestamp=1682431200000, transactions=4752, otc=None)
Agg(open=21.05, high=21.2, low=20.905, close=20.915, volume=354508, vwap=21.0894, timestamp=1682434800000, transactions=5216, otc=None)
Agg(open=20.92, high=21.045, low=20.865, close=20.97, volume=361603, vwap=20.9671, timestamp=1682438400000, transactions=3628, otc=None)
Agg(open=20.97, high=21, low=20.58, close=20.815, volume=519494, vwap=20.8053, timestamp=1682442000000, transactions=4438, otc=None)
Agg(open=20.815, high=20.99, low=20.78, close=20.9, volume=322400, vwap=20.8956, timestamp=1682445600000, transactions=3744, otc=None)
Agg(open=20.905, high=21, low=20.7, close=20.87, volume=1098104.0, vwap=20.8589, timestamp=1682449200000, transactions=8978, otc=None)
Agg(open=20.88, high=20.88, low=20.83, close=20.87, volume=19039, vwap=20.8768, timestamp=1682452800000, transactions=34, otc=None)
Agg(open=20.9, high=20.93, low=20.9, close=20.93, volume=201, vwap=20.9151, timestamp=1682456400000, transactions=3, otc=None)
Agg(open=20.88, high=20.93, low=20.88, close=20.93, volume=600, vwap=20.9221, timestamp=1682460000000, transactions=6, otc=None)
Agg(open=20.9388, high=20.9393, low=20.93, close=20.93, volume=1300, vwap=20.937, timestamp=1682463600000, transactions=3, otc=None)
Agg(open=20.88, high=20.88, low=20.79, close=20.8, volume=713, vwap=20.8415, timestamp=1682506800000, transactions=8, otc=None)
Agg(open=20.79, high=20.99, low=20.79, close=20.99, volume=1536, vwap=20.9005, timestamp=1682510400000, transactions=15, otc=None)
Agg(open=20.99, high=21.22, low=20.74, close=21.1, volume=257723, vwap=21.0331, timestamp=1682514000000, transactions=3265, otc=None)
Agg(open=21.07, high=21.295, low=20.98, close=21.245, volume=380543, vwap=21.14, timestamp=1682517600000, transactions=5032, otc=None)
Agg(open=21.25, high=21.415, low=21.17, close=21.415, volume=247012, vwap=21.2982, timestamp=1682521200000, transactions=3933, otc=None)
Agg(open=21.415, high=21.64, low=21.32, close=21.53, volume=310702, vwap=21.5104, timestamp=1682524800000, transactions=4307, otc=None)
Agg(open=21.53, high=21.6, low=21.4725, close=21.58, volume=395375, vwap=21.5397, timestamp=1682528400000, transactions=4895, otc=None)
Agg(open=21.57, high=21.65, low=21.395, close=21.48, volume=676286, vwap=21.5661, timestamp=1682532000000, transactions=6885, otc=None)
Agg(open=21.47, high=21.635, low=21.1909, close=21.38, volume=1266491.0, vwap=21.467, timestamp=1682535600000, transactions=12129, otc=None)
Agg(open=21.39, high=21.39, low=21.3, close=21.3, volume=20698, vwap=21.3873, timestamp=1682539200000, transactions=30, otc=None)
Agg(open=21.39, high=21.54, low=21.39, close=21.48, volume=1468, vwap=21.4736, timestamp=1682542800000, transactions=9, otc=None)
Agg(open=21.45, high=21.48, low=21.45, close=21.48, volume=2100, vwap=21.4786, timestamp=1682546400000, transactions=2, otc=None)
Agg(open=22, high=22, low=21.38, close=21.38, volume=652, vwap=21.6677, timestamp=1682589600000, transactions=11, otc=None)
Agg(open=21.45, high=21.5, low=21.45, close=21.5, volume=653, vwap=21.4934, timestamp=1682593200000, transactions=8, otc=None)
Agg(open=21.61, high=21.63, low=21.61, close=21.63, volume=669, vwap=21.614, timestamp=1682596800000, transactions=10, otc=None)
Agg(open=21.67, high=21.83, low=21.02, close=21.79, volume=371152, vwap=21.5189, timestamp=1682600400000, transactions=3932, otc=None)
Agg(open=21.83, high=22.03, low=21.7501, close=21.98, volume=387221, vwap=21.9067, timestamp=1682604000000, transactions=4872, otc=None)
Agg(open=21.99, high=22.395, low=21.965, close=22.39, volume=446518, vwap=22.2303, timestamp=1682607600000, transactions=4792, otc=None)
Agg(open=22.395, high=22.395, low=21.9755, close=22.02, volume=357390, vwap=22.2016, timestamp=1682611200000, transactions=3926, otc=None)
Agg(open=22.02, high=22.07, low=21.865, close=21.9, volume=333066, vwap=21.9846, timestamp=1682614800000, transactions=3074, otc=None)
Agg(open=21.9001, high=22.0187, low=21.81, close=21.86, volume=263079, vwap=21.9033, timestamp=1682618400000, transactions=3885, otc=None)
Agg(open=21.86, high=22.02, low=21.785, close=22.02, volume=749443, vwap=21.9315, timestamp=1682622000000, transactions=8141, otc=None)
Agg(open=22.01, high=22.21, low=22.01, close=22.21, volume=28080, vwap=22.0107, timestamp=1682625600000, transactions=28, otc=None)
Agg(open=21.99, high=22, low=21.99, close=22, volume=836, vwap=21.9946, timestamp=1682629200000, transactions=3, otc=None)
Agg(open=21.95, high=21.95, low=21.95, close=21.95, volume=1250, vwap=21.95, timestamp=1682632800000, transactions=3, otc=None)
Agg(open=22.11, high=22.11, low=22.11, close=22.11, volume=700, vwap=22.11, timestamp=1682636400000, transactions=1, otc=None)
Agg(open=22.02, high=22.02, low=22.02, close=22.02, volume=273, vwap=22.02, timestamp=1682668800000, transactions=1, otc=None)
Agg(open=21.99, high=21.99, low=21.99, close=21.99, volume=226, vwap=21.99, timestamp=1682679600000, transactions=3, otc=None)
Agg(open=21.4945, high=22, low=21.49, close=22, volume=786, vwap=21.6766, timestamp=1682683200000, transactions=7, otc=None)
Agg(open=22, high=22, low=21.5915, close=21.5915, volume=219430, vwap=21.7828, timestamp=1682686800000, transactions=2851, otc=None)
Agg(open=21.615, high=21.949, low=21.52, close=21.83, volume=331531, vwap=21.7422, timestamp=1682690400000, transactions=4637, otc=None)
Agg(open=21.82, high=21.94, low=21.68, close=21.92, volume=196991, vwap=21.8498, timestamp=1682694000000, transactions=2586, otc=None)
Agg(open=21.92, high=22.005, low=21.87, close=21.92, volume=190643, vwap=21.9298, timestamp=1682697600000, transactions=2709, otc=None)
Agg(open=21.915, high=21.96, low=21.73, close=21.905, volume=248347, vwap=21.8536, timestamp=1682701200000, transactions=3629, otc=None)
Agg(open=21.91, high=21.94, low=21.63, close=21.7, volume=286479, vwap=21.787, timestamp=1682704800000, transactions=3815, otc=None)
Agg(open=21.7, high=21.93, low=21.625, close=21.85, volume=813061, vwap=21.8119, timestamp=1682708400000, transactions=8815, otc=None)
Agg(open=21.85, high=21.85, low=21.85, close=21.85, volume=39446, vwap=21.85, timestamp=1682712000000, transactions=27, otc=None)
Agg(open=21.85, high=21.85, low=21.85, close=21.85, volume=100, vwap=21.85, timestamp=1682719200000, transactions=1, otc=None)
Agg(open=21.89, high=21.89, low=21.89, close=21.89, volume=500, vwap=21.89, timestamp=1682722800000, transactions=2, otc=None)
