Agg(open=9.67, high=9.77, low=9.67, close=9.75, volume=86003, vwap=9.7409, timestamp=1693227600000, transactions=702, otc=None)
Agg(open=9.755, high=9.855, low=9.745, close=9.83, volume=338821, vwap=9.7958, timestamp=1693231200000, transactions=1818, otc=None)
Agg(open=9.825, high=9.84, low=9.725, close=9.745, volume=231627, vwap=9.7804, timestamp=1693234800000, transactions=1715, otc=None)
Agg(open=9.74, high=9.74, low=9.7, close=9.735, volume=137643, vwap=9.7153, timestamp=1693238400000, transactions=1208, otc=None)
Agg(open=9.73, high=9.73, low=9.67, close=9.675, volume=88541, vwap=9.7002, timestamp=1693242000000, transactions=905, otc=None)
Agg(open=9.6788, high=9.68, low=9.66, close=9.67, volume=96810, vwap=9.6686, timestamp=1693245600000, transactions=1069, otc=None)
Agg(open=9.675, high=9.7, low=9.64, close=9.64, volume=488898, vwap=9.6664, timestamp=1693249200000, transactions=3468, otc=None)
Agg(open=9.64, high=9.64, low=9.64, close=9.64, volume=28789, vwap=9.64, timestamp=1693252800000, transactions=18, otc=None)
Agg(open=9.6, high=9.67, low=9.59, close=9.625, volume=149206, vwap=9.6148, timestamp=1693314000000, transactions=1160, otc=None)
Agg(open=9.62, high=9.685, low=9.61, close=9.635, volume=409975, vwap=9.6452, timestamp=1693317600000, transactions=2435, otc=None)
Agg(open=9.63, high=9.665, low=9.62, close=9.645, volume=467747, vwap=9.6391, timestamp=1693321200000, transactions=2728, otc=None)
Agg(open=9.65, high=9.69, low=9.64, close=9.685, volume=431335, vwap=9.6632, timestamp=1693324800000, transactions=1861, otc=None)
Agg(open=9.685, high=9.73, low=9.67, close=9.705, volume=309993, vwap=9.6931, timestamp=1693328400000, transactions=2299, otc=None)
Agg(open=9.705, high=9.76, low=9.705, close=9.735, volume=180140, vwap=9.7335, timestamp=1693332000000, transactions=1476, otc=None)
Agg(open=9.73, high=9.75, low=9.725, close=9.73, volume=324166, vwap=9.7378, timestamp=1693335600000, transactions=2875, otc=None)
Agg(open=9.74, high=9.74, low=9.74, close=9.74, volume=37866, vwap=9.74, timestamp=1693339200000, transactions=21, otc=None)
Agg(open=9.74, high=9.795, low=9.74, close=9.795, volume=81022, vwap=9.7725, timestamp=1693400400000, transactions=616, otc=None)
Agg(open=9.8, high=9.805, low=9.73, close=9.765, volume=96928, vwap=9.7706, timestamp=1693404000000, transactions=890, otc=None)
Agg(open=9.765, high=9.765, low=9.74, close=9.76, volume=91452, vwap=9.7516, timestamp=1693407600000, transactions=938, otc=None)
Agg(open=9.765, high=9.78, low=9.755, close=9.77, volume=59199, vwap=9.7671, timestamp=1693411200000, transactions=676, otc=None)
Agg(open=9.77, high=9.79, low=9.76, close=9.78, volume=50043, vwap=9.7798, timestamp=1693414800000, transactions=664, otc=None)
Agg(open=9.775, high=9.81, low=9.77, close=9.805, volume=94850, vwap=9.7886, timestamp=1693418400000, transactions=1128, otc=None)
Agg(open=9.805, high=9.845, low=9.805, close=9.83, volume=451370, vwap=9.8287, timestamp=1693422000000, transactions=3713, otc=None)
Agg(open=9.83, high=9.83, low=9.83, close=9.83, volume=24448, vwap=9.83, timestamp=1693425600000, transactions=23, otc=None)
Agg(open=9.8, high=9.865, low=9.7763, close=9.845, volume=91739, vwap=9.8405, timestamp=1693486800000, transactions=600, otc=None)
Agg(open=9.84, high=9.84, low=9.77, close=9.7875, volume=58281, vwap=9.7975, timestamp=1693490400000, transactions=762, otc=None)
Agg(open=9.79, high=9.7975, low=9.755, close=9.765, volume=67083, vwap=9.7734, timestamp=1693494000000, transactions=879, otc=None)
Agg(open=9.77, high=9.785, low=9.73, close=9.735, volume=84755, vwap=9.7547, timestamp=1693497600000, transactions=803, otc=None)
Agg(open=9.73, high=9.78, low=9.715, close=9.765, volume=149700, vwap=9.7508, timestamp=1693501200000, transactions=1557, otc=None)
Agg(open=9.765, high=9.8, low=9.76, close=9.78, volume=148000, vwap=9.7792, timestamp=1693504800000, transactions=1839, otc=None)
Agg(open=9.775, high=9.83, low=9.77, close=9.82, volume=557762, vwap=9.8068, timestamp=1693508400000, transactions=4325, otc=None)
Agg(open=9.82, high=9.82, low=9.8, close=9.82, volume=34686, vwap=9.8194, timestamp=1693512000000, transactions=18, otc=None)
Agg(open=9.89, high=9.93, low=9.865, close=9.895, volume=44407, vwap=9.8962, timestamp=1693573200000, transactions=476, otc=None)
Agg(open=9.89, high=9.945, low=9.86, close=9.875, volume=224836, vwap=9.9119, timestamp=1693576800000, transactions=1383, otc=None)
Agg(open=9.88, high=9.885, low=9.81, close=9.82, volume=55397, vwap=9.8496, timestamp=1693580400000, transactions=696, otc=None)
Agg(open=9.82, high=9.8725, low=9.81, close=9.855, volume=76712, vwap=9.8473, timestamp=1693584000000, transactions=830, otc=None)
Agg(open=9.85, high=9.9, low=9.84, close=9.9, volume=73411, vwap=9.8699, timestamp=1693587600000, transactions=858, otc=None)
Agg(open=9.9, high=9.915, low=9.875, close=9.91, volume=120191, vwap=9.8981, timestamp=1693591200000, transactions=1182, otc=None)
Agg(open=9.91, high=9.93, low=9.85, close=9.86, volume=406604, vwap=9.8811, timestamp=1693594800000, transactions=2881, otc=None)
Agg(open=9.86, high=9.86, low=9.86, close=9.86, volume=21135, vwap=9.86, timestamp=1693598400000, transactions=8, otc=None)
