Agg(open=12, high=12.01, low=12, close=12, volume=528, vwap=11.9952, timestamp=1673254800000, transactions=5, otc=None)
Agg(open=12.05, high=12.12, low=12.05, close=12.07, volume=16553, vwap=12.0939, timestamp=1673265600000, transactions=56, otc=None)
Agg(open=12.1, high=12.2, low=11.99, close=12.199, volume=95566, vwap=12.0877, timestamp=1673269200000, transactions=224, otc=None)
Agg(open=12.16, high=12.835, low=12.15, close=12.77, volume=2759892.0, vwap=12.5352, timestamp=1673272800000, transactions=15606, otc=None)
Agg(open=12.77, high=13.11, low=12.77, close=12.913, volume=2779184.0, vwap=12.9445, timestamp=1673276400000, transactions=17456, otc=None)
Agg(open=12.915, high=13.27, low=12.875, close=13.08, volume=2859085.0, vwap=13.1315, timestamp=1673280000000, transactions=16119, otc=None)
Agg(open=13.08, high=13.1299, low=12.86, close=12.935, volume=1451242.0, vwap=12.9701, timestamp=1673283600000, transactions=9764, otc=None)
Agg(open=12.935, high=13.115, low=12.88, close=12.92, volume=2008168.0, vwap=13.0148, timestamp=1673287200000, transactions=10817, otc=None)
Agg(open=12.925, high=13.1, low=12.86, close=12.865, volume=1339437.0, vwap=12.984, timestamp=1673290800000, transactions=9114, otc=None)
Agg(open=12.865, high=12.93, low=12.665, close=12.7, volume=5101516.0, vwap=12.7737, timestamp=1673294400000, transactions=24390, otc=None)
Agg(open=12.7, high=12.9, low=12.68, close=12.74, volume=1727022.0, vwap=12.7001, timestamp=1673298000000, transactions=82, otc=None)
Agg(open=12.73, high=12.8, low=12.69, close=12.69, volume=4800, vwap=12.7148, timestamp=1673301600000, transactions=22, otc=None)
Agg(open=12.68, high=13.31, low=12.68, close=12.82, volume=68837, vwap=13.1315, timestamp=1673305200000, transactions=174, otc=None)
Agg(open=12.77, high=12.83, low=12.76, close=12.78, volume=12664, vwap=12.8128, timestamp=1673308800000, transactions=42, otc=None)
Agg(open=12.75, high=13.09, low=12.7, close=12.7, volume=5970, vwap=12.7697, timestamp=1673348400000, transactions=15, otc=None)
Agg(open=12.77, high=12.77, low=12.55, close=12.7, volume=8838, vwap=12.6291, timestamp=1673352000000, transactions=28, otc=None)
Agg(open=12.6, high=12.7, low=12.55, close=12.63, volume=13005, vwap=12.6109, timestamp=1673355600000, transactions=59, otc=None)
Agg(open=12.6499, high=13.05, low=12.6, close=12.875, volume=1917954.0, vwap=12.8355, timestamp=1673359200000, transactions=8291, otc=None)
Agg(open=12.875, high=13.22, low=12.84, close=13.2075, volume=2143377.0, vwap=13.0697, timestamp=1673362800000, transactions=12213, otc=None)
Agg(open=13.205, high=13.34, low=13.09, close=13.17, volume=1845353.0, vwap=13.2295, timestamp=1673366400000, transactions=9656, otc=None)
Agg(open=13.175, high=13.245, low=13.1, close=13.21, volume=2334405.0, vwap=13.1833, timestamp=1673370000000, transactions=8938, otc=None)
Agg(open=13.21, high=13.25, low=13.1, close=13.17, volume=1119165.0, vwap=13.1707, timestamp=1673373600000, transactions=7097, otc=None)
Agg(open=13.165, high=13.2775, low=13.155, close=13.2128, volume=1015181.0, vwap=13.2337, timestamp=1673377200000, transactions=7147, otc=None)
Agg(open=13.22, high=13.37, low=13.19, close=13.32, volume=3018708.0, vwap=13.2952, timestamp=1673380800000, transactions=15943, otc=None)
Agg(open=13.31, high=13.35, low=13.26, close=13.2703, volume=162974, vwap=13.2989, timestamp=1673384400000, transactions=67, otc=None)
Agg(open=13.2701, high=13.38, low=13.2701, close=13.38, volume=5924, vwap=13.3522, timestamp=1673388000000, transactions=34, otc=None)
Agg(open=13.34, high=13.34, low=13.29, close=13.29, volume=6319, vwap=13.3275, timestamp=1673391600000, transactions=27, otc=None)
Agg(open=13.33, high=13.3499, low=13.29, close=13.3, volume=5837, vwap=13.3223, timestamp=1673395200000, transactions=17, otc=None)
Agg(open=13.34, high=13.37, low=13.31, close=13.37, volume=2834, vwap=13.3206, timestamp=1673438400000, transactions=9, otc=None)
Agg(open=13.33, high=13.41, low=13.31, close=13.4, volume=25899, vwap=13.3723, timestamp=1673442000000, transactions=115, otc=None)
Agg(open=13.42, high=13.78, low=13.2, close=13.665, volume=1450714.0, vwap=13.5554, timestamp=1673445600000, transactions=8122, otc=None)
Agg(open=13.665, high=13.9388, low=13.53, close=13.75, volume=3876045.0, vwap=13.7308, timestamp=1673449200000, transactions=19923, otc=None)
Agg(open=13.745, high=13.95, low=13.745, close=13.795, volume=1704962.0, vwap=13.8395, timestamp=1673452800000, transactions=9567, otc=None)
Agg(open=13.795, high=13.9267, low=13.75, close=13.83, volume=1279479.0, vwap=13.833, timestamp=1673456400000, transactions=7100, otc=None)
Agg(open=13.825, high=13.92, low=13.755, close=13.76, volume=1583990.0, vwap=13.8438, timestamp=1673460000000, transactions=7379, otc=None)
Agg(open=13.77, high=13.78, low=13.71, close=13.745, volume=1402697.0, vwap=13.7449, timestamp=1673463600000, transactions=7484, otc=None)
Agg(open=13.745, high=13.89, low=13.7, close=13.84, volume=5174643.0, vwap=13.807, timestamp=1673467200000, transactions=22930, otc=None)
Agg(open=13.84, high=13.9, low=13.62, close=13.8501, volume=1240924.0, vwap=13.8318, timestamp=1673470800000, transactions=138, otc=None)
Agg(open=13.85, high=13.89, low=13.85, close=13.85, volume=5562, vwap=13.8664, timestamp=1673474400000, transactions=16, otc=None)
Agg(open=13.85, high=13.86, low=13.85, close=13.86, volume=2251, vwap=13.8511, timestamp=1673478000000, transactions=11, otc=None)
Agg(open=13.85, high=14.49, low=13.85, close=13.85, volume=9695, vwap=14.0149, timestamp=1673481600000, transactions=61, otc=None)
Agg(open=13.71, high=13.71, low=13.71, close=13.71, volume=100, vwap=13.71, timestamp=1673521200000, transactions=1, otc=None)
Agg(open=13.94, high=13.98, low=13.94, close=13.95, volume=5899, vwap=13.9655, timestamp=1673524800000, transactions=35, otc=None)
Agg(open=13.84, high=14.05, low=13.58, close=14.05, volume=158920, vwap=13.9011, timestamp=1673528400000, transactions=291, otc=None)
Agg(open=14.06, high=14.2, low=13.77, close=13.945, volume=1699538.0, vwap=13.9129, timestamp=1673532000000, transactions=8504, otc=None)
Agg(open=13.955, high=14.165, low=13.88, close=13.94, volume=2104491.0, vwap=14.0487, timestamp=1673535600000, transactions=12644, otc=None)
Agg(open=13.93, high=14.13, low=13.835, close=14.1, volume=1172471.0, vwap=14.0401, timestamp=1673539200000, transactions=8217, otc=None)
Agg(open=14.1, high=14.245, low=14.07, close=14.22, volume=1215818.0, vwap=14.1545, timestamp=1673542800000, transactions=7054, otc=None)
Agg(open=14.22, high=14.47, low=14.2149, close=14.431, volume=1518655.0, vwap=14.3455, timestamp=1673546400000, transactions=9377, otc=None)
Agg(open=14.432, high=14.52, low=14.37, close=14.38, volume=1600866.0, vwap=14.4519, timestamp=1673550000000, transactions=10012, otc=None)
Agg(open=14.37, high=14.58, low=14.365, close=14.54, volume=3168987.0, vwap=14.4961, timestamp=1673553600000, transactions=17825, otc=None)
Agg(open=14.55, high=14.55, low=14.47, close=14.53, volume=180887, vwap=14.5463, timestamp=1673557200000, transactions=161, otc=None)
Agg(open=14.52, high=14.53, low=14.51, close=14.53, volume=2073, vwap=14.5247, timestamp=1673560800000, transactions=9, otc=None)
Agg(open=14.53, high=14.53, low=14.51, close=14.52, volume=5733, vwap=14.5228, timestamp=1673564400000, transactions=13, otc=None)
Agg(open=14.52, high=14.55, low=14.51, close=14.51, volume=10062, vwap=14.5331, timestamp=1673568000000, transactions=23, otc=None)
Agg(open=14.54, high=14.54, low=14.54, close=14.54, volume=275, vwap=14.5398, timestamp=1673607600000, transactions=2, otc=None)
Agg(open=14.45, high=14.45, low=14.31, close=14.36, volume=7134, vwap=14.4048, timestamp=1673611200000, transactions=23, otc=None)
Agg(open=14.51, high=14.51, low=14.26, close=14.31, volume=67986, vwap=14.3234, timestamp=1673614800000, transactions=159, otc=None)
Agg(open=14.3, high=14.59, low=14.21, close=14.27, volume=1708361.0, vwap=14.3491, timestamp=1673618400000, transactions=8531, otc=None)
Agg(open=14.27, high=14.41, low=14.1502, close=14.185, volume=2236901.0, vwap=14.2896, timestamp=1673622000000, transactions=13583, otc=None)
Agg(open=14.185, high=14.555, low=14.16, close=14.55, volume=2113138.0, vwap=14.3298, timestamp=1673625600000, transactions=13049, otc=None)
Agg(open=14.545, high=14.61, low=14.47, close=14.54, volume=1044615.0, vwap=14.5449, timestamp=1673629200000, transactions=7280, otc=None)
Agg(open=14.54, high=14.6, low=14.475, close=14.565, volume=1091740.0, vwap=14.5367, timestamp=1673632800000, transactions=6724, otc=None)
Agg(open=14.565, high=14.58, low=14.37, close=14.4086, volume=851346, vwap=14.4657, timestamp=1673636400000, transactions=7079, otc=None)
Agg(open=14.405, high=14.5975, low=14.37, close=14.4899, volume=2754559.0, vwap=14.5221, timestamp=1673640000000, transactions=17346, otc=None)
Agg(open=14.49, high=14.7, low=14.41, close=14.44, volume=47021, vwap=14.4925, timestamp=1673643600000, transactions=56, otc=None)
Agg(open=14.46, high=14.53, low=14.44, close=14.49, volume=16124, vwap=14.487, timestamp=1673647200000, transactions=54, otc=None)
Agg(open=14.48, high=14.48, low=14.45, close=14.48, volume=6240, vwap=14.4606, timestamp=1673650800000, transactions=16, otc=None)
Agg(open=14.47, high=14.49, low=14.46, close=14.46, volume=16042, vwap=14.4828, timestamp=1673654400000, transactions=20, otc=None)
