Agg(open=10.1, high=10.11, low=10.05, close=10.11, volume=5192, vwap=10.0635, timestamp=1687777200000, transactions=22, otc=None)
Agg(open=10.0992, high=10.12, low=10.08, close=10.08, volume=18511, vwap=10.0999, timestamp=1687780800000, transactions=44, otc=None)
Agg(open=10.09, high=10.3182, low=9.98, close=10.305, volume=875563, vwap=10.1853, timestamp=1687784400000, transactions=4864, otc=None)
Agg(open=10.305, high=10.33, low=10.135, close=10.16, volume=1290141.0, vwap=10.2055, timestamp=1687788000000, transactions=8101, otc=None)
Agg(open=10.17, high=10.18, low=10.06, close=10.145, volume=944576, vwap=10.1161, timestamp=1687791600000, transactions=5966, otc=None)
Agg(open=10.14, high=10.15, low=9.99, close=10.02, volume=1169087.0, vwap=10.0609, timestamp=1687795200000, transactions=6903, otc=None)
Agg(open=10.025, high=10.1099, low=10, close=10.095, volume=716126, vwap=10.0401, timestamp=1687798800000, transactions=4479, otc=None)
Agg(open=10.09, high=10.19, low=10.06, close=10.085, volume=894380, vwap=10.1142, timestamp=1687802400000, transactions=5245, otc=None)
Agg(open=10.085, high=10.125, low=9.92, close=9.93, volume=2131702.0, vwap=10.0141, timestamp=1687806000000, transactions=11963, otc=None)
Agg(open=9.94, high=9.9689, low=9.93, close=9.94, volume=76087, vwap=9.9433, timestamp=1687809600000, transactions=81, otc=None)
Agg(open=9.95, high=9.97, low=9.94, close=9.97, volume=38257, vwap=9.9624, timestamp=1687813200000, transactions=36, otc=None)
Agg(open=9.96, high=9.97, low=9.94, close=9.9567, volume=47810, vwap=9.9542, timestamp=1687816800000, transactions=21, otc=None)
Agg(open=9.94, high=9.97, low=9.93, close=9.97, volume=3920, vwap=9.9393, timestamp=1687820400000, transactions=24, otc=None)
Agg(open=9.99, high=9.99, low=9.99, close=9.99, volume=196, vwap=9.9949, timestamp=1687852800000, transactions=2, otc=None)
Agg(open=9.99, high=9.99, low=9.99, close=9.99, volume=280, vwap=9.99, timestamp=1687856400000, transactions=2, otc=None)
Agg(open=10.02, high=10.02, low=10.01, close=10.01, volume=3484, vwap=10.012, timestamp=1687863600000, transactions=12, otc=None)
Agg(open=10.0285, high=10.05, low=9.95, close=10, volume=23988, vwap=10.0105, timestamp=1687867200000, transactions=75, otc=None)
Agg(open=10, high=10.125, low=9.87, close=9.955, volume=967418, vwap=9.9827, timestamp=1687870800000, transactions=4859, otc=None)
Agg(open=9.955, high=10.05, low=9.9, close=10.035, volume=1636280.0, vwap=9.9745, timestamp=1687874400000, transactions=7700, otc=None)
Agg(open=10.04, high=10.12, low=10.025, close=10.045, volume=1185961.0, vwap=10.0747, timestamp=1687878000000, transactions=5969, otc=None)
Agg(open=10.045, high=10.15, low=10.02, close=10.115, volume=656203, vwap=10.1008, timestamp=1687881600000, transactions=4248, otc=None)
Agg(open=10.115, high=10.135, low=10.09, close=10.095, volume=692085, vwap=10.111, timestamp=1687885200000, transactions=4303, otc=None)
Agg(open=10.095, high=10.11, low=9.97, close=9.985, volume=952032, vwap=10.0314, timestamp=1687888800000, transactions=4870, otc=None)
Agg(open=9.985, high=10, low=9.81, close=9.85, volume=3707912.0, vwap=9.8783, timestamp=1687892400000, transactions=15495, otc=None)
Agg(open=9.85, high=9.88, low=9.84, close=9.87, volume=148020, vwap=9.8547, timestamp=1687896000000, transactions=263, otc=None)
Agg(open=9.87, high=9.89, low=9.8698, close=9.89, volume=10511, vwap=9.8802, timestamp=1687899600000, transactions=58, otc=None)
Agg(open=9.9, high=9.9, low=9.86, close=9.9, volume=9484, vwap=9.8691, timestamp=1687903200000, transactions=31, otc=None)
Agg(open=9.9, high=9.9, low=9.87, close=9.9, volume=32105, vwap=9.8988, timestamp=1687906800000, transactions=24, otc=None)
Agg(open=9.85, high=10.04, low=9.85, close=10.04, volume=2840, vwap=9.9172, timestamp=1687939200000, transactions=14, otc=None)
