Agg(open=12.41, high=12.41, low=12.41, close=12.41, volume=305, vwap=12.41, timestamp=1687248000000, transactions=2, otc=None)
Agg(open=12.33, high=12.36, low=12.02, close=12.02, volume=149693, vwap=12.1583, timestamp=1687266000000, transactions=1512, otc=None)
Agg(open=12.01, high=12.01, low=11.8, close=11.882, volume=232954, vwap=11.9242, timestamp=1687269600000, transactions=2438, otc=None)
Agg(open=11.89, high=11.99, low=11.85, close=11.862, volume=121351, vwap=11.909, timestamp=1687273200000, transactions=1809, otc=None)
Agg(open=11.86, high=11.95, low=11.83, close=11.845, volume=116244, vwap=11.8896, timestamp=1687276800000, transactions=1785, otc=None)
Agg(open=11.845, high=11.88, low=11.8, close=11.815, volume=128203, vwap=11.8378, timestamp=1687280400000, transactions=1755, otc=None)
Agg(open=11.815, high=11.825, low=11.705, close=11.75, volume=138212, vwap=11.7498, timestamp=1687284000000, transactions=2202, otc=None)
Agg(open=11.76, high=11.88, low=11.74, close=11.815, volume=378023, vwap=11.8232, timestamp=1687287600000, transactions=4854, otc=None)
Agg(open=11.82, high=11.82, low=11.82, close=11.82, volume=17551, vwap=11.82, timestamp=1687291200000, transactions=13, otc=None)
Agg(open=11.65, high=11.65, low=11.65, close=11.65, volume=500, vwap=11.65, timestamp=1687302000000, transactions=1, otc=None)
Agg(open=11.94, high=12.13, low=11.85, close=12, volume=88181, vwap=11.9655, timestamp=1687352400000, transactions=654, otc=None)
Agg(open=11.995, high=12.035, low=11.84, close=11.87, volume=94825, vwap=11.9462, timestamp=1687356000000, transactions=1584, otc=None)
Agg(open=11.88, high=12.06, low=11.855, close=12.06, volume=103565, vwap=11.9778, timestamp=1687359600000, transactions=1643, otc=None)
Agg(open=12.055, high=12.19, low=12.02, close=12.14, volume=94395, vwap=12.1276, timestamp=1687363200000, transactions=1574, otc=None)
Agg(open=12.13, high=12.31, low=12.13, close=12.295, volume=101232, vwap=12.222, timestamp=1687366800000, transactions=1432, otc=None)
Agg(open=12.295, high=12.385, low=12.285, close=12.345, volume=97340, vwap=12.3488, timestamp=1687370400000, transactions=1660, otc=None)
Agg(open=12.345, high=12.395, low=12.2, close=12.2, volume=257170, vwap=12.2893, timestamp=1687374000000, transactions=3620, otc=None)
Agg(open=12.21, high=12.21, low=12.21, close=12.21, volume=8409, vwap=12.21, timestamp=1687377600000, transactions=10, otc=None)
Agg(open=12.12, high=12.12, low=11.98, close=12.12, volume=35354, vwap=12.0724, timestamp=1687438800000, transactions=360, otc=None)
Agg(open=12.12, high=12.27, low=12.12, close=12.235, volume=72336, vwap=12.1951, timestamp=1687442400000, transactions=1152, otc=None)
Agg(open=12.235, high=12.365, low=12.235, close=12.335, volume=45754, vwap=12.3127, timestamp=1687446000000, transactions=853, otc=None)
Agg(open=12.33, high=12.45, low=12.29, close=12.43, volume=65372, vwap=12.383, timestamp=1687449600000, transactions=1125, otc=None)
Agg(open=12.425, high=12.48, low=12.31, close=12.369, volume=216955, vwap=12.3997, timestamp=1687453200000, transactions=1659, otc=None)
Agg(open=12.365, high=12.41, low=12.32, close=12.355, volume=69023, vwap=12.3548, timestamp=1687456800000, transactions=1330, otc=None)
Agg(open=12.355, high=12.36, low=12.285, close=12.32, volume=232851, vwap=12.3235, timestamp=1687460400000, transactions=2973, otc=None)
Agg(open=12.33, high=12.33, low=12.33, close=12.33, volume=12284, vwap=12.33, timestamp=1687464000000, transactions=16, otc=None)
Agg(open=12.12, high=12.37, low=12.12, close=12.37, volume=45181, vwap=12.2619, timestamp=1687525200000, transactions=653, otc=None)
Agg(open=12.37, high=12.42, low=12.285, close=12.32, volume=61297, vwap=12.3438, timestamp=1687528800000, transactions=1351, otc=None)
Agg(open=12.315, high=12.32, low=12.17, close=12.2025, volume=81972, vwap=12.2434, timestamp=1687532400000, transactions=1223, otc=None)
Agg(open=12.2025, high=12.28, low=12.15, close=12.19, volume=91907, vwap=12.2347, timestamp=1687536000000, transactions=1329, otc=None)
Agg(open=12.2, high=12.3, low=12.185, close=12.255, volume=134914, vwap=12.2288, timestamp=1687539600000, transactions=1709, otc=None)
Agg(open=12.26, high=12.32, low=12.225, close=12.26, volume=127471, vwap=12.2728, timestamp=1687543200000, transactions=1768, otc=None)
Agg(open=12.25, high=12.28, low=12.14, close=12.15, volume=239825, vwap=12.2109, timestamp=1687546800000, transactions=3546, otc=None)
Agg(open=12.16, high=12.16, low=12.16, close=12.16, volume=172687, vwap=12.1595, timestamp=1687550400000, transactions=15, otc=None)
