Agg(open=16.15, high=16.15, low=16.15, close=16.15, volume=500, vwap=16.15, timestamp=1690196400000, transactions=1, otc=None)
Agg(open=16.07, high=16.12, low=16.07, close=16.1, volume=1626, vwap=16.1046, timestamp=1690200000000, transactions=7, otc=None)
Agg(open=16.0952, high=16.56, low=16.08, close=16.385, volume=1169224.0, vwap=16.3873, timestamp=1690203600000, transactions=6143, otc=None)
Agg(open=16.38, high=16.54, low=16.265, close=16.3799, volume=1353531.0, vwap=16.3853, timestamp=1690207200000, transactions=8234, otc=None)
Agg(open=16.38, high=16.54, low=16.355, close=16.505, volume=887345, vwap=16.4632, timestamp=1690210800000, transactions=5799, otc=None)
Agg(open=16.505, high=16.51, low=16.44, close=16.49, volume=422357, vwap=16.4756, timestamp=1690214400000, transactions=3483, otc=None)
Agg(open=16.49, high=16.59, low=16.4601, close=16.525, volume=733395, vwap=16.5404, timestamp=1690218000000, transactions=4435, otc=None)
Agg(open=16.53, high=16.575, low=16.41, close=16.41, volume=482900, vwap=16.4961, timestamp=1690221600000, transactions=4727, otc=None)
Agg(open=16.415, high=16.44, low=16.38, close=16.41, volume=1402057.0, vwap=16.4095, timestamp=1690225200000, transactions=10122, otc=None)
Agg(open=16.41, high=16.44, low=16.4, close=16.44, volume=47895, vwap=16.4102, timestamp=1690228800000, transactions=40, otc=None)
Agg(open=16.44, high=16.44, low=16.39, close=16.39, volume=2102, vwap=16.4246, timestamp=1690232400000, transactions=9, otc=None)
Agg(open=16.5, high=16.5, low=16.38, close=16.38, volume=1600, vwap=16.3875, timestamp=1690282800000, transactions=5, otc=None)
Agg(open=16.39, high=16.5, low=16.38, close=16.38, volume=2015, vwap=16.4508, timestamp=1690286400000, transactions=17, otc=None)
Agg(open=16.38, high=16.42, low=16.11, close=16.195, volume=521869, vwap=16.2666, timestamp=1690290000000, transactions=3288, otc=None)
Agg(open=16.195, high=16.445, low=16.195, close=16.4, volume=1443804.0, vwap=16.3603, timestamp=1690293600000, transactions=6398, otc=None)
Agg(open=16.41, high=16.41, low=16.14, close=16.17, volume=1331721.0, vwap=16.24, timestamp=1690297200000, transactions=6358, otc=None)
Agg(open=16.165, high=16.2681, low=16.15, close=16.2681, volume=616749, vwap=16.2043, timestamp=1690300800000, transactions=4154, otc=None)
Agg(open=16.2601, high=16.3, low=16.225, close=16.3, volume=408354, vwap=16.2591, timestamp=1690304400000, transactions=3933, otc=None)
Agg(open=16.295, high=16.335, low=16.2037, close=16.23, volume=501930, vwap=16.277, timestamp=1690308000000, transactions=4711, otc=None)
Agg(open=16.24, high=16.265, low=16.12, close=16.12, volume=1354139.0, vwap=16.1874, timestamp=1690311600000, transactions=8566, otc=None)
