Agg(open=12.23, high=12.23, low=12.19, close=12.2, volume=5639, vwap=12.2021, timestamp=1695024000000, transactions=8, otc=None)
Agg(open=12.19, high=12.19, low=12.19, close=12.19, volume=450, vwap=12.19, timestamp=1695031200000, transactions=2, otc=None)
Agg(open=12.07, high=12.14, low=11.95, close=11.96, volume=116115, vwap=12.0483, timestamp=1695042000000, transactions=1317, otc=None)
Agg(open=11.97, high=12.09, low=11.94, close=12.06, volume=101462, vwap=12.014, timestamp=1695045600000, transactions=1448, otc=None)
Agg(open=12.065, high=12.07, low=11.97, close=11.99, volume=169522, vwap=12.0215, timestamp=1695049200000, transactions=1406, otc=None)
Agg(open=11.99, high=11.995, low=11.875, close=11.91, volume=101721, vwap=11.9218, timestamp=1695052800000, transactions=1359, otc=None)
Agg(open=11.915, high=11.94, low=11.88, close=11.89, volume=68201, vwap=11.9135, timestamp=1695056400000, transactions=1040, otc=None)
Agg(open=11.89, high=11.89, low=11.81, close=11.84, volume=137084, vwap=11.8449, timestamp=1695060000000, transactions=1601, otc=None)
Agg(open=11.84, high=11.8675, low=11.81, close=11.83, volume=318704, vwap=11.8442, timestamp=1695063600000, transactions=3735, otc=None)
Agg(open=11.84, high=11.84, low=11.84, close=11.84, volume=62992, vwap=11.84, timestamp=1695067200000, transactions=43, otc=None)
Agg(open=11.84, high=11.84, low=11.84, close=11.84, volume=400, vwap=11.84, timestamp=1695124800000, transactions=4, otc=None)
Agg(open=11.86, high=12.02, low=11.86, close=12.01, volume=71828, vwap=11.9641, timestamp=1695128400000, transactions=804, otc=None)
Agg(open=12.01, high=12.01, low=11.905, close=11.92, volume=44562, vwap=11.9445, timestamp=1695132000000, transactions=814, otc=None)
Agg(open=11.91, high=11.95, low=11.9, close=11.92, volume=61636, vwap=11.917, timestamp=1695135600000, transactions=898, otc=None)
Agg(open=11.91, high=11.93, low=11.86, close=11.92, volume=69051, vwap=11.8933, timestamp=1695139200000, transactions=1072, otc=None)
Agg(open=11.925, high=11.99, low=11.9, close=11.97, volume=89358, vwap=11.9492, timestamp=1695142800000, transactions=1150, otc=None)
Agg(open=11.975, high=12.035, low=11.97, close=12, volume=75545, vwap=12.0001, timestamp=1695146400000, transactions=1055, otc=None)
Agg(open=12, high=12.03, low=11.955, close=12, volume=194471, vwap=12.0037, timestamp=1695150000000, transactions=2519, otc=None)
Agg(open=12, high=12, low=12, close=12, volume=40908, vwap=12, timestamp=1695153600000, transactions=13, otc=None)
Agg(open=12.13, high=12.13, low=12.12, close=12.12, volume=650, vwap=12.1246, timestamp=1695211200000, transactions=4, otc=None)
Agg(open=12.12, high=12.29, low=12.06, close=12.285, volume=91791, vwap=12.2033, timestamp=1695214800000, transactions=897, otc=None)
Agg(open=12.285, high=12.33, low=12.24, close=12.255, volume=122978, vwap=12.2731, timestamp=1695218400000, transactions=1063, otc=None)
Agg(open=12.25, high=12.26, low=12.14, close=12.165, volume=73084, vwap=12.1828, timestamp=1695222000000, transactions=821, otc=None)
Agg(open=12.16, high=12.17, low=12.135, close=12.1543, volume=31141, vwap=12.1511, timestamp=1695225600000, transactions=337, otc=None)
Agg(open=12.155, high=12.18, low=12.1, close=12.11, volume=77525, vwap=12.1407, timestamp=1695229200000, transactions=833, otc=None)
Agg(open=12.1, high=12.1, low=11.97, close=12.01, volume=89974, vwap=12.0134, timestamp=1695232800000, transactions=1078, otc=None)
Agg(open=12.01, high=12.04, low=11.84, close=11.845, volume=209128, vwap=11.9026, timestamp=1695236400000, transactions=2175, otc=None)
Agg(open=11.85, high=11.85, low=11.85, close=11.85, volume=23435, vwap=11.85, timestamp=1695240000000, transactions=30, otc=None)
Agg(open=10.85, high=10.85, low=10.85, close=10.85, volume=100, vwap=10.85, timestamp=1695290400000, transactions=1, otc=None)
Agg(open=11.8, high=11.8, low=11.8, close=11.8, volume=100, vwap=11.8, timestamp=1695297600000, transactions=1, otc=None)
