Agg(open=24, high=24.49, low=23.96, close=24.2, volume=7127, vwap=24.0924, timestamp=1679904000000, transactions=34, otc=None)
Agg(open=24.2, high=24.2, low=24.2, close=24.2, volume=405, vwap=24.1964, timestamp=1679911200000, transactions=9, otc=None)
Agg(open=24.19, high=24.29, low=23.7, close=23.81, volume=23016, vwap=23.8848, timestamp=1679914800000, transactions=114, otc=None)
Agg(open=23.8602, high=23.95, low=23.72, close=23.9, volume=40206, vwap=23.8757, timestamp=1679918400000, transactions=139, otc=None)
Agg(open=23.94, high=23.95, low=22.314, close=22.62, volume=633746, vwap=22.8072, timestamp=1679922000000, transactions=5832, otc=None)
Agg(open=22.63, high=22.72, low=21.93, close=22.22, volume=849785, vwap=22.395, timestamp=1679925600000, transactions=6730, otc=None)
Agg(open=22.22, high=22.47, low=21.75, close=22.235, volume=632594, vwap=22.0784, timestamp=1679929200000, transactions=4963, otc=None)
Agg(open=22.23, high=22.335, low=21.97, close=22, volume=336077, vwap=22.1674, timestamp=1679932800000, transactions=2590, otc=None)
Agg(open=22, high=22.495, low=21.97, close=22.44, volume=319032, vwap=22.1936, timestamp=1679936400000, transactions=2475, otc=None)
Agg(open=22.4301, high=22.6501, low=22.43, close=22.6, volume=229749, vwap=22.5422, timestamp=1679940000000, transactions=1979, otc=None)
Agg(open=22.595, high=22.595, low=22.22, close=22.31, volume=437901, vwap=22.3723, timestamp=1679943600000, transactions=3551, otc=None)
Agg(open=22.28, high=22.58, low=22.28, close=22.32, volume=12351, vwap=22.2863, timestamp=1679947200000, transactions=10, otc=None)
Agg(open=22.5, high=22.5001, low=22.36, close=22.36, volume=1400, vwap=22.49, timestamp=1679958000000, transactions=5, otc=None)
Agg(open=22.32, high=22.32, low=22.32, close=22.32, volume=200, vwap=22.3156, timestamp=1679994000000, transactions=3, otc=None)
Agg(open=22.3, high=22.3, low=22.3, close=22.3, volume=250, vwap=22.3, timestamp=1679997600000, transactions=1, otc=None)
Agg(open=22.3, high=22.5, low=22.3, close=22.39, volume=3728, vwap=22.3754, timestamp=1680004800000, transactions=21, otc=None)
Agg(open=22.07, high=22.82, low=22.07, close=22.28, volume=98729, vwap=22.4116, timestamp=1680008400000, transactions=929, otc=None)
Agg(open=22.2576, high=22.64, low=22.23, close=22.58, volume=145575, vwap=22.4801, timestamp=1680012000000, transactions=1814, otc=None)
Agg(open=22.58, high=22.61, low=22.31, close=22.37, volume=219719, vwap=22.4853, timestamp=1680015600000, transactions=1397, otc=None)
Agg(open=22.38, high=22.44, low=21.97, close=22, volume=197791, vwap=22.1447, timestamp=1680019200000, transactions=3032, otc=None)
Agg(open=22.01, high=22.3025, low=22, close=22.15, volume=143252, vwap=22.1456, timestamp=1680022800000, transactions=1941, otc=None)
Agg(open=22.1501, high=22.19, low=22.035, close=22.1, volume=179058, vwap=22.1086, timestamp=1680026400000, transactions=1827, otc=None)
Agg(open=22.1, high=22.5, low=22.1, close=22.48, volume=416618, vwap=22.3319, timestamp=1680030000000, transactions=3209, otc=None)
Agg(open=22.59, high=22.59, low=22.5, close=22.5, volume=900, vwap=22.5507, timestamp=1680033600000, transactions=3, otc=None)
Agg(open=22.6, high=22.6, low=22.6, close=22.6, volume=400, vwap=22.6, timestamp=1680040800000, transactions=2, otc=None)
Agg(open=22.61, high=22.61, low=22.5, close=22.5, volume=732, vwap=22.5607, timestamp=1680044400000, transactions=14, otc=None)
Agg(open=22.61, high=22.61, low=22.61, close=22.61, volume=110, vwap=22.61, timestamp=1680076800000, transactions=1, otc=None)
Agg(open=22.5, high=22.5, low=22.2555, close=22.5, volume=1586, vwap=22.425, timestamp=1680091200000, transactions=4, otc=None)
Agg(open=22.5, high=22.69, low=22.4, close=22.53, volume=39742, vwap=22.5648, timestamp=1680094800000, transactions=559, otc=None)
