Agg(open=18.4, high=18.4, low=18.4, close=18.4, volume=315, vwap=18.4005, timestamp=1684137600000, transactions=3, otc=None)
Agg(open=18.48, high=18.48, low=18.48, close=18.48, volume=100, vwap=18.48, timestamp=1684144800000, transactions=1, otc=None)
Agg(open=18.48, high=18.51, low=18.2, close=18.2, volume=4293, vwap=18.3844, timestamp=1684148400000, transactions=12, otc=None)
Agg(open=18.2976, high=18.41, low=18.2, close=18.36, volume=2846, vwap=18.2456, timestamp=1684152000000, transactions=21, otc=None)
Agg(open=18.2, high=18.4, low=18.17, close=18.28, volume=113440, vwap=18.2865, timestamp=1684155600000, transactions=1131, otc=None)
Agg(open=18.2961, high=18.9199, low=18.28, close=18.551, volume=242219, vwap=18.6094, timestamp=1684159200000, transactions=2266, otc=None)
Agg(open=18.56, high=18.7, low=18.51, close=18.65, volume=70149, vwap=18.5982, timestamp=1684162800000, transactions=841, otc=None)
Agg(open=18.66, high=18.858, low=18.62, close=18.6259, volume=163580, vwap=18.7571, timestamp=1684166400000, transactions=1345, otc=None)
Agg(open=18.65, high=18.94, low=18.65, close=18.83, volume=148204, vwap=18.8125, timestamp=1684170000000, transactions=1254, otc=None)
Agg(open=18.83, high=18.895, low=18.79, close=18.81, volume=61297, vwap=18.8298, timestamp=1684173600000, transactions=650, otc=None)
Agg(open=18.805, high=18.86, low=18.77, close=18.85, volume=182946, vwap=18.8156, timestamp=1684177200000, transactions=1761, otc=None)
Agg(open=18.85, high=18.85, low=18.78, close=18.78, volume=532560, vwap=18.8498, timestamp=1684180800000, transactions=13, otc=None)
Agg(open=18.78, high=18.8, low=18.7, close=18.8, volume=13973, vwap=18.7825, timestamp=1684184400000, transactions=44, otc=None)
Agg(open=18.85, high=18.85, low=18.85, close=18.85, volume=499, vwap=18.8451, timestamp=1684188000000, transactions=3, otc=None)
Agg(open=18.99, high=18.99, low=18.99, close=18.99, volume=200, vwap=18.9554, timestamp=1684234800000, transactions=3, otc=None)
Agg(open=18.6115, high=18.6115, low=18.6115, close=18.6115, volume=228, vwap=18.6933, timestamp=1684238400000, transactions=7, otc=None)
Agg(open=18.7, high=18.92, low=18.55, close=18.67, volume=120633, vwap=18.7218, timestamp=1684242000000, transactions=811, otc=None)
Agg(open=18.65, high=18.875, low=18.58, close=18.805, volume=167309, vwap=18.7269, timestamp=1684245600000, transactions=1384, otc=None)
Agg(open=18.78, high=18.91, low=18.74, close=18.8, volume=78102, vwap=18.8115, timestamp=1684249200000, transactions=925, otc=None)
Agg(open=18.79, high=18.85, low=18.76, close=18.765, volume=55875, vwap=18.8002, timestamp=1684252800000, transactions=718, otc=None)
Agg(open=18.76, high=18.83, low=18.76, close=18.795, volume=45415, vwap=18.7904, timestamp=1684256400000, transactions=641, otc=None)
Agg(open=18.795, high=18.82, low=18.73, close=18.8, volume=96792, vwap=18.7766, timestamp=1684260000000, transactions=965, otc=None)
Agg(open=18.8, high=19.74, low=18.76, close=18.98, volume=1360148.0, vwap=19.2276, timestamp=1684263600000, transactions=9722, otc=None)
Agg(open=19.01, high=19.4, low=18.97, close=19.3739, volume=12092, vwap=19.206, timestamp=1684267200000, transactions=79, otc=None)
Agg(open=19.2, high=19.5, low=19, close=19.5, volume=9871, vwap=19.3368, timestamp=1684270800000, transactions=66, otc=None)
Agg(open=19.4, high=19.65, low=19.4, close=19.55, volume=16002, vwap=19.5472, timestamp=1684274400000, transactions=60, otc=None)
Agg(open=19.64, high=20.28, low=19.64, close=19.9, volume=14851, vwap=19.9375, timestamp=1684278000000, transactions=111, otc=None)
Agg(open=20.7, high=20.9, low=20, close=20.78, volume=14131, vwap=20.5322, timestamp=1684310400000, transactions=124, otc=None)
Agg(open=20.8, high=20.8, low=20.5, close=20.52, volume=4002, vwap=20.5349, timestamp=1684314000000, transactions=29, otc=None)
Agg(open=20.54, high=20.54, low=20.12, close=20.15, volume=13521, vwap=20.3325, timestamp=1684317600000, transactions=46, otc=None)
Agg(open=20.2, high=20.3, low=20.11, close=20.3, volume=16961, vwap=20.2265, timestamp=1684321200000, transactions=101, otc=None)
Agg(open=20.2, high=20.3, low=19.75, close=19.92, volume=53802, vwap=19.9796, timestamp=1684324800000, transactions=322, otc=None)
Agg(open=19.85, high=20.25, low=19.1, close=19.158, volume=310808, vwap=19.7077, timestamp=1684328400000, transactions=2223, otc=None)
Agg(open=19.12, high=19.34, low=18.72, close=19.19, volume=297797, vwap=18.9888, timestamp=1684332000000, transactions=2480, otc=None)
Agg(open=19.21, high=20.09, low=19.19, close=19.6839, volume=802986, vwap=19.6817, timestamp=1684335600000, transactions=5827, otc=None)
Agg(open=19.6786, high=19.71, low=19.16, close=19.27, volume=302114, vwap=19.3971, timestamp=1684339200000, transactions=2676, otc=None)
Agg(open=19.3, high=19.31, low=19.07, close=19.13, volume=155885, vwap=19.1522, timestamp=1684342800000, transactions=1712, otc=None)
Agg(open=19.13, high=19.2897, low=19, close=19.2, volume=184762, vwap=19.104, timestamp=1684346400000, transactions=2063, otc=None)
Agg(open=19.1992, high=19.2885, low=19.06, close=19.17, volume=303349, vwap=19.1494, timestamp=1684350000000, transactions=3365, otc=None)
Agg(open=19.16, high=19.25, low=19.15, close=19.16, volume=15655, vwap=19.1616, timestamp=1684353600000, transactions=13, otc=None)
Agg(open=19.16, high=19.27, low=19.16, close=19.27, volume=655, vwap=19.2538, timestamp=1684357200000, transactions=7, otc=None)
Agg(open=19.25, high=19.25, low=19, close=19, volume=4489, vwap=19.1429, timestamp=1684360800000, transactions=40, otc=None)
Agg(open=19.21, high=19.22, low=19.18, close=19.18, volume=2368, vwap=19.1999, timestamp=1684364400000, transactions=6, otc=None)
Agg(open=19.6, high=19.6, low=19.3, close=19.3, volume=259, vwap=19.4464, timestamp=1684396800000, transactions=3, otc=None)
Agg(open=19.19, high=19.19, low=18.93, close=18.93, volume=335, vwap=19.0344, timestamp=1684400400000, transactions=10, otc=None)
Agg(open=18.97, high=18.98, low=18.9, close=18.9, volume=965, vwap=18.9419, timestamp=1684404000000, transactions=8, otc=None)
Agg(open=19.339, high=19.339, low=19.04, close=19.04, volume=600, vwap=19.0898, timestamp=1684407600000, transactions=3, otc=None)
Agg(open=19, high=19.74, low=19, close=19.04, volume=1811, vwap=19.0773, timestamp=1684411200000, transactions=15, otc=None)
Agg(open=19.15, high=19.2, low=18.94, close=18.94, volume=63682, vwap=19.039, timestamp=1684414800000, transactions=655, otc=None)
Agg(open=18.99, high=19.24, low=18.9, close=18.96, volume=131619, vwap=19.066, timestamp=1684418400000, transactions=1426, otc=None)
Agg(open=18.96, high=19.01, low=18.55, close=18.79, volume=488598, vwap=18.8544, timestamp=1684422000000, transactions=3817, otc=None)
