Agg(open=8.07, high=8.21, low=8.07, close=8.14, volume=21807, vwap=8.1465, timestamp=1681113600000, transactions=125, otc=None)
Agg(open=8.16, high=8.17, low=8.14, close=8.16, volume=5371, vwap=8.1512, timestamp=1681117200000, transactions=31, otc=None)
Agg(open=8.16, high=8.16, low=8.14, close=8.14, volume=4455, vwap=8.144, timestamp=1681120800000, transactions=35, otc=None)
Agg(open=8.13, high=8.14, low=8, close=8.03, volume=91922, vwap=8.0597, timestamp=1681124400000, transactions=490, otc=None)
Agg(open=8, high=8.11, low=7.91, close=7.9398, volume=127917, vwap=7.9886, timestamp=1681128000000, transactions=750, otc=None)
Agg(open=7.93, high=8.02, low=7.67, close=7.69, volume=2839588.0, vwap=7.7821, timestamp=1681131600000, transactions=11239, otc=None)
Agg(open=7.69, high=7.9877, low=7.66, close=7.8171, volume=3827027.0, vwap=7.8349, timestamp=1681135200000, transactions=13087, otc=None)
Agg(open=7.82, high=8.27, low=7.82, close=8.0588, volume=4888895.0, vwap=8.1262, timestamp=1681138800000, transactions=14432, otc=None)
Agg(open=8.0599, high=8.48, low=7.94, close=8.445, volume=5598261.0, vwap=8.2298, timestamp=1681142400000, transactions=14586, otc=None)
Agg(open=8.45, high=8.71, low=8.381, close=8.65, volume=9017535.0, vwap=8.5407, timestamp=1681146000000, transactions=22993, otc=None)
Agg(open=8.65, high=8.9781, low=8.6, close=8.9617, volume=6563892.0, vwap=8.806, timestamp=1681149600000, transactions=18229, otc=None)
Agg(open=8.965, high=9.14, low=8.895, close=9.095, volume=7802344.0, vwap=9.0185, timestamp=1681153200000, transactions=23616, otc=None)
Agg(open=9.1, high=9.1675, low=9, close=9.13, volume=376496, vwap=9.1059, timestamp=1681156800000, transactions=1219, otc=None)
Agg(open=9.14, high=9.18, low=9.11, close=9.12, volume=145247, vwap=9.134, timestamp=1681160400000, transactions=645, otc=None)
Agg(open=9.13, high=9.31, low=9.12, close=9.26, volume=466522, vwap=9.2447, timestamp=1681164000000, transactions=1233, otc=None)
Agg(open=9.25, high=9.34, low=9.22, close=9.23, volume=250263, vwap=9.2827, timestamp=1681167600000, transactions=1048, otc=None)
Agg(open=9.25, high=9.51, low=9.25, close=9.48, volume=198299, vwap=9.4785, timestamp=1681200000000, transactions=819, otc=None)
Agg(open=9.47, high=9.5, low=9.39, close=9.5, volume=80417, vwap=9.4353, timestamp=1681203600000, transactions=413, otc=None)
Agg(open=9.49, high=9.5, low=9.44, close=9.47, volume=53992, vwap=9.4668, timestamp=1681207200000, transactions=327, otc=None)
Agg(open=9.43, high=9.52, low=9.36, close=9.45, volume=266372, vwap=9.4553, timestamp=1681210800000, transactions=1453, otc=None)
Agg(open=9.48, high=9.54, low=9.36, close=9.47, volume=988349, vwap=9.4569, timestamp=1681214400000, transactions=3761, otc=None)
Agg(open=9.46, high=9.84, low=9.27, close=9.79, volume=12738054.0, vwap=9.5714, timestamp=1681218000000, transactions=41249, otc=None)
Agg(open=9.79, high=10, low=9.58, close=9.675, volume=12026632.0, vwap=9.8027, timestamp=1681221600000, transactions=43115, otc=None)
Agg(open=9.675, high=9.97, low=9.59, close=9.9126, volume=6203562.0, vwap=9.8504, timestamp=1681225200000, transactions=22097, otc=None)
Agg(open=9.9182, high=10.18, low=9.8715, close=10.1, volume=7089686.0, vwap=10.0775, timestamp=1681228800000, transactions=26179, otc=None)
Agg(open=10.105, high=10.44, low=10.01, close=10.405, volume=6780672.0, vwap=10.2243, timestamp=1681232400000, transactions=22412, otc=None)
Agg(open=10.405, high=10.5, low=10.24, close=10.4909, volume=5289590.0, vwap=10.3671, timestamp=1681236000000, transactions=19197, otc=None)
Agg(open=10.495, high=10.64, low=10.2, close=10.2, volume=10712125.0, vwap=10.4227, timestamp=1681239600000, transactions=38200, otc=None)
Agg(open=10.21, high=10.23, low=10.11, close=10.19, volume=317059, vwap=10.1707, timestamp=1681243200000, transactions=1165, otc=None)
Agg(open=10.2, high=10.23, low=10.17, close=10.18, volume=85273, vwap=10.206, timestamp=1681246800000, transactions=572, otc=None)
Agg(open=10.18, high=10.24, low=10.18, close=10.23, volume=80856, vwap=10.2195, timestamp=1681250400000, transactions=307, otc=None)
Agg(open=10.25, high=10.25, low=10.16, close=10.24, volume=76650, vwap=10.2053, timestamp=1681254000000, transactions=428, otc=None)
Agg(open=10.12, high=10.12, low=10.04, close=10.05, volume=26678, vwap=10.0792, timestamp=1681286400000, transactions=168, otc=None)
Agg(open=10.05, high=10.08, low=10.01, close=10.05, volume=22470, vwap=10.0373, timestamp=1681290000000, transactions=138, otc=None)
Agg(open=10.06, high=10.07, low=10.02, close=10.07, volume=38781, vwap=10.0415, timestamp=1681293600000, transactions=166, otc=None)
Agg(open=10.07, high=10.08, low=9.86, close=9.9, volume=266389, vwap=9.9831, timestamp=1681297200000, transactions=1177, otc=None)
Agg(open=10.06, high=10.47, low=9.85, close=10.15, volume=1831293.0, vwap=10.2341, timestamp=1681300800000, transactions=6244, otc=None)
Agg(open=10.16, high=10.42, low=9.9, close=10.23, volume=8231854.0, vwap=10.1628, timestamp=1681304400000, transactions=31789, otc=None)
Agg(open=10.225, high=10.58, low=10.03, close=10.06, volume=9716833.0, vwap=10.3297, timestamp=1681308000000, transactions=36407, otc=None)
Agg(open=10.068, high=10.32, low=9.96, close=10.3006, volume=4986437.0, vwap=10.1058, timestamp=1681311600000, transactions=19559, otc=None)
Agg(open=10.305, high=10.4, low=10.11, close=10.165, volume=3043838.0, vwap=10.2769, timestamp=1681315200000, transactions=11272, otc=None)
Agg(open=10.1699, high=10.3198, low=10.11, close=10.1846, volume=2696551.0, vwap=10.2238, timestamp=1681318800000, transactions=9768, otc=None)
Agg(open=10.18, high=10.22, low=9.92, close=9.955, volume=4088941.0, vwap=10.057, timestamp=1681322400000, transactions=15498, otc=None)
Agg(open=9.95, high=10.03, low=9.69, close=9.945, volume=7549976.0, vwap=9.8606, timestamp=1681326000000, transactions=26953, otc=None)
Agg(open=9.95, high=9.95, low=9.83, close=9.94, volume=139088, vwap=9.9005, timestamp=1681329600000, transactions=371, otc=None)
Agg(open=9.9, high=9.95, low=9.88, close=9.88, volume=33274, vwap=9.9339, timestamp=1681333200000, transactions=180, otc=None)
Agg(open=9.8903, high=9.95, low=9.83, close=9.86, volume=64948, vwap=9.8827, timestamp=1681336800000, transactions=204, otc=None)
Agg(open=9.86, high=9.86, low=9.78, close=9.79, volume=69666, vwap=9.8121, timestamp=1681340400000, transactions=388, otc=None)
Agg(open=10.01, high=10.19, low=9.96, close=10.18, volume=24568, vwap=10.085, timestamp=1681372800000, transactions=123, otc=None)
Agg(open=10.18, high=10.29, low=10.16, close=10.2, volume=48451, vwap=10.2283, timestamp=1681376400000, transactions=262, otc=None)
Agg(open=10.21, high=10.28, low=10.17, close=10.24, volume=14080, vwap=10.2205, timestamp=1681380000000, transactions=90, otc=None)
Agg(open=10.25, high=10.25, low=10.15, close=10.15, volume=119635, vwap=10.1985, timestamp=1681383600000, transactions=446, otc=None)
Agg(open=10.1806, high=10.34, low=10.1, close=10.33, volume=532839, vwap=10.2166, timestamp=1681387200000, transactions=1820, otc=None)
Agg(open=10.32, high=10.91, low=10.25, close=10.8607, volume=10447492.0, vwap=10.5975, timestamp=1681390800000, transactions=31576, otc=None)
Agg(open=10.86, high=11.4599, low=10.78, close=11.3199, volume=13994479.0, vwap=11.1171, timestamp=1681394400000, transactions=45460, otc=None)
Agg(open=11.32, high=11.65, low=11.3, close=11.53, volume=9956837.0, vwap=11.4707, timestamp=1681398000000, transactions=34030, otc=None)
Agg(open=11.53, high=11.5628, low=11.21, close=11.27, volume=4681118.0, vwap=11.3561, timestamp=1681401600000, transactions=17001, otc=None)
Agg(open=11.27, high=11.575, low=11.18, close=11.52, volume=4852472.0, vwap=11.459, timestamp=1681405200000, transactions=14612, otc=None)
Agg(open=11.52, high=11.69, low=11.37, close=11.41, volume=5627627.0, vwap=11.5216, timestamp=1681408800000, transactions=18576, otc=None)
Agg(open=11.415, high=11.59, low=11.33, close=11.495, volume=6471592.0, vwap=11.4792, timestamp=1681412400000, transactions=20337, otc=None)
Agg(open=11.52, high=11.55, low=11.45, close=11.51, volume=157787, vwap=11.5159, timestamp=1681416000000, transactions=439, otc=None)
Agg(open=11.51, high=11.59, low=11.47, close=11.57, volume=53820, vwap=11.5246, timestamp=1681419600000, transactions=310, otc=None)
Agg(open=11.5799, high=11.58, low=11.52, close=11.54, volume=30561, vwap=11.5543, timestamp=1681423200000, transactions=209, otc=None)
Agg(open=11.54, high=11.6, low=11.51, close=11.6, volume=61977, vwap=11.5512, timestamp=1681426800000, transactions=308, otc=None)
Agg(open=11.8, high=12.25, low=11.73, close=12.25, volume=297396, vwap=12.0448, timestamp=1681459200000, transactions=1455, otc=None)
Agg(open=12.23, high=12.24, low=12.06, close=12.08, volume=139141, vwap=12.122, timestamp=1681462800000, transactions=632, otc=None)
Agg(open=12.1, high=12.18, low=12.02, close=12.05, volume=63842, vwap=12.1107, timestamp=1681466400000, transactions=468, otc=None)
Agg(open=12.04, high=12.16, low=11.93, close=12.13, volume=362990, vwap=12.0352, timestamp=1681470000000, transactions=1717, otc=None)
