Agg(open=18.8196, high=18.8196, low=18.44, close=18.48, volume=155543, vwap=18.5475, timestamp=1700488800000, transactions=1814, otc=None)
Agg(open=18.475, high=18.565, low=18.425, close=18.51, volume=309291, vwap=18.4982, timestamp=1700492400000, transactions=3846, otc=None)
Agg(open=18.515, high=18.56, low=18.42, close=18.42, volume=274944, vwap=18.4891, timestamp=1700496000000, transactions=3570, otc=None)
Agg(open=18.425, high=18.49, low=18.415, close=18.455, volume=245878, vwap=18.4499, timestamp=1700499600000, transactions=3066, otc=None)
Agg(open=18.455, high=18.545, low=18.455, close=18.49, volume=190735, vwap=18.5033, timestamp=1700503200000, transactions=2625, otc=None)
Agg(open=18.495, high=18.5, low=18.41, close=18.425, volume=293257, vwap=18.4397, timestamp=1700506800000, transactions=3707, otc=None)
Agg(open=18.425, high=18.465, low=18.38, close=18.395, volume=1160239.0, vwap=18.4103, timestamp=1700510400000, transactions=8899, otc=None)
Agg(open=18.4, high=18.4, low=18.4, close=18.4, volume=20711, vwap=18.4, timestamp=1700514000000, transactions=30, otc=None)
Agg(open=18.25, high=18.25, low=18.2, close=18.2, volume=1005, vwap=18.2541, timestamp=1700571600000, transactions=22, otc=None)
Agg(open=18.22, high=18.325, low=18.03, close=18.07, volume=308382, vwap=18.1652, timestamp=1700575200000, transactions=2924, otc=None)
Agg(open=18.07, high=18.2, low=18.065, close=18.14, volume=379808, vwap=18.151, timestamp=1700578800000, transactions=4653, otc=None)
Agg(open=18.14, high=18.195, low=18.065, close=18.1, volume=349042, vwap=18.1211, timestamp=1700582400000, transactions=3820, otc=None)
Agg(open=18.1, high=18.255, low=18.07, close=18.25, volume=358126, vwap=18.1315, timestamp=1700586000000, transactions=3691, otc=None)
Agg(open=18.25, high=18.265, low=18.11, close=18.155, volume=359746, vwap=18.1842, timestamp=1700589600000, transactions=4220, otc=None)
Agg(open=18.16, high=18.21, low=18.14, close=18.205, volume=308871, vwap=18.1726, timestamp=1700593200000, transactions=3304, otc=None)
Agg(open=18.205, high=18.22, low=18.14, close=18.16, volume=1073372.0, vwap=18.1802, timestamp=1700596800000, transactions=7748, otc=None)
Agg(open=18.19, high=18.19, low=18.19, close=18.19, volume=31256, vwap=18.19, timestamp=1700600400000, transactions=23, otc=None)
Agg(open=18.28, high=18.28, low=18.28, close=18.28, volume=1000, vwap=18.28, timestamp=1700658000000, transactions=1, otc=None)
Agg(open=18.29, high=18.505, low=18.21, close=18.505, volume=167087, vwap=18.3759, timestamp=1700661600000, transactions=1777, otc=None)
Agg(open=18.5, high=18.575, low=18.46, close=18.515, volume=320995, vwap=18.5152, timestamp=1700665200000, transactions=3985, otc=None)
Agg(open=18.51, high=18.605, low=18.49, close=18.605, volume=164744, vwap=18.5407, timestamp=1700668800000, transactions=2659, otc=None)
Agg(open=18.605, high=18.605, low=18.345, close=18.44, volume=370163, vwap=18.4321, timestamp=1700672400000, transactions=4161, otc=None)
Agg(open=18.44, high=18.46, low=18.37, close=18.405, volume=142422, vwap=18.4091, timestamp=1700676000000, transactions=2192, otc=None)
Agg(open=18.405, high=18.495, low=18.405, close=18.475, volume=181594, vwap=18.4529, timestamp=1700679600000, transactions=2608, otc=None)
Agg(open=18.48, high=18.59, low=18.475, close=18.545, volume=565458, vwap=18.5463, timestamp=1700683200000, transactions=5991, otc=None)
Agg(open=18.55, high=18.55, low=18.55, close=18.55, volume=27082, vwap=18.55, timestamp=1700686800000, transactions=21, otc=None)
Agg(open=18.52, high=18.59, low=18.4101, close=18.575, volume=83157, vwap=18.5227, timestamp=1700834400000, transactions=1060, otc=None)
Agg(open=18.57, high=18.685, low=18.565, close=18.63, volume=203583, vwap=18.6273, timestamp=1700838000000, transactions=3224, otc=None)
Agg(open=18.64, high=18.685, low=18.615, close=18.65, volume=212499, vwap=18.651, timestamp=1700841600000, transactions=2926, otc=None)
Agg(open=18.655, high=18.78, low=18.65, close=18.76, volume=307179, vwap=18.7301, timestamp=1700845200000, transactions=3576, otc=None)
Agg(open=18.77, high=18.77, low=18.75, close=18.77, volume=2220, vwap=18.7691, timestamp=1700848800000, transactions=10, otc=None)
Agg(open=18.7, high=18.7, low=18.7, close=18.7, volume=211, vwap=18.7022, timestamp=1700856000000, transactions=3, otc=None)
Agg(open=18.8, high=18.8, low=18.8, close=18.8, volume=300, vwap=18.8, timestamp=1700859600000, transactions=1, otc=None)
