Agg(open=8.05, high=8.05, low=8, close=8, volume=450, vwap=8.0111, timestamp=1681128000000, transactions=4, otc=None)
Agg(open=7.97, high=8.21, low=7.97, close=8.16, volume=106868, vwap=8.0887, timestamp=1681131600000, transactions=938, otc=None)
Agg(open=8.155, high=8.33, low=8.155, close=8.325, volume=152953, vwap=8.2383, timestamp=1681135200000, transactions=1455, otc=None)
Agg(open=8.33, high=8.43, low=8.33, close=8.39, volume=154016, vwap=8.3757, timestamp=1681138800000, transactions=1460, otc=None)
Agg(open=8.3992, high=8.42, low=8.3, close=8.405, volume=200373, vwap=8.3666, timestamp=1681142400000, transactions=1329, otc=None)
Agg(open=8.405, high=8.525, low=8.4001, close=8.515, volume=211263, vwap=8.4773, timestamp=1681146000000, transactions=1582, otc=None)
Agg(open=8.515, high=8.56, low=8.47, close=8.525, volume=231157, vwap=8.5073, timestamp=1681149600000, transactions=1989, otc=None)
Agg(open=8.525, high=8.54, low=8.485, close=8.53, volume=519874, vwap=8.518, timestamp=1681153200000, transactions=3878, otc=None)
Agg(open=8.54, high=8.54, low=8.54, close=8.54, volume=55969, vwap=8.54, timestamp=1681156800000, transactions=11, otc=None)
Agg(open=8.57, high=8.71, low=8.57, close=8.675, volume=156395, vwap=8.6509, timestamp=1681218000000, transactions=1037, otc=None)
Agg(open=8.68, high=8.9, low=8.68, close=8.755, volume=574312, vwap=8.8239, timestamp=1681221600000, transactions=2934, otc=None)
Agg(open=8.755, high=8.77, low=8.64, close=8.65, volume=168172, vwap=8.7016, timestamp=1681225200000, transactions=1241, otc=None)
Agg(open=8.655, high=8.72, low=8.635, close=8.655, volume=331967, vwap=8.6698, timestamp=1681228800000, transactions=2174, otc=None)
Agg(open=8.655, high=8.745, low=8.64, close=8.705, volume=251367, vwap=8.6835, timestamp=1681232400000, transactions=2228, otc=None)
Agg(open=8.705, high=8.775, low=8.68, close=8.735, volume=288790, vwap=8.7432, timestamp=1681236000000, transactions=1886, otc=None)
Agg(open=8.735, high=8.825, low=8.72, close=8.725, volume=398917, vwap=8.762, timestamp=1681239600000, transactions=3257, otc=None)
Agg(open=8.73, high=8.73, low=8.73, close=8.73, volume=10617, vwap=8.73, timestamp=1681243200000, transactions=12, otc=None)
Agg(open=8.82, high=8.9, low=8.76, close=8.775, volume=67606, vwap=8.8356, timestamp=1681304400000, transactions=709, otc=None)
Agg(open=8.765, high=8.765, low=8.55, close=8.57, volume=94659, vwap=8.6555, timestamp=1681308000000, transactions=1355, otc=None)
Agg(open=8.56, high=8.62, low=8.525, close=8.595, volume=98086, vwap=8.5721, timestamp=1681311600000, transactions=1438, otc=None)
Agg(open=8.6, high=8.62, low=8.575, close=8.61, volume=68402, vwap=8.5972, timestamp=1681315200000, transactions=841, otc=None)
Agg(open=8.605, high=8.61, low=8.58, close=8.595, volume=82859, vwap=8.5983, timestamp=1681318800000, transactions=1018, otc=None)
Agg(open=8.59, high=8.63, low=8.55, close=8.59, volume=115388, vwap=8.5876, timestamp=1681322400000, transactions=1404, otc=None)
Agg(open=8.59, high=8.6, low=8.545, close=8.58, volume=321030, vwap=8.5772, timestamp=1681326000000, transactions=3306, otc=None)
Agg(open=8.58, high=8.58, low=8.58, close=8.58, volume=21487, vwap=8.58, timestamp=1681329600000, transactions=3, otc=None)
Agg(open=8.65, high=8.72, low=8.585, close=8.695, volume=51253, vwap=8.6879, timestamp=1681390800000, transactions=576, otc=None)
Agg(open=8.7, high=8.745, low=8.66, close=8.695, volume=89751, vwap=8.7112, timestamp=1681394400000, transactions=1141, otc=None)
Agg(open=8.7, high=8.73, low=8.685, close=8.705, volume=66603, vwap=8.703, timestamp=1681398000000, transactions=1062, otc=None)
Agg(open=8.71, high=8.79, low=8.71, close=8.755, volume=83974, vwap=8.7558, timestamp=1681401600000, transactions=1112, otc=None)
Agg(open=8.755, high=8.76, low=8.72, close=8.735, volume=57705, vwap=8.7398, timestamp=1681405200000, transactions=765, otc=None)
Agg(open=8.735, high=8.74, low=8.69, close=8.705, volume=91978, vwap=8.7102, timestamp=1681408800000, transactions=1180, otc=None)
Agg(open=8.705, high=8.75, low=8.695, close=8.7, volume=300489, vwap=8.712, timestamp=1681412400000, transactions=2929, otc=None)
Agg(open=8.71, high=8.71, low=8.71, close=8.71, volume=2476, vwap=8.71, timestamp=1681416000000, transactions=7, otc=None)
Agg(open=8.71, high=8.85, low=8.67, close=8.785, volume=77260, vwap=8.7664, timestamp=1681477200000, transactions=670, otc=None)
Agg(open=8.77, high=8.78, low=8.685, close=8.735, volume=80940, vwap=8.7292, timestamp=1681480800000, transactions=1091, otc=None)
Agg(open=8.73, high=8.73, low=8.64, close=8.665, volume=74407, vwap=8.6905, timestamp=1681484400000, transactions=918, otc=None)
Agg(open=8.665, high=8.675, low=8.635, close=8.655, volume=48608, vwap=8.6527, timestamp=1681488000000, transactions=725, otc=None)
Agg(open=8.655, high=8.71, low=8.6325, close=8.655, volume=74462, vwap=8.6638, timestamp=1681491600000, transactions=862, otc=None)
Agg(open=8.655, high=8.66, low=8.635, close=8.645, volume=65262, vwap=8.6492, timestamp=1681495200000, transactions=830, otc=None)
Agg(open=8.645, high=8.655, low=8.595, close=8.63, volume=243934, vwap=8.6203, timestamp=1681498800000, transactions=2437, otc=None)
Agg(open=8.63, high=8.63, low=8.63, close=8.63, volume=8550, vwap=8.63, timestamp=1681502400000, transactions=10, otc=None)
