Agg(open=9.16, high=9.19, low=8.98, close=9, volume=66057, vwap=9.0637, timestamp=1684155600000, transactions=627, otc=None)
Agg(open=9.01, high=9.055, low=9, close=9.035, volume=97095, vwap=9.0212, timestamp=1684159200000, transactions=1417, otc=None)
Agg(open=9.03, high=9.04, low=9, close=9, volume=213111, vwap=9.0109, timestamp=1684162800000, transactions=1991, otc=None)
Agg(open=9.005, high=9.045, low=9, close=9.045, volume=71576, vwap=9.0176, timestamp=1684166400000, transactions=1246, otc=None)
Agg(open=9.045, high=9.1, low=9.03, close=9.065, volume=80968, vwap=9.062, timestamp=1684170000000, transactions=1151, otc=None)
Agg(open=9.07, high=9.07, low=9.03, close=9.045, volume=56235, vwap=9.0473, timestamp=1684173600000, transactions=1075, otc=None)
Agg(open=9.045, high=9.09, low=9.04, close=9.07, volume=187007, vwap=9.0698, timestamp=1684177200000, transactions=2595, otc=None)
Agg(open=9.07, high=9.07, low=9.07, close=9.07, volume=22874, vwap=9.07, timestamp=1684180800000, transactions=11, otc=None)
Agg(open=9, high=9.08, low=8.995, close=9.03, volume=93698, vwap=9.0161, timestamp=1684242000000, transactions=522, otc=None)
Agg(open=9.03, high=9.035, low=8.99, close=8.995, volume=62718, vwap=9.0077, timestamp=1684245600000, transactions=997, otc=None)
Agg(open=9, high=9.025, low=8.9922, close=9.015, volume=50586, vwap=9.005, timestamp=1684249200000, transactions=839, otc=None)
Agg(open=9.015, high=9.025, low=8.98, close=8.985, volume=46261, vwap=9.0051, timestamp=1684252800000, transactions=701, otc=None)
Agg(open=8.98, high=9.025, low=8.96, close=8.985, volume=163742, vwap=8.9825, timestamp=1684256400000, transactions=1616, otc=None)
Agg(open=8.985, high=9.01, low=8.95, close=9, volume=59340, vwap=8.9813, timestamp=1684260000000, transactions=901, otc=None)
Agg(open=9.01, high=9.01, low=8.975, close=8.99, volume=106319, vwap=8.9904, timestamp=1684263600000, transactions=1427, otc=None)
Agg(open=8.99, high=8.99, low=8.99, close=8.99, volume=5942, vwap=8.99, timestamp=1684267200000, transactions=7, otc=None)
Agg(open=9, high=9.025, low=8.96, close=8.97, volume=47416, vwap=8.9994, timestamp=1684328400000, transactions=527, otc=None)
Agg(open=8.97, high=9.04, low=8.95, close=9.035, volume=35602, vwap=8.997, timestamp=1684332000000, transactions=589, otc=None)
Agg(open=9.04, high=9.09, low=9.02, close=9.08, volume=86493, vwap=9.0663, timestamp=1684335600000, transactions=870, otc=None)
Agg(open=9.085, high=9.085, low=9.015, close=9.065, volume=87763, vwap=9.0401, timestamp=1684339200000, transactions=1036, otc=None)
Agg(open=9.065, high=9.1, low=9.045, close=9.075, volume=85669, vwap=9.0674, timestamp=1684342800000, transactions=1112, otc=None)
Agg(open=9.08, high=9.085, low=9.05, close=9.05, volume=24229, vwap=9.0724, timestamp=1684346400000, transactions=448, otc=None)
Agg(open=9.05, high=9.065, low=8.98, close=9, volume=217180, vwap=9.0168, timestamp=1684350000000, transactions=2107, otc=None)
Agg(open=9.01, high=9.01, low=9.01, close=9.01, volume=23136, vwap=9.01, timestamp=1684353600000, transactions=11, otc=None)
Agg(open=8.96, high=9.02, low=8.905, close=8.91, volume=46919, vwap=8.9707, timestamp=1684414800000, transactions=642, otc=None)
Agg(open=8.91, high=8.98, low=8.885, close=8.975, volume=153028, vwap=8.9586, timestamp=1684418400000, transactions=1795, otc=None)
Agg(open=8.975, high=9.045, low=8.955, close=8.965, volume=119289, vwap=8.9974, timestamp=1684422000000, transactions=1449, otc=None)
Agg(open=8.96, high=8.965, low=8.79, close=8.84, volume=142831, vwap=8.8696, timestamp=1684425600000, transactions=1694, otc=None)
Agg(open=8.845, high=8.87, low=8.82, close=8.845, volume=77002, vwap=8.8443, timestamp=1684429200000, transactions=1129, otc=None)
Agg(open=8.84, high=8.9, low=8.825, close=8.895, volume=49965, vwap=8.8613, timestamp=1684432800000, transactions=913, otc=None)
Agg(open=8.895, high=9.01, low=8.885, close=8.96, volume=208289, vwap=8.9622, timestamp=1684436400000, transactions=2532, otc=None)
Agg(open=8.97, high=8.97, low=8.97, close=8.97, volume=9238, vwap=8.97, timestamp=1684440000000, transactions=9, otc=None)
Agg(open=8.95, high=8.99, low=8.72, close=8.725, volume=46472, vwap=8.807, timestamp=1684501200000, transactions=555, otc=None)
Agg(open=8.725, high=8.84, low=8.715, close=8.805, volume=74788, vwap=8.7828, timestamp=1684504800000, transactions=1282, otc=None)
Agg(open=8.81, high=8.86, low=8.635, close=8.635, volume=134108, vwap=8.7639, timestamp=1684508400000, transactions=1944, otc=None)
Agg(open=8.635, high=8.72, low=8.61, close=8.625, volume=123499, vwap=8.6643, timestamp=1684512000000, transactions=1610, otc=None)
Agg(open=8.63, high=8.65, low=8.56, close=8.565, volume=93933, vwap=8.5962, timestamp=1684515600000, transactions=1408, otc=None)
Agg(open=8.57, high=8.575, low=8.535, close=8.5575, volume=73566, vwap=8.5562, timestamp=1684519200000, transactions=1103, otc=None)
Agg(open=8.555, high=8.73, low=8.545, close=8.68, volume=518389, vwap=8.66, timestamp=1684522800000, transactions=4362, otc=None)
Agg(open=8.68, high=8.68, low=8.68, close=8.68, volume=22300, vwap=8.6799, timestamp=1684526400000, transactions=9, otc=None)
