Agg(open=9.79, high=9.89, low=9.73, close=9.825, volume=54015, vwap=9.8368, timestamp=1690808400000, transactions=592, otc=None)
Agg(open=9.825, high=9.9, low=9.785, close=9.825, volume=78576, vwap=9.8356, timestamp=1690812000000, transactions=1274, otc=None)
Agg(open=9.83, high=9.83, low=9.765, close=9.775, volume=64106, vwap=9.8051, timestamp=1690815600000, transactions=995, otc=None)
Agg(open=9.77, high=9.84, low=9.77, close=9.84, volume=90087, vwap=9.8154, timestamp=1690819200000, transactions=900, otc=None)
Agg(open=9.84, high=9.85, low=9.78, close=9.78, volume=69078, vwap=9.8107, timestamp=1690822800000, transactions=894, otc=None)
Agg(open=9.785, high=9.89, low=9.78, close=9.87, volume=199018, vwap=9.8527, timestamp=1690826400000, transactions=1478, otc=None)
Agg(open=9.87, high=9.955, low=9.86, close=9.93, volume=347864, vwap=9.9204, timestamp=1690830000000, transactions=3520, otc=None)
Agg(open=9.93, high=9.93, low=9.93, close=9.93, volume=12110, vwap=9.93, timestamp=1690833600000, transactions=9, otc=None)
Agg(open=9.82, high=9.89, low=9.695, close=9.75, volume=59069, vwap=9.7905, timestamp=1690894800000, transactions=801, otc=None)
Agg(open=9.76, high=9.79, low=9.665, close=9.705, volume=94362, vwap=9.7313, timestamp=1690898400000, transactions=1775, otc=None)
Agg(open=9.705, high=9.705, low=9.66, close=9.675, volume=53379, vwap=9.6798, timestamp=1690902000000, transactions=1078, otc=None)
Agg(open=9.6779, high=9.685, low=9.585, close=9.59, volume=77310, vwap=9.6282, timestamp=1690905600000, transactions=1301, otc=None)
Agg(open=9.595, high=9.665, low=9.59, close=9.655, volume=102222, vwap=9.6246, timestamp=1690909200000, transactions=1394, otc=None)
Agg(open=9.655, high=9.69, low=9.64, close=9.68, volume=79001, vwap=9.6688, timestamp=1690912800000, transactions=1296, otc=None)
Agg(open=9.685, high=9.71, low=9.6, close=9.61, volume=330254, vwap=9.6467, timestamp=1690916400000, transactions=3479, otc=None)
Agg(open=9.6, high=9.6, low=9.6, close=9.6, volume=10343, vwap=9.6, timestamp=1690920000000, transactions=10, otc=None)
Agg(open=9.53, high=9.55, low=9.53, close=9.55, volume=514, vwap=9.5425, timestamp=1690974000000, transactions=3, otc=None)
Agg(open=9.41, high=9.41, low=9.35, close=9.36, volume=1718, vwap=9.3622, timestamp=1690977600000, transactions=10, otc=None)
