Agg(open=29.29, high=29.38, low=29.1, close=29.31, volume=144475, vwap=29.2583, timestamp=1685451600000, transactions=1694, otc=None)
Agg(open=29.33, high=29.35, low=29.175, close=29.315, volume=200461, vwap=29.2695, timestamp=1685455200000, transactions=2645, otc=None)
Agg(open=29.315, high=29.35, low=29.18, close=29.29, volume=131626, vwap=29.2635, timestamp=1685458800000, transactions=1751, otc=None)
Agg(open=29.295, high=29.325, low=29.23, close=29.24, volume=107376, vwap=29.2769, timestamp=1685462400000, transactions=1545, otc=None)
Agg(open=29.24, high=29.27, low=29.19, close=29.25, volume=111223, vwap=29.2322, timestamp=1685466000000, transactions=1771, otc=None)
Agg(open=29.25, high=29.285, low=29.12, close=29.15, volume=224109, vwap=29.2025, timestamp=1685469600000, transactions=2850, otc=None)
Agg(open=29.14, high=29.205, low=29.01, close=29.02, volume=476049, vwap=29.0932, timestamp=1685473200000, transactions=5194, otc=None)
Agg(open=29.01, high=29.01, low=29.01, close=29.01, volume=25015, vwap=29.01, timestamp=1685476800000, transactions=21, otc=None)
Agg(open=29.23, high=29.23, low=29.23, close=29.23, volume=100, vwap=29.23, timestamp=1685487600000, transactions=1, otc=None)
Agg(open=29, high=29, low=29, close=29, volume=2500, vwap=29, timestamp=1685530800000, transactions=1, otc=None)
Agg(open=28.95, high=29.01, low=28.74, close=28.87, volume=136002, vwap=28.8806, timestamp=1685538000000, transactions=1562, otc=None)
Agg(open=28.86, high=28.87, low=28.605, close=28.75, volume=194478, vwap=28.7286, timestamp=1685541600000, transactions=2871, otc=None)
Agg(open=28.75, high=28.89, low=28.72, close=28.85, volume=176540, vwap=28.8141, timestamp=1685545200000, transactions=2719, otc=None)
Agg(open=28.85, high=29.025, low=28.85, close=28.955, volume=180302, vwap=28.9519, timestamp=1685548800000, transactions=2421, otc=None)
Agg(open=28.955, high=29.145, low=28.95, close=29.145, volume=195131, vwap=29.0567, timestamp=1685552400000, transactions=2800, otc=None)
Agg(open=29.145, high=29.195, low=29.1, close=29.135, volume=152224, vwap=29.1465, timestamp=1685556000000, transactions=2777, otc=None)
