Agg(open=7.84, high=7.9, low=7.79, close=7.795, volume=36118, vwap=7.8493, timestamp=1690203600000, transactions=488, otc=None)
Agg(open=7.795, high=7.795, low=7.695, close=7.71, volume=63832, vwap=7.7469, timestamp=1690207200000, transactions=928, otc=None)
Agg(open=7.715, high=7.765, low=7.71, close=7.725, volume=43745, vwap=7.731, timestamp=1690210800000, transactions=581, otc=None)
Agg(open=7.725, high=7.735, low=7.685, close=7.705, volume=60423, vwap=7.7095, timestamp=1690214400000, transactions=795, otc=None)
Agg(open=7.7, high=7.7, low=7.66, close=7.66, volume=28057, vwap=7.6817, timestamp=1690218000000, transactions=457, otc=None)
Agg(open=7.665, high=7.67, low=7.63, close=7.635, volume=49349, vwap=7.6513, timestamp=1690221600000, transactions=897, otc=None)
Agg(open=7.635, high=7.71, low=7.62, close=7.68, volume=238261, vwap=7.6733, timestamp=1690225200000, transactions=2888, otc=None)
Agg(open=7.68, high=7.8, low=7.68, close=7.8, volume=20624, vwap=7.6806, timestamp=1690228800000, transactions=10, otc=None)
Agg(open=7.61, high=7.61, low=7.61, close=7.61, volume=500, vwap=7.61, timestamp=1690239600000, transactions=2, otc=None)
Agg(open=7.66, high=7.75, low=7.61, close=7.74, volume=30962, vwap=7.7169, timestamp=1690290000000, transactions=364, otc=None)
Agg(open=7.75, high=7.77, low=7.72, close=7.72, volume=63222, vwap=7.7501, timestamp=1690293600000, transactions=840, otc=None)
Agg(open=7.72, high=7.75, low=7.71, close=7.735, volume=57020, vwap=7.7338, timestamp=1690297200000, transactions=770, otc=None)
Agg(open=7.73, high=7.73, low=7.7, close=7.73, volume=68114, vwap=7.7077, timestamp=1690300800000, transactions=662, otc=None)
Agg(open=7.725, high=7.75, low=7.7, close=7.75, volume=46267, vwap=7.7153, timestamp=1690304400000, transactions=841, otc=None)
Agg(open=7.7462, high=7.765, low=7.73, close=7.73, volume=29333, vwap=7.7491, timestamp=1690308000000, transactions=728, otc=None)
Agg(open=7.735, high=7.78, low=7.67, close=7.77, volume=431979, vwap=7.7306, timestamp=1690311600000, transactions=3550, otc=None)
Agg(open=7.76, high=7.76, low=7.76, close=7.76, volume=16061, vwap=7.76, timestamp=1690315200000, transactions=8, otc=None)
Agg(open=7.7, high=7.81, low=7.7, close=7.715, volume=22477, vwap=7.7647, timestamp=1690376400000, transactions=336, otc=None)
Agg(open=7.715, high=7.745, low=7.69, close=7.695, volume=73628, vwap=7.7187, timestamp=1690380000000, transactions=1060, otc=None)
Agg(open=7.695, high=7.76, low=7.685, close=7.745, volume=59506, vwap=7.7301, timestamp=1690383600000, transactions=1198, otc=None)
Agg(open=7.745, high=7.77, low=7.72, close=7.755, volume=78109, vwap=7.7503, timestamp=1690387200000, transactions=1145, otc=None)
Agg(open=7.755, high=7.82, low=7.75, close=7.815, volume=91041, vwap=7.7783, timestamp=1690390800000, transactions=970, otc=None)
Agg(open=7.81, high=7.845, low=7.75, close=7.77, volume=103368, vwap=7.8104, timestamp=1690394400000, transactions=1159, otc=None)
Agg(open=7.775, high=7.81, low=7.755, close=7.79, volume=152109, vwap=7.7891, timestamp=1690398000000, transactions=1978, otc=None)
Agg(open=7.79, high=7.79, low=7.79, close=7.79, volume=12007, vwap=7.79, timestamp=1690401600000, transactions=11, otc=None)
Agg(open=7.87, high=7.87, low=7.68, close=7.79, volume=71721, vwap=7.7594, timestamp=1690462800000, transactions=592, otc=None)
Agg(open=7.785, high=7.79, low=7.65, close=7.65, volume=177828, vwap=7.7513, timestamp=1690466400000, transactions=1036, otc=None)
Agg(open=7.655, high=7.7175, low=7.655, close=7.665, volume=45149, vwap=7.6919, timestamp=1690470000000, transactions=608, otc=None)
Agg(open=7.6615, high=7.7, low=7.65, close=7.65, volume=62030, vwap=7.6622, timestamp=1690473600000, transactions=505, otc=None)
Agg(open=7.655, high=7.655, low=7.59, close=7.6, volume=56029, vwap=7.6228, timestamp=1690477200000, transactions=780, otc=None)
Agg(open=7.605, high=7.61, low=7.48, close=7.485, volume=162968, vwap=7.5197, timestamp=1690480800000, transactions=1131, otc=None)
Agg(open=7.48, high=7.49, low=7.35, close=7.38, volume=468545, vwap=7.3975, timestamp=1690484400000, transactions=4074, otc=None)
Agg(open=7.38, high=7.45, low=7.38, close=7.45, volume=61210, vwap=7.3801, timestamp=1690488000000, transactions=10, otc=None)
Agg(open=7.48, high=7.53, low=7.425, close=7.43, volume=40109, vwap=7.4829, timestamp=1690549200000, transactions=406, otc=None)
Agg(open=7.43, high=7.495, low=7.43, close=7.495, volume=75884, vwap=7.4611, timestamp=1690552800000, transactions=1049, otc=None)
Agg(open=7.5, high=7.51, low=7.475, close=7.5, volume=47584, vwap=7.4988, timestamp=1690556400000, transactions=457, otc=None)
Agg(open=7.505, high=7.555, low=7.48, close=7.555, volume=88987, vwap=7.5064, timestamp=1690560000000, transactions=765, otc=None)
Agg(open=7.555, high=7.56, low=7.51, close=7.56, volume=114550, vwap=7.5311, timestamp=1690563600000, transactions=1127, otc=None)
Agg(open=7.56, high=7.56, low=7.5, close=7.5, volume=53416, vwap=7.529, timestamp=1690567200000, transactions=928, otc=None)
Agg(open=7.5, high=7.52, low=7.41, close=7.425, volume=422118, vwap=7.476, timestamp=1690570800000, transactions=2595, otc=None)
Agg(open=7.43, high=7.43, low=7.43, close=7.43, volume=135038, vwap=7.43, timestamp=1690574400000, transactions=6, otc=None)
