Agg(open=8.42, high=8.42, low=8.42, close=8.42, volume=197, vwap=8.4111, timestamp=1698663600000, transactions=3, otc=None)
Agg(open=8.49, high=8.53, low=8.45, close=8.505, volume=114481, vwap=8.4946, timestamp=1698670800000, transactions=1027, otc=None)
Agg(open=8.5, high=8.585, low=8.485, close=8.505, volume=217125, vwap=8.5321, timestamp=1698674400000, transactions=2063, otc=None)
Agg(open=8.505, high=8.58, low=8.505, close=8.565, volume=106942, vwap=8.544, timestamp=1698678000000, transactions=1284, otc=None)
Agg(open=8.565, high=8.575, low=8.51, close=8.525, volume=111884, vwap=8.5476, timestamp=1698681600000, transactions=1242, otc=None)
Agg(open=8.53, high=8.6, low=8.51, close=8.595, volume=218235, vwap=8.5437, timestamp=1698685200000, transactions=1652, otc=None)
Agg(open=8.6, high=8.61, low=8.55, close=8.585, volume=195521, vwap=8.5834, timestamp=1698688800000, transactions=1617, otc=None)
Agg(open=8.585, high=8.6, low=8.565, close=8.59, volume=576002, vwap=8.5826, timestamp=1698692400000, transactions=3179, otc=None)
Agg(open=8.58, high=8.58, low=8.58, close=8.58, volume=1325, vwap=8.58, timestamp=1698696000000, transactions=3, otc=None)
Agg(open=8.3015, high=8.3015, low=8.3015, close=8.3015, volume=100, vwap=8.3015, timestamp=1698699600000, transactions=1, otc=None)
Agg(open=8.62, high=8.62, low=8.62, close=8.62, volume=100, vwap=8.62, timestamp=1698703200000, transactions=1, otc=None)
Agg(open=8.47, high=8.49, low=8.27, close=8.275, volume=186489, vwap=8.3601, timestamp=1698757200000, transactions=1497, otc=None)
Agg(open=8.275, high=8.44, low=8.24, close=8.4, volume=216369, vwap=8.3484, timestamp=1698760800000, transactions=2078, otc=None)
Agg(open=8.4, high=8.43, low=8.315, close=8.375, volume=233763, vwap=8.3603, timestamp=1698764400000, transactions=2057, otc=None)
Agg(open=8.38, high=8.39, low=8.3, close=8.345, volume=167631, vwap=8.3563, timestamp=1698768000000, transactions=1374, otc=None)
Agg(open=8.345, high=8.4, low=8.33, close=8.395, volume=201982, vwap=8.3691, timestamp=1698771600000, transactions=1585, otc=None)
Agg(open=8.395, high=8.4, low=8.345, close=8.39, volume=180383, vwap=8.3633, timestamp=1698775200000, transactions=1338, otc=None)
Agg(open=8.39, high=8.45, low=8.385, close=8.45, volume=1091253.0, vwap=8.413, timestamp=1698778800000, transactions=4965, otc=None)
Agg(open=8.44, high=8.44, low=8.44, close=8.44, volume=15584, vwap=8.44, timestamp=1698782400000, transactions=13, otc=None)
Agg(open=8.44, high=8.44, low=8.44, close=8.44, volume=200, vwap=8.44, timestamp=1698786000000, transactions=1, otc=None)
Agg(open=8.5, high=8.5, low=8.5, close=8.5, volume=515, vwap=8.5, timestamp=1698793200000, transactions=2, otc=None)
Agg(open=8.68, high=8.68, low=8.68, close=8.68, volume=100, vwap=8.68, timestamp=1698825600000, transactions=1, otc=None)
Agg(open=8.5, high=8.5, low=8.5, close=8.5, volume=3200, vwap=8.5, timestamp=1698840000000, transactions=22, otc=None)
Agg(open=8.44, high=8.56, low=8.43, close=8.505, volume=338910, vwap=8.4912, timestamp=1698843600000, transactions=2286, otc=None)
Agg(open=8.505, high=8.56, low=8.29, close=8.345, volume=743490, vwap=8.4922, timestamp=1698847200000, transactions=3758, otc=None)
Agg(open=8.345, high=8.405, low=8.09, close=8.09, volume=420668, vwap=8.2107, timestamp=1698850800000, transactions=3558, otc=None)
Agg(open=8.09, high=8.11, low=7.955, close=7.965, volume=402694, vwap=8.0305, timestamp=1698854400000, transactions=3518, otc=None)
Agg(open=7.9667, high=7.99, low=7.92, close=7.95, volume=373304, vwap=7.9471, timestamp=1698858000000, transactions=3751, otc=None)
Agg(open=7.94, high=8.005, low=7.8742, close=7.94, volume=641312, vwap=7.9322, timestamp=1698861600000, transactions=6102, otc=None)
Agg(open=7.935, high=8, low=7.905, close=7.97, volume=1593743.0, vwap=7.9571, timestamp=1698865200000, transactions=10665, otc=None)
Agg(open=7.98, high=7.98, low=7.98, close=7.98, volume=39975, vwap=7.98, timestamp=1698868800000, transactions=16, otc=None)
Agg(open=7.95, high=7.95, low=7.95, close=7.95, volume=500, vwap=7.95, timestamp=1698872400000, transactions=3, otc=None)
Agg(open=8, high=8, low=8, close=8, volume=1600, vwap=8, timestamp=1698912000000, transactions=2, otc=None)
Agg(open=8.24, high=8.25, low=8.08, close=8.185, volume=215289, vwap=8.1793, timestamp=1698930000000, transactions=1801, otc=None)
Agg(open=8.185, high=8.28, low=8.1, close=8.28, volume=266141, vwap=8.154, timestamp=1698933600000, transactions=2320, otc=None)
Agg(open=8.28, high=8.305, low=8.11, close=8.1499, volume=224887, vwap=8.2069, timestamp=1698937200000, transactions=2124, otc=None)
Agg(open=8.15, high=8.17, low=8.115, close=8.13, volume=122315, vwap=8.1405, timestamp=1698940800000, transactions=1325, otc=None)
Agg(open=8.14, high=8.225, low=8.1, close=8.19, volume=164028, vwap=8.1541, timestamp=1698944400000, transactions=1581, otc=None)
Agg(open=8.19, high=8.195, low=8.125, close=8.145, volume=188444, vwap=8.151, timestamp=1698948000000, transactions=1934, otc=None)
Agg(open=8.14, high=8.145, low=8.04, close=8.05, volume=715568, vwap=8.0889, timestamp=1698951600000, transactions=3785, otc=None)
Agg(open=8.05, high=8.21, low=8.05, close=8.21, volume=10492, vwap=8.0523, timestamp=1698955200000, transactions=9, otc=None)
Agg(open=8.08, high=8.08, low=8.08, close=8.08, volume=100, vwap=8.08, timestamp=1698966000000, transactions=1, otc=None)
Agg(open=8.3, high=8.47, low=8.285, close=8.465, volume=207966, vwap=8.3852, timestamp=1699016400000, transactions=1870, otc=None)
Agg(open=8.47, high=8.495, low=8.275, close=8.315, volume=244031, vwap=8.3665, timestamp=1699020000000, transactions=2204, otc=None)
Agg(open=8.31, high=8.4499, low=8.3, close=8.435, volume=365922, vwap=8.3685, timestamp=1699023600000, transactions=2214, otc=None)
Agg(open=8.435, high=8.56, low=8.42, close=8.545, volume=484936, vwap=8.4743, timestamp=1699027200000, transactions=3256, otc=None)
Agg(open=8.54, high=8.575, low=8.49, close=8.53, volume=470889, vwap=8.5255, timestamp=1699030800000, transactions=2521, otc=None)
Agg(open=8.535, high=8.61, low=8.51, close=8.545, volume=311719, vwap=8.564, timestamp=1699034400000, transactions=2150, otc=None)
Agg(open=8.5475, high=8.57, low=8.485, close=8.57, volume=543764, vwap=8.5312, timestamp=1699038000000, transactions=4362, otc=None)
Agg(open=8.57, high=8.57, low=8.57, close=8.57, volume=16592, vwap=8.57, timestamp=1699041600000, transactions=5, otc=None)
