Agg(open=4.23, high=4.23, low=4.2, close=4.23, volume=3726, vwap=4.2264, timestamp=1695038400000, transactions=5, otc=None)
Agg(open=4.2, high=4.2, low=4.11, close=4.11, volume=22897, vwap=4.1648, timestamp=1695042000000, transactions=286, otc=None)
Agg(open=4.12, high=4.12, low=4.07, close=4.115, volume=46447, vwap=4.099, timestamp=1695045600000, transactions=397, otc=None)
Agg(open=4.12, high=4.13, low=4.08, close=4.085, volume=20149, vwap=4.0996, timestamp=1695049200000, transactions=388, otc=None)
Agg(open=4.089, high=4.089, low=4.0515, close=4.055, volume=19769, vwap=4.0667, timestamp=1695052800000, transactions=315, otc=None)
Agg(open=4.0587, high=4.09, low=4.05, close=4.075, volume=25519, vwap=4.0644, timestamp=1695056400000, transactions=386, otc=None)
Agg(open=4.07, high=4.11, low=4.05, close=4.06, volume=51876, vwap=4.0778, timestamp=1695060000000, transactions=540, otc=None)
Agg(open=4.0566, high=4.1, low=4.03, close=4.08, volume=171589, vwap=4.0626, timestamp=1695063600000, transactions=1123, otc=None)
Agg(open=4.11, high=4.12, low=4.11, close=4.12, volume=840, vwap=4.1124, timestamp=1695067200000, transactions=7, otc=None)
Agg(open=4.11, high=4.11, low=4.11, close=4.11, volume=200, vwap=4.11, timestamp=1695070800000, transactions=2, otc=None)
Agg(open=4.0986, high=4.0986, low=4.0986, close=4.0986, volume=100, vwap=4.0986, timestamp=1695124800000, transactions=1, otc=None)
Agg(open=4.07, high=4.0877, low=4.01, close=4.01, volume=62783, vwap=4.0412, timestamp=1695128400000, transactions=495, otc=None)
Agg(open=4.01, high=4.04, low=4, close=4.0399, volume=39683, vwap=4.0177, timestamp=1695132000000, transactions=550, otc=None)
Agg(open=4.035, high=4.04, low=3.98, close=3.99, volume=90371, vwap=4.0094, timestamp=1695135600000, transactions=760, otc=None)
Agg(open=3.99, high=4.0057, low=3.95, close=3.97, volume=46767, vwap=3.9708, timestamp=1695139200000, transactions=533, otc=None)
Agg(open=3.97, high=4.01, low=3.97, close=3.995, volume=36654, vwap=3.992, timestamp=1695142800000, transactions=416, otc=None)
Agg(open=3.99, high=4.03, low=3.985, close=4.015, volume=35266, vwap=4.0069, timestamp=1695146400000, transactions=418, otc=None)
Agg(open=4.01, high=4.04, low=4.01, close=4.03, volume=75572, vwap=4.0253, timestamp=1695150000000, transactions=794, otc=None)
Agg(open=4.0292, high=4.0292, low=4.01, close=4.01, volume=816, vwap=4.0232, timestamp=1695153600000, transactions=5, otc=None)
Agg(open=4.02, high=4.02, low=4.02, close=4.02, volume=100, vwap=4.02, timestamp=1695157200000, transactions=1, otc=None)
Agg(open=4.1228, high=4.1228, low=3.98, close=4.041, volume=47433, vwap=4.0245, timestamp=1695214800000, transactions=318, otc=None)
