Agg(open=10.98, high=11, low=10.98, close=11, volume=1600, vwap=10.9925, timestamp=1672736400000, transactions=2, otc=None)
Agg(open=11.02, high=11.02, low=11.02, close=11.02, volume=1118, vwap=11.02, timestamp=1672747200000, transactions=1, otc=None)
Agg(open=11.05, high=11.05, low=10.95, close=10.95, volume=683, vwap=11.0142, timestamp=1672750800000, transactions=5, otc=None)
Agg(open=10.9, high=11.35, low=10.9, close=11.09, volume=48044, vwap=11.1145, timestamp=1672754400000, transactions=523, otc=None)
Agg(open=11.1, high=11.19, low=10.84, close=11.1, volume=89401, vwap=11.0657, timestamp=1672758000000, transactions=901, otc=None)
Agg(open=11.095, high=11.12, low=10.69, close=10.7, volume=53817, vwap=10.9043, timestamp=1672761600000, transactions=782, otc=None)
Agg(open=10.71, high=10.71, low=10.5, close=10.6, volume=107022, vwap=10.6058, timestamp=1672765200000, transactions=1149, otc=None)
Agg(open=10.62, high=10.68, low=10.58, close=10.68, volume=41825, vwap=10.623, timestamp=1672768800000, transactions=477, otc=None)
Agg(open=10.68, high=10.86, low=10.63, close=10.78, volume=40049, vwap=10.7039, timestamp=1672772400000, transactions=472, otc=None)
Agg(open=10.79, high=10.84, low=10.73, close=10.74, volume=83423, vwap=10.7818, timestamp=1672776000000, transactions=958, otc=None)
Agg(open=11.17, high=11.17, low=11.15, close=11.15, volume=550, vwap=11.1577, timestamp=1672822800000, transactions=5, otc=None)
Agg(open=11.17, high=11.17, low=11.17, close=11.17, volume=209, vwap=11.1695, timestamp=1672826400000, transactions=2, otc=None)
Agg(open=11.35, high=11.35, low=11.35, close=11.35, volume=510, vwap=11.35, timestamp=1672837200000, transactions=4, otc=None)
Agg(open=11.35, high=11.35, low=11.06, close=11.23, volume=103066, vwap=11.1745, timestamp=1672840800000, transactions=872, otc=None)
Agg(open=11.22, high=11.4, low=11.17, close=11.4, volume=173630, vwap=11.2575, timestamp=1672844400000, transactions=1993, otc=None)
