Agg(open=19.08, high=19.78, low=19.08, close=19.27, volume=19448, vwap=19.672, timestamp=1678694400000, transactions=70, otc=None)
Agg(open=19.38, high=19.4, low=19.19, close=19.3, volume=3633, vwap=19.3251, timestamp=1678698000000, transactions=25, otc=None)
Agg(open=19.3, high=19.3, low=19.2, close=19.2, volume=1700, vwap=19.2864, timestamp=1678701600000, transactions=16, otc=None)
Agg(open=19.15, high=19.15, low=19.1, close=19.11, volume=1671, vwap=19.1111, timestamp=1678705200000, transactions=30, otc=None)
Agg(open=19.01, high=19.04, low=18.8, close=18.8, volume=1327, vwap=18.8659, timestamp=1678708800000, transactions=12, otc=None)
Agg(open=18.85, high=19.17, low=18.36, close=19.115, volume=589939, vwap=18.7417, timestamp=1678712400000, transactions=2975, otc=None)
Agg(open=19.125, high=19.38, low=19.03, close=19.07, volume=494955, vwap=19.2355, timestamp=1678716000000, transactions=3440, otc=None)
Agg(open=19.09, high=19.12, low=18.9, close=18.97, volume=218098, vwap=19.0312, timestamp=1678719600000, transactions=1613, otc=None)
Agg(open=18.99, high=19.03, low=18.87, close=18.94, volume=119409, vwap=18.9422, timestamp=1678723200000, transactions=1147, otc=None)
Agg(open=18.96, high=19.11, low=18.9, close=19.08, volume=94891, vwap=18.9895, timestamp=1678726800000, transactions=1042, otc=None)
Agg(open=19.095, high=19.14, low=18.95, close=18.98, volume=100823, vwap=19.0543, timestamp=1678730400000, transactions=1192, otc=None)
Agg(open=18.97, high=19.06, low=18.87, close=18.88, volume=430217, vwap=18.9603, timestamp=1678734000000, transactions=3405, otc=None)
Agg(open=18.88, high=18.88, low=18.88, close=18.88, volume=469129, vwap=18.88, timestamp=1678737600000, transactions=7, otc=None)
Agg(open=18.88, high=18.88, low=18.88, close=18.88, volume=500, vwap=18.8791, timestamp=1678744800000, transactions=2, otc=None)
Agg(open=18.97, high=18.97, low=18.97, close=18.97, volume=100, vwap=18.97, timestamp=1678748400000, transactions=1, otc=None)
Agg(open=18.78, high=18.88, low=18.78, close=18.88, volume=500, vwap=18.8419, timestamp=1678780800000, transactions=5, otc=None)
Agg(open=18.55, high=18.55, low=18.55, close=18.55, volume=100, vwap=18.55, timestamp=1678791600000, transactions=1, otc=None)
Agg(open=18.54, high=18.54, low=18.54, close=18.54, volume=1448, vwap=18.54, timestamp=1678795200000, transactions=5, otc=None)
Agg(open=18.84, high=18.84, low=18.075, close=18.17, volume=161154, vwap=18.3158, timestamp=1678798800000, transactions=1176, otc=None)
Agg(open=18.1501, high=18.75, low=18.11, close=18.6, volume=247062, vwap=18.4259, timestamp=1678802400000, transactions=2794, otc=None)
Agg(open=18.605, high=18.78, low=18.59, close=18.76, volume=144495, vwap=18.7007, timestamp=1678806000000, transactions=1987, otc=None)
Agg(open=18.75, high=19.06, low=18.745, close=18.97, volume=214561, vwap=18.928, timestamp=1678809600000, transactions=2462, otc=None)
Agg(open=18.97, high=19.005, low=18.77, close=18.91, volume=108623, vwap=18.8913, timestamp=1678813200000, transactions=1463, otc=None)
Agg(open=18.92, high=18.99, low=18.88, close=18.9, volume=92412, vwap=18.9456, timestamp=1678816800000, transactions=1342, otc=None)
Agg(open=18.9, high=19.1, low=18.84, close=19.05, volume=313771, vwap=18.9622, timestamp=1678820400000, transactions=3826, otc=None)
Agg(open=19.07, high=19.07, low=19.07, close=19.07, volume=6230, vwap=19.07, timestamp=1678824000000, transactions=5, otc=None)
Agg(open=19.1, high=19.1, low=19.1, close=19.1, volume=1000, vwap=19.1, timestamp=1678831200000, transactions=1, otc=None)
Agg(open=19.4, high=19.4, low=19.4, close=19.4, volume=300, vwap=19.4, timestamp=1678867200000, transactions=1, otc=None)
Agg(open=19.15, high=19.2, low=19.15, close=19.2, volume=700, vwap=19.1714, timestamp=1678870800000, transactions=2, otc=None)
Agg(open=19.2, high=19.2, low=18.8, close=18.8, volume=3402, vwap=19.0486, timestamp=1678874400000, transactions=9, otc=None)
Agg(open=18.8, high=19.1, low=18.8, close=19.1, volume=4394, vwap=18.9398, timestamp=1678881600000, transactions=26, otc=None)
Agg(open=19, high=19.01, low=18.41, close=18.52, volume=185526, vwap=18.579, timestamp=1678885200000, transactions=1162, otc=None)
Agg(open=18.48, high=18.55, low=18.34, close=18.4871, volume=244092, vwap=18.4257, timestamp=1678888800000, transactions=2878, otc=None)
Agg(open=18.48, high=18.55, low=18.405, close=18.43, volume=115971, vwap=18.5087, timestamp=1678892400000, transactions=1321, otc=None)
Agg(open=18.42, high=18.47, low=18.36, close=18.39, volume=120435, vwap=18.4096, timestamp=1678896000000, transactions=1099, otc=None)
Agg(open=18.38, high=18.54, low=18.3315, close=18.45, volume=137800, vwap=18.4529, timestamp=1678899600000, transactions=1645, otc=None)
Agg(open=18.44, high=18.56, low=18.44, close=18.55, volume=324367, vwap=18.5305, timestamp=1678903200000, transactions=1573, otc=None)
Agg(open=18.545, high=18.6, low=18.51, close=18.59, volume=341698, vwap=18.5528, timestamp=1678906800000, transactions=3209, otc=None)
Agg(open=18.58, high=18.58, low=18.58, close=18.58, volume=6059, vwap=18.58, timestamp=1678910400000, transactions=10, otc=None)
Agg(open=18.61, high=18.61, low=18.61, close=18.61, volume=100, vwap=18.61, timestamp=1678917600000, transactions=1, otc=None)
Agg(open=18.8, high=18.8, low=18.8, close=18.8, volume=300, vwap=18.8, timestamp=1678953600000, transactions=1, otc=None)
Agg(open=18.06, high=18.24, low=18.06, close=18.24, volume=306, vwap=18.1854, timestamp=1678960800000, transactions=5, otc=None)
Agg(open=18.4015, high=18.4015, low=18.4015, close=18.4015, volume=149, vwap=18.3883, timestamp=1678968000000, transactions=3, otc=None)
Agg(open=18.5, high=18.82, low=18.31, close=18.49, volume=234925, vwap=18.5497, timestamp=1678971600000, transactions=1609, otc=None)
Agg(open=18.481, high=18.51, low=18.2, close=18.27, volume=133875, vwap=18.3378, timestamp=1678975200000, transactions=1734, otc=None)
Agg(open=18.27, high=18.53, low=18.24, close=18.46, volume=108441, vwap=18.3818, timestamp=1678978800000, transactions=1282, otc=None)
Agg(open=18.475, high=18.57, low=18.4101, close=18.56, volume=124884, vwap=18.4873, timestamp=1678982400000, transactions=1380, otc=None)
Agg(open=18.56, high=18.6, low=18.45, close=18.5, volume=236400, vwap=18.5323, timestamp=1678986000000, transactions=1776, otc=None)
Agg(open=18.49, high=18.57, low=18.47, close=18.54, volume=98868, vwap=18.5184, timestamp=1678989600000, transactions=1074, otc=None)
Agg(open=18.54, high=18.71, low=18.51, close=18.67, volume=412415, vwap=18.6385, timestamp=1678993200000, transactions=3067, otc=None)
Agg(open=18.68, high=18.68, low=18.68, close=18.68, volume=100, vwap=18.68, timestamp=1679004000000, transactions=1, otc=None)
Agg(open=18.88, high=18.88, low=18.88, close=18.88, volume=1000, vwap=18.88, timestamp=1679054400000, transactions=1, otc=None)
Agg(open=18.7, high=18.78, low=18.03, close=18.075, volume=121210, vwap=18.2904, timestamp=1679058000000, transactions=1353, otc=None)
Agg(open=18.07, high=18.1, low=17.3422, close=17.49, volume=344057, vwap=17.6763, timestamp=1679061600000, transactions=3942, otc=None)
Agg(open=17.4801, high=17.81, low=17.39, close=17.55, volume=275753, vwap=17.5852, timestamp=1679065200000, transactions=3088, otc=None)
Agg(open=17.56, high=17.56, low=17.18, close=17.402, volume=186314, vwap=17.3881, timestamp=1679068800000, transactions=2211, otc=None)
Agg(open=17.4, high=17.51, low=17.27, close=17.455, volume=229827, vwap=17.4168, timestamp=1679072400000, transactions=2858, otc=None)
Agg(open=17.45, high=17.515, low=17.39, close=17.515, volume=286689, vwap=17.4428, timestamp=1679076000000, transactions=3154, otc=None)
Agg(open=17.52, high=17.61, low=17.44, close=17.51, volume=500167, vwap=17.5205, timestamp=1679079600000, transactions=5399, otc=None)
Agg(open=17.5, high=17.5, low=17.3, close=17.3, volume=23973, vwap=17.4973, timestamp=1679083200000, transactions=7, otc=None)
Agg(open=17.32, high=17.32, low=17.32, close=17.32, volume=300, vwap=17.32, timestamp=1679086800000, transactions=3, otc=None)
