Agg(open=26, high=26, low=26, close=26, volume=300, vwap=26, timestamp=1696248000000, transactions=2, otc=None)
Agg(open=26.56, high=26.56, low=25.81, close=25.93, volume=53690, vwap=26.0172, timestamp=1696251600000, transactions=397, otc=None)
Agg(open=25.89, high=26.055, low=25.81, close=25.85, volume=180004, vwap=25.9111, timestamp=1696255200000, transactions=1635, otc=None)
Agg(open=25.87, high=26.055, low=25.79, close=25.99, volume=200175, vwap=25.9707, timestamp=1696258800000, transactions=1836, otc=None)
Agg(open=25.973, high=26, low=25.62, close=25.63, volume=68060, vwap=25.8302, timestamp=1696262400000, transactions=1039, otc=None)
Agg(open=25.63, high=25.68, low=25.5, close=25.51, volume=87875, vwap=25.5948, timestamp=1696266000000, transactions=1222, otc=None)
Agg(open=25.5001, high=25.52, low=25.43, close=25.48, volume=80292, vwap=25.4779, timestamp=1696269600000, transactions=1258, otc=None)
Agg(open=25.48, high=25.75, low=25.455, close=25.68, volume=311332, vwap=25.6143, timestamp=1696273200000, transactions=4349, otc=None)
Agg(open=25.7, high=25.7, low=25.6, close=25.6, volume=792, vwap=25.6697, timestamp=1696276800000, transactions=2, otc=None)
Agg(open=25.41, high=25.41, low=25.4, close=25.4, volume=398, vwap=25.4381, timestamp=1696320000000, transactions=9, otc=None)
Agg(open=25.36, high=25.36, low=25.36, close=25.36, volume=1317, vwap=25.3596, timestamp=1696330800000, transactions=5, otc=None)
Agg(open=25.29, high=25.29, low=25.25, close=25.25, volume=440, vwap=25.2693, timestamp=1696334400000, transactions=6, otc=None)
Agg(open=25.1, high=25.45, low=25, close=25.1835, volume=64593, vwap=25.1836, timestamp=1696338000000, transactions=644, otc=None)
Agg(open=25.17, high=25.18, low=24.86, close=24.9, volume=74961, vwap=24.9801, timestamp=1696341600000, transactions=1565, otc=None)
Agg(open=24.9, high=24.98, low=24.81, close=24.83, volume=48791, vwap=24.8935, timestamp=1696345200000, transactions=1088, otc=None)
Agg(open=24.85, high=25.0785, low=24.85, close=24.98, volume=40701, vwap=24.993, timestamp=1696348800000, transactions=766, otc=None)
Agg(open=24.97, high=25.02, low=24.79, close=24.7901, volume=64444, vwap=24.8634, timestamp=1696352400000, transactions=1149, otc=None)
Agg(open=24.7901, high=25.41, low=24.745, close=25.33, volume=340686, vwap=25.136, timestamp=1696356000000, transactions=3506, otc=None)
Agg(open=25.34, high=25.35, low=25.16, close=25.17, volume=274874, vwap=25.2438, timestamp=1696359600000, transactions=3440, otc=None)
Agg(open=25.17, high=25.17, low=25.17, close=25.17, volume=15714, vwap=25.17, timestamp=1696363200000, transactions=8, otc=None)
Agg(open=25.5197, high=25.52, low=25.5197, close=25.52, volume=280, vwap=25.5198, timestamp=1696366800000, transactions=2, otc=None)
Agg(open=25.2, high=25.2, low=25.2, close=25.2, volume=200, vwap=25.2001, timestamp=1696370400000, transactions=3, otc=None)
Agg(open=25.36, high=25.4, low=25.33, close=25.4, volume=1500, vwap=25.375, timestamp=1696406400000, transactions=11, otc=None)
Agg(open=25.31, high=25.31, low=24.84, close=24.91, volume=51835, vwap=24.9759, timestamp=1696424400000, transactions=840, otc=None)
Agg(open=24.9, high=24.9, low=24.21, close=24.255, volume=261724, vwap=24.4688, timestamp=1696428000000, transactions=3414, otc=None)
Agg(open=24.2425, high=24.62, low=24.22, close=24.62, volume=176026, vwap=24.4345, timestamp=1696431600000, transactions=2222, otc=None)
Agg(open=24.63, high=24.78, low=24.62, close=24.7, volume=138491, vwap=24.7052, timestamp=1696435200000, transactions=1925, otc=None)
Agg(open=24.69, high=24.7, low=24.45, close=24.46, volume=97520, vwap=24.5894, timestamp=1696438800000, transactions=1322, otc=None)
Agg(open=24.45, high=24.58, low=24.42, close=24.5, volume=109741, vwap=24.5108, timestamp=1696442400000, transactions=1464, otc=None)
