Agg(open=20.7, high=21.4205, low=20.6, close=21.36, volume=224746, vwap=21.0916, timestamp=1681131600000, transactions=1915, otc=None)
Agg(open=21.35, high=21.625, low=21.33, close=21.53, volume=281350, vwap=21.5393, timestamp=1681135200000, transactions=3551, otc=None)
Agg(open=21.53, high=21.6199, low=21.4124, close=21.415, volume=213349, vwap=21.5643, timestamp=1681138800000, transactions=2986, otc=None)
Agg(open=21.41, high=21.49, low=21.37, close=21.485, volume=118636, vwap=21.4358, timestamp=1681142400000, transactions=1598, otc=None)
Agg(open=21.49, high=21.595, low=21.48, close=21.53, volume=307496, vwap=21.5323, timestamp=1681146000000, transactions=2865, otc=None)
Agg(open=21.535, high=21.73, low=21.535, close=21.605, volume=307113, vwap=21.6479, timestamp=1681149600000, transactions=3101, otc=None)
Agg(open=21.605, high=21.71, low=21.58, close=21.71, volume=761110, vwap=21.6477, timestamp=1681153200000, transactions=7027, otc=None)
Agg(open=21.71, high=21.71, low=21.69, close=21.71, volume=66503, vwap=21.7098, timestamp=1681156800000, transactions=19, otc=None)
Agg(open=21.85, high=21.85, low=21.85, close=21.85, volume=250, vwap=21.85, timestamp=1681160400000, transactions=1, otc=None)
Agg(open=21.81, high=22.08, low=21.81, close=21.87, volume=14117, vwap=21.9505, timestamp=1681164000000, transactions=91, otc=None)
Agg(open=21.89, high=21.89, low=21.8, close=21.84, volume=4710, vwap=21.8427, timestamp=1681167600000, transactions=17, otc=None)
Agg(open=21.88, high=21.9, low=21.8, close=21.8, volume=1823, vwap=21.875, timestamp=1681210800000, transactions=10, otc=None)
Agg(open=21.82, high=21.88, low=21.82, close=21.83, volume=2532, vwap=21.8481, timestamp=1681214400000, transactions=24, otc=None)
Agg(open=21.84, high=22.18, low=21.8, close=22.0406, volume=228830, vwap=21.9741, timestamp=1681218000000, transactions=1708, otc=None)
Agg(open=22.05, high=22.305, low=22.04, close=22.245, volume=201196, vwap=22.2125, timestamp=1681221600000, transactions=2765, otc=None)
Agg(open=22.25, high=22.47, low=22.21, close=22.445, volume=191351, vwap=22.3441, timestamp=1681225200000, transactions=2192, otc=None)
Agg(open=22.455, high=22.64, low=22.455, close=22.49, volume=250152, vwap=22.5603, timestamp=1681228800000, transactions=2512, otc=None)
Agg(open=22.5, high=22.575, low=22.48, close=22.56, volume=206593, vwap=22.5283, timestamp=1681232400000, transactions=2372, otc=None)
Agg(open=22.565, high=22.715, low=22.55, close=22.635, volume=194668, vwap=22.6351, timestamp=1681236000000, transactions=2581, otc=None)
Agg(open=22.635, high=22.645, low=22.46, close=22.52, volume=640288, vwap=22.5359, timestamp=1681239600000, transactions=7423, otc=None)
Agg(open=22.51, high=22.71, low=22, close=22.71, volume=19216, vwap=22.4988, timestamp=1681243200000, transactions=24, otc=None)
Agg(open=22.7079, high=22.7079, low=22.7079, close=22.7079, volume=100, vwap=22.7079, timestamp=1681246800000, transactions=1, otc=None)
Agg(open=22.7092, high=22.7092, low=22.7092, close=22.7092, volume=250, vwap=22.7092, timestamp=1681250400000, transactions=1, otc=None)
Agg(open=22.7, high=22.7, low=22.7, close=22.7, volume=205, vwap=22.7002, timestamp=1681297200000, transactions=2, otc=None)
Agg(open=22.74, high=22.92, low=22.74, close=22.76, volume=6210, vwap=22.7679, timestamp=1681300800000, transactions=9, otc=None)
Agg(open=23.01, high=23.01, low=22.43, close=22.48, volume=80236, vwap=22.6399, timestamp=1681304400000, transactions=977, otc=None)
Agg(open=22.48, high=22.66, low=22.195, close=22.205, volume=196130, vwap=22.423, timestamp=1681308000000, transactions=2307, otc=None)
Agg(open=22.195, high=22.349, low=22.06, close=22.349, volume=107407, vwap=22.1899, timestamp=1681311600000, transactions=1552, otc=None)
Agg(open=22.35, high=22.46, low=22.35, close=22.41, volume=68351, vwap=22.4161, timestamp=1681315200000, transactions=937, otc=None)
Agg(open=22.41, high=22.49, low=22.385, close=22.43, volume=61112, vwap=22.4328, timestamp=1681318800000, transactions=1098, otc=None)
Agg(open=22.425, high=22.45, low=22.29, close=22.3101, volume=85473, vwap=22.3581, timestamp=1681322400000, transactions=1370, otc=None)
Agg(open=22.32, high=22.41, low=22.26, close=22.33, volume=261527, vwap=22.3344, timestamp=1681326000000, transactions=3431, otc=None)
Agg(open=22.34, high=22.34, low=22.34, close=22.34, volume=15510, vwap=22.34, timestamp=1681329600000, transactions=18, otc=None)
Agg(open=22.43, high=22.45, low=22.3114, close=22.33, volume=53797, vwap=22.3893, timestamp=1681390800000, transactions=690, otc=None)
Agg(open=22.36, high=22.42, low=22.27, close=22.28, volume=96033, vwap=22.33, timestamp=1681394400000, transactions=1374, otc=None)
Agg(open=22.29, high=22.36, low=22.28, close=22.35, volume=68718, vwap=22.3182, timestamp=1681398000000, transactions=1102, otc=None)
Agg(open=22.36, high=22.5, low=22.355, close=22.49, volume=78593, vwap=22.4236, timestamp=1681401600000, transactions=1060, otc=None)
Agg(open=22.485, high=22.56, low=22.47, close=22.52, volume=84847, vwap=22.5215, timestamp=1681405200000, transactions=1232, otc=None)
Agg(open=22.52, high=22.55, low=22.5, close=22.5, volume=95359, vwap=22.5228, timestamp=1681408800000, transactions=1736, otc=None)
Agg(open=22.5, high=22.5, low=22.36, close=22.39, volume=256806, vwap=22.4046, timestamp=1681412400000, transactions=4087, otc=None)
Agg(open=22.38, high=22.38, low=22.38, close=22.38, volume=26201, vwap=22.38, timestamp=1681416000000, transactions=11, otc=None)
Agg(open=21.89, high=21.89, low=21.89, close=21.89, volume=100, vwap=21.89, timestamp=1681426800000, transactions=1, otc=None)
