Agg(open=23.39, high=23.4, low=23.39, close=23.4, volume=359, vwap=23.3942, timestamp=1691395200000, transactions=5, otc=None)
Agg(open=23.58, high=23.58, low=23.58, close=23.58, volume=200, vwap=23.58, timestamp=1691398800000, transactions=2, otc=None)
Agg(open=23.72, high=23.72, low=23.72, close=23.72, volume=500, vwap=23.7198, timestamp=1691402400000, transactions=4, otc=None)
Agg(open=23.7, high=23.71, low=23.53, close=23.53, volume=2334, vwap=23.6196, timestamp=1691406000000, transactions=35, otc=None)
Agg(open=23.57, high=23.6, low=23.43, close=23.49, volume=5749, vwap=23.5114, timestamp=1691409600000, transactions=54, otc=None)
Agg(open=23.49, high=23.59, low=22.635, close=22.635, volume=623581, vwap=22.9027, timestamp=1691413200000, transactions=5586, otc=None)
Agg(open=22.635, high=22.85, low=22.475, close=22.58, volume=638594, vwap=22.641, timestamp=1691416800000, transactions=6162, otc=None)
Agg(open=22.57, high=22.64, low=22.23, close=22.265, volume=461472, vwap=22.4493, timestamp=1691420400000, transactions=4536, otc=None)
Agg(open=22.265, high=22.5268, low=22.265, close=22.34, volume=397645, vwap=22.3864, timestamp=1691424000000, transactions=3772, otc=None)
Agg(open=22.3575, high=22.54, low=22.33, close=22.54, volume=202677, vwap=22.4275, timestamp=1691427600000, transactions=2511, otc=None)
Agg(open=22.54, high=22.749, low=22.5, close=22.73, volume=387455, vwap=22.6311, timestamp=1691431200000, transactions=3815, otc=None)
Agg(open=22.72, high=22.78, low=22.555, close=22.73, volume=819807, vwap=22.6886, timestamp=1691434800000, transactions=7432, otc=None)
Agg(open=22.73, high=22.85, low=22.62, close=22.73, volume=23467, vwap=22.7303, timestamp=1691438400000, transactions=32, otc=None)
Agg(open=22.75, high=22.8868, low=22.7, close=22.77, volume=11858, vwap=22.7811, timestamp=1691442000000, transactions=82, otc=None)
Agg(open=22.8152, high=22.85, low=22.8, close=22.8, volume=5837, vwap=22.8124, timestamp=1691445600000, transactions=17, otc=None)
Agg(open=22.8, high=22.82, low=22.76, close=22.82, volume=3094, vwap=22.7805, timestamp=1691449200000, transactions=13, otc=None)
Agg(open=22.61, high=22.61, low=22.46, close=22.47, volume=1757, vwap=22.478, timestamp=1691488800000, transactions=10, otc=None)
Agg(open=22.57, high=22.59, low=22.35, close=22.41, volume=2255, vwap=22.4975, timestamp=1691492400000, transactions=31, otc=None)
Agg(open=22.32, high=22.7, low=22.15, close=22.37, volume=6095, vwap=22.3718, timestamp=1691496000000, transactions=74, otc=None)
Agg(open=22.37, high=22.5753, low=21.9, close=22.21, volume=347713, vwap=22.0979, timestamp=1691499600000, transactions=3151, otc=None)
Agg(open=22.2, high=22.35, low=22.05, close=22.255, volume=332118, vwap=22.2228, timestamp=1691503200000, transactions=4474, otc=None)
Agg(open=22.26, high=22.38, low=22.225, close=22.28, volume=334795, vwap=22.3044, timestamp=1691506800000, transactions=3347, otc=None)
Agg(open=22.2897, high=22.36, low=22.26, close=22.36, volume=206191, vwap=22.3237, timestamp=1691510400000, transactions=2695, otc=None)
Agg(open=22.35, high=22.57, low=22.34, close=22.5695, volume=202979, vwap=22.4355, timestamp=1691514000000, transactions=2825, otc=None)
Agg(open=22.565, high=22.72, low=22.54, close=22.68, volume=248481, vwap=22.6408, timestamp=1691517600000, transactions=3401, otc=None)
Agg(open=22.685, high=22.79, low=22.66, close=22.715, volume=706209, vwap=22.7163, timestamp=1691521200000, transactions=7982, otc=None)
Agg(open=22.72, high=22.83, low=22.69, close=22.7, volume=11954, vwap=22.7362, timestamp=1691524800000, transactions=43, otc=None)
Agg(open=22.76, high=22.8899, low=22.75, close=22.79, volume=1395, vwap=22.7852, timestamp=1691528400000, transactions=12, otc=None)
Agg(open=22.8, high=22.8, low=22.8, close=22.8, volume=1300, vwap=22.8, timestamp=1691532000000, transactions=1, otc=None)
Agg(open=22.8, high=22.8, low=22.8, close=22.8, volume=100, vwap=22.8, timestamp=1691535600000, transactions=1, otc=None)
Agg(open=22.85, high=22.85, low=22.85, close=22.85, volume=100, vwap=22.85, timestamp=1691578800000, transactions=1, otc=None)
