Agg(open=10, high=10, low=10, close=10, volume=1408, vwap=9.9998, timestamp=1691395200000, transactions=9, otc=None)
Agg(open=9.95, high=9.95, low=9.93, close=9.93, volume=502, vwap=9.9387, timestamp=1691402400000, transactions=10, otc=None)
Agg(open=9.96, high=9.96, low=9.95, close=9.96, volume=5873, vwap=9.9505, timestamp=1691406000000, transactions=16, otc=None)
Agg(open=9.95, high=9.97, low=9.95, close=9.96, volume=5616, vwap=9.964, timestamp=1691409600000, transactions=51, otc=None)
Agg(open=9.97, high=10.03, low=9.9, close=9.93, volume=772574, vwap=9.957, timestamp=1691413200000, transactions=4284, otc=None)
Agg(open=9.93, high=10, low=9.9, close=9.975, volume=1010655.0, vwap=9.9653, timestamp=1691416800000, transactions=5875, otc=None)
Agg(open=9.97, high=10.03, low=9.97, close=10.015, volume=644889, vwap=10.0067, timestamp=1691420400000, transactions=4395, otc=None)
Agg(open=10.02, high=10.08, low=10, close=10.05, volume=817630, vwap=10.0372, timestamp=1691424000000, transactions=4486, otc=None)
Agg(open=10.05, high=10.09, low=10.04, close=10.078, volume=626551, vwap=10.0645, timestamp=1691427600000, transactions=3479, otc=None)
Agg(open=10.075, high=10.12, low=10.05, close=10.065, volume=1114918.0, vwap=10.0804, timestamp=1691431200000, transactions=5486, otc=None)
Agg(open=10.065, high=10.1, low=10.05, close=10.1, volume=2946866.0, vwap=10.0877, timestamp=1691434800000, transactions=11887, otc=None)
Agg(open=10.1, high=10.1092, low=10.0236, close=10.09, volume=97383, vwap=10.0981, timestamp=1691438400000, transactions=34, otc=None)
Agg(open=10.04, high=10.09, low=9.97, close=10, volume=6457, vwap=10.0155, timestamp=1691442000000, transactions=23, otc=None)
Agg(open=9.95, high=10.05, low=9.95, close=9.9576, volume=30355, vwap=9.9998, timestamp=1691445600000, transactions=8, otc=None)
Agg(open=9.95, high=10, low=9.95, close=9.97, volume=1407, vwap=9.9935, timestamp=1691449200000, transactions=4, otc=None)
Agg(open=10.01, high=10.01, low=10.01, close=10.01, volume=101, vwap=10.01, timestamp=1691481600000, transactions=1, otc=None)
Agg(open=9.95, high=9.95, low=9.95, close=9.95, volume=200, vwap=9.9302, timestamp=1691488800000, transactions=3, otc=None)
Agg(open=10.01, high=10.01, low=9.85, close=9.89, volume=23220, vwap=9.8969, timestamp=1691492400000, transactions=67, otc=None)
Agg(open=10.01, high=10.01, low=9.06, close=9.42, volume=364808, vwap=9.3703, timestamp=1691496000000, transactions=1567, otc=None)
Agg(open=9.3, high=9.54, low=8.71, close=8.945, volume=4995759.0, vwap=9.0438, timestamp=1691499600000, transactions=20267, otc=None)
Agg(open=8.945, high=9.05, low=8.79, close=8.835, volume=5777839.0, vwap=8.8751, timestamp=1691503200000, transactions=20625, otc=None)
Agg(open=8.835, high=9.05, low=8.8, close=8.8272, volume=3626148.0, vwap=8.9162, timestamp=1691506800000, transactions=13579, otc=None)
Agg(open=8.8216, high=8.83, low=8.52, close=8.58, volume=7306205.0, vwap=8.6418, timestamp=1691510400000, transactions=21494, otc=None)
Agg(open=8.5887, high=8.75, low=8.55, close=8.7, volume=4150420.0, vwap=8.6393, timestamp=1691514000000, transactions=15208, otc=None)
Agg(open=8.705, high=8.73, low=8.58, close=8.665, volume=3498349.0, vwap=8.6683, timestamp=1691517600000, transactions=13436, otc=None)
Agg(open=8.66, high=8.82, low=8.65, close=8.6793, volume=6436093.0, vwap=8.7082, timestamp=1691521200000, transactions=23152, otc=None)
Agg(open=8.68, high=8.75, low=8.65, close=8.73, volume=34517, vwap=8.7091, timestamp=1691524800000, transactions=178, otc=None)
Agg(open=8.72, high=8.74, low=8.69, close=8.69, volume=23830, vwap=8.719, timestamp=1691528400000, transactions=102, otc=None)
Agg(open=8.68, high=8.68, low=8.65, close=8.68, volume=7064, vwap=8.6698, timestamp=1691532000000, transactions=69, otc=None)
Agg(open=8.7008, high=8.79, low=8.7, close=8.77, volume=10318, vwap=8.7586, timestamp=1691535600000, transactions=40, otc=None)
Agg(open=8.79, high=8.85, low=8.76, close=8.85, volume=8026, vwap=8.7943, timestamp=1691568000000, transactions=32, otc=None)
Agg(open=8.89, high=8.89, low=8.84, close=8.85, volume=2493, vwap=8.8664, timestamp=1691571600000, transactions=19, otc=None)
Agg(open=8.85, high=8.88, low=8.81, close=8.81, volume=5765, vwap=8.8428, timestamp=1691575200000, transactions=39, otc=None)
Agg(open=8.805, high=8.82, low=8.805, close=8.81, volume=17992, vwap=8.8094, timestamp=1691578800000, transactions=65, otc=None)
Agg(open=8.8, high=8.9, low=8.6601, close=8.74, volume=69137, vwap=8.7375, timestamp=1691582400000, transactions=450, otc=None)
Agg(open=8.74, high=8.94, low=8.59, close=8.885, volume=2538072.0, vwap=8.7877, timestamp=1691586000000, transactions=9189, otc=None)
Agg(open=8.885, high=8.92, low=8.7706, close=8.835, volume=2491520.0, vwap=8.8411, timestamp=1691589600000, transactions=9886, otc=None)
Agg(open=8.84, high=8.85, low=8.63, close=8.6301, volume=2000641.0, vwap=8.7374, timestamp=1691593200000, transactions=8084, otc=None)
Agg(open=8.635, high=8.69, low=8.6, close=8.635, volume=1557138.0, vwap=8.6325, timestamp=1691596800000, transactions=6503, otc=None)
Agg(open=8.6301, high=8.69, low=8.6, close=8.64, volume=1783433.0, vwap=8.6323, timestamp=1691600400000, transactions=7160, otc=None)
Agg(open=8.645, high=8.7, low=8.62, close=8.62, volume=1118501.0, vwap=8.6653, timestamp=1691604000000, transactions=5981, otc=None)
Agg(open=8.62, high=8.64, low=8.49, close=8.5, volume=4997623.0, vwap=8.5531, timestamp=1691607600000, transactions=15885, otc=None)
Agg(open=8.5, high=8.59, low=8.5, close=8.56, volume=30774, vwap=8.5233, timestamp=1691611200000, transactions=150, otc=None)
Agg(open=8.53, high=8.647, low=8.5, close=8.59, volume=11697, vwap=8.5727, timestamp=1691614800000, transactions=70, otc=None)
Agg(open=8.53, high=8.59, low=8.53, close=8.59, volume=1303, vwap=8.5397, timestamp=1691618400000, transactions=7, otc=None)
Agg(open=8.54, high=8.63, low=8.54, close=8.63, volume=3097, vwap=8.5883, timestamp=1691622000000, transactions=16, otc=None)
Agg(open=8.5, high=8.65, low=8.5, close=8.63, volume=3230, vwap=8.6238, timestamp=1691654400000, transactions=30, otc=None)
Agg(open=8.64, high=8.66, low=8.63, close=8.64, volume=2387, vwap=8.6382, timestamp=1691658000000, transactions=15, otc=None)
Agg(open=8.67, high=8.67, low=8.61, close=8.61, volume=1372, vwap=8.6289, timestamp=1691661600000, transactions=18, otc=None)
Agg(open=8.65, high=8.65, low=8.58, close=8.58, volume=6874, vwap=8.5951, timestamp=1691665200000, transactions=64, otc=None)
Agg(open=8.6093, high=8.65, low=8.55, close=8.59, volume=47001, vwap=8.5697, timestamp=1691668800000, transactions=218, otc=None)
Agg(open=8.59, high=8.59, low=8.46, close=8.5582, volume=1429620.0, vwap=8.5162, timestamp=1691672400000, transactions=6007, otc=None)
Agg(open=8.555, high=8.605, low=8.37, close=8.44, volume=3236549.0, vwap=8.4724, timestamp=1691676000000, transactions=13091, otc=None)
Agg(open=8.44, high=8.46, low=8.3401, close=8.36, volume=1718229.0, vwap=8.4059, timestamp=1691679600000, transactions=8587, otc=None)
Agg(open=8.36, high=8.36, low=8.18, close=8.2379, volume=3125722.0, vwap=8.2563, timestamp=1691683200000, transactions=12071, otc=None)
