Agg(open=6.3, high=6.3, low=6.3, close=6.3, volume=123, vwap=6.2971, timestamp=1693900800000, transactions=3, otc=None)
Agg(open=6.29, high=6.29, low=6.29, close=6.29, volume=360, vwap=6.29, timestamp=1693911600000, transactions=4, otc=None)
Agg(open=6.2997, high=6.3, low=6.2997, close=6.3, volume=412, vwap=6.2986, timestamp=1693915200000, transactions=4, otc=None)
Agg(open=6.2, high=6.28, low=6.01, close=6.228, volume=769139, vwap=6.2243, timestamp=1693918800000, transactions=2817, otc=None)
Agg(open=6.23, high=6.28, low=6.23, close=6.27, volume=390142, vwap=6.2586, timestamp=1693922400000, transactions=2664, otc=None)
Agg(open=6.27, high=6.29, low=6.25, close=6.25, volume=320003, vwap=6.2676, timestamp=1693926000000, transactions=2255, otc=None)
Agg(open=6.255, high=6.32, low=6.25, close=6.315, volume=259253, vwap=6.3016, timestamp=1693929600000, transactions=1865, otc=None)
Agg(open=6.315, high=6.39, low=6.3, close=6.35, volume=291751, vwap=6.3486, timestamp=1693933200000, transactions=2512, otc=None)
Agg(open=6.35, high=6.37, low=6.32, close=6.32, volume=295360, vwap=6.3485, timestamp=1693936800000, transactions=3189, otc=None)
Agg(open=6.325, high=6.355, low=6.31, close=6.3425, volume=695041, vwap=6.3385, timestamp=1693940400000, transactions=5127, otc=None)
Agg(open=6.34, high=6.38, low=6.34, close=6.38, volume=34162, vwap=6.3401, timestamp=1693944000000, transactions=16, otc=None)
Agg(open=6.35, high=6.35, low=6.35, close=6.35, volume=500, vwap=6.35, timestamp=1693947600000, transactions=2, otc=None)
Agg(open=6.34, high=6.34, low=6.34, close=6.34, volume=350, vwap=6.34, timestamp=1693951200000, transactions=1, otc=None)
Agg(open=6.32, high=6.45, low=6.275, close=6.42, volume=358840, vwap=6.3655, timestamp=1694005200000, transactions=2164, otc=None)
Agg(open=6.4225, high=6.4225, low=6.31, close=6.38, volume=507099, vwap=6.3529, timestamp=1694008800000, transactions=4047, otc=None)
Agg(open=6.38, high=6.51, low=6.375, close=6.495, volume=723026, vwap=6.4537, timestamp=1694012400000, transactions=3322, otc=None)
Agg(open=6.495, high=6.54, low=6.49, close=6.54, volume=996879, vwap=6.5171, timestamp=1694016000000, transactions=3694, otc=None)
Agg(open=6.54, high=6.57, low=6.5, close=6.52, volume=695138, vwap=6.5412, timestamp=1694019600000, transactions=3389, otc=None)
Agg(open=6.51, high=6.52, low=6.46, close=6.46, volume=681484, vwap=6.4939, timestamp=1694023200000, transactions=3969, otc=None)
Agg(open=6.465, high=6.5, low=6.43, close=6.44, volume=1491251.0, vwap=6.4586, timestamp=1694026800000, transactions=7952, otc=None)
Agg(open=6.44, high=6.51, low=6.44, close=6.5, volume=37781, vwap=6.4411, timestamp=1694030400000, transactions=21, otc=None)
Agg(open=6.5, high=6.5, low=6.5, close=6.5, volume=500, vwap=6.5, timestamp=1694034000000, transactions=3, otc=None)
Agg(open=6.45, high=6.45, low=6.45, close=6.45, volume=100, vwap=6.45, timestamp=1694084400000, transactions=1, otc=None)
Agg(open=6.43, high=6.43, low=6.43, close=6.43, volume=106, vwap=6.4311, timestamp=1694088000000, transactions=2, otc=None)
Agg(open=6.325, high=6.37, low=6.2601, close=6.3311, volume=297815, vwap=6.3306, timestamp=1694091600000, transactions=1777, otc=None)
Agg(open=6.335, high=6.365, low=6.31, close=6.355, volume=313653, vwap=6.3454, timestamp=1694095200000, transactions=2651, otc=None)
Agg(open=6.35, high=6.365, low=6.315, close=6.33, volume=239957, vwap=6.3468, timestamp=1694098800000, transactions=2561, otc=None)
Agg(open=6.32, high=6.38, low=6.285, close=6.335, volume=528403, vwap=6.3407, timestamp=1694102400000, transactions=3575, otc=None)
Agg(open=6.335, high=6.42, low=6.33, close=6.42, volume=316558, vwap=6.3703, timestamp=1694106000000, transactions=2511, otc=None)
Agg(open=6.415, high=6.48, low=6.4, close=6.47, volume=454116, vwap=6.4418, timestamp=1694109600000, transactions=3180, otc=None)
Agg(open=6.465, high=6.495, low=6.43, close=6.44, volume=1114905.0, vwap=6.4593, timestamp=1694113200000, transactions=7448, otc=None)
Agg(open=6.44, high=6.44, low=6.44, close=6.44, volume=26903, vwap=6.44, timestamp=1694116800000, transactions=12, otc=None)
Agg(open=6.45, high=6.5, low=6.45, close=6.5, volume=500, vwap=6.466, timestamp=1694120400000, transactions=3, otc=None)
