Agg(open=16.57, high=16.72, low=16.545, close=16.705, volume=160076, vwap=16.6701, timestamp=1698670800000, transactions=2139, otc=None)
Agg(open=16.705, high=16.74, low=16.6, close=16.675, volume=516647, vwap=16.6568, timestamp=1698674400000, transactions=3772, otc=None)
Agg(open=16.675, high=16.72, low=16.66, close=16.715, volume=187139, vwap=16.697, timestamp=1698678000000, transactions=2094, otc=None)
Agg(open=16.71, high=16.74, low=16.66, close=16.665, volume=350364, vwap=16.7185, timestamp=1698681600000, transactions=2597, otc=None)
Agg(open=16.67, high=16.74, low=16.65, close=16.7299, volume=156162, vwap=16.699, timestamp=1698685200000, transactions=1505, otc=None)
Agg(open=16.725, high=16.735, low=16.65, close=16.655, volume=180191, vwap=16.7029, timestamp=1698688800000, transactions=1702, otc=None)
Agg(open=16.655, high=16.7, low=16.64, close=16.685, volume=668099, vwap=16.6716, timestamp=1698692400000, transactions=4992, otc=None)
Agg(open=16.69, high=16.69, low=16.69, close=16.69, volume=104920, vwap=16.69, timestamp=1698696000000, transactions=45, otc=None)
Agg(open=16.68, high=16.79, low=16.68, close=16.785, volume=111837, vwap=16.7479, timestamp=1698757200000, transactions=1144, otc=None)
Agg(open=16.79, high=16.815, low=16.74, close=16.81, volume=223872, vwap=16.7826, timestamp=1698760800000, transactions=2343, otc=None)
Agg(open=16.8125, high=16.94, low=16.81, close=16.905, volume=181352, vwap=16.8825, timestamp=1698764400000, transactions=2037, otc=None)
Agg(open=16.91, high=16.92, low=16.82, close=16.875, volume=133870, vwap=16.8676, timestamp=1698768000000, transactions=1886, otc=None)
Agg(open=16.875, high=16.97, low=16.8725, close=16.935, volume=219582, vwap=16.9327, timestamp=1698771600000, transactions=2243, otc=None)
Agg(open=16.93, high=16.97, low=16.87, close=16.925, volume=510914, vwap=16.9198, timestamp=1698775200000, transactions=2719, otc=None)
Agg(open=16.925, high=16.93, low=16.82, close=16.83, volume=742855, vwap=16.8864, timestamp=1698778800000, transactions=5653, otc=None)
Agg(open=16.84, high=16.84, low=16.84, close=16.84, volume=437668, vwap=16.84, timestamp=1698782400000, transactions=44, otc=None)
Agg(open=16.91, high=16.97, low=16.465, close=16.795, volume=365843, vwap=16.6568, timestamp=1698843600000, transactions=2992, otc=None)
Agg(open=16.8, high=16.88, low=16.725, close=16.85, volume=417781, vwap=16.8099, timestamp=1698847200000, transactions=3412, otc=None)
Agg(open=16.855, high=16.895, low=16.765, close=16.805, volume=233256, vwap=16.8308, timestamp=1698850800000, transactions=2317, otc=None)
Agg(open=16.8, high=16.8, low=16.605, close=16.635, volume=213028, vwap=16.6852, timestamp=1698854400000, transactions=2647, otc=None)
Agg(open=16.64, high=16.65, low=16.56, close=16.62, volume=122229, vwap=16.6095, timestamp=1698858000000, transactions=1797, otc=None)
Agg(open=16.62, high=16.795, low=16.595, close=16.79, volume=367583, vwap=16.6541, timestamp=1698861600000, transactions=4240, otc=None)
Agg(open=16.79, high=16.91, low=16.775, close=16.91, volume=707268, vwap=16.8531, timestamp=1698865200000, transactions=6264, otc=None)
Agg(open=16.92, high=16.92, low=16.92, close=16.92, volume=37214, vwap=16.92, timestamp=1698868800000, transactions=35, otc=None)
Agg(open=17.09, high=17.195, low=17.025, close=17.19, volume=166223, vwap=17.1136, timestamp=1698930000000, transactions=1677, otc=None)
Agg(open=17.195, high=17.2, low=17.02, close=17.075, volume=223834, vwap=17.1093, timestamp=1698933600000, transactions=2706, otc=None)
Agg(open=17.075, high=17.105, low=16.98, close=17.06, volume=181468, vwap=17.0461, timestamp=1698937200000, transactions=2132, otc=None)
Agg(open=17.06, high=17.06, low=16.95, close=16.975, volume=220615, vwap=16.9909, timestamp=1698940800000, transactions=1991, otc=None)
Agg(open=16.97, high=17.09, low=16.96, close=17.08, volume=141416, vwap=17.0042, timestamp=1698944400000, transactions=1761, otc=None)
Agg(open=17.08, high=17.115, low=17.065, close=17.085, volume=138489, vwap=17.0859, timestamp=1698948000000, transactions=1719, otc=None)
Agg(open=17.085, high=17.2, low=17.075, close=17.19, volume=379866, vwap=17.1522, timestamp=1698951600000, transactions=4039, otc=None)
Agg(open=17.2, high=17.2, low=17.2, close=17.2, volume=70429, vwap=17.2, timestamp=1698955200000, transactions=30, otc=None)
Agg(open=17.46, high=17.55, low=17.425, close=17.525, volume=151126, vwap=17.4902, timestamp=1699016400000, transactions=1432, otc=None)
Agg(open=17.53, high=17.575, low=17.4, close=17.46, volume=163956, vwap=17.4889, timestamp=1699020000000, transactions=2290, otc=None)
Agg(open=17.47, high=17.58, low=17.43, close=17.58, volume=112371, vwap=17.5056, timestamp=1699023600000, transactions=1470, otc=None)
Agg(open=17.575, high=17.615, low=17.555, close=17.615, volume=82901, vwap=17.5794, timestamp=1699027200000, transactions=1426, otc=None)
Agg(open=17.6175, high=17.66, low=17.595, close=17.66, volume=91907, vwap=17.6294, timestamp=1699030800000, transactions=1474, otc=None)
Agg(open=17.66, high=17.81, low=17.66, close=17.79, volume=145281, vwap=17.7214, timestamp=1699034400000, transactions=2033, otc=None)
Agg(open=17.78, high=17.78, low=17.73, close=17.74, volume=456158, vwap=17.7488, timestamp=1699038000000, transactions=4596, otc=None)
Agg(open=17.74, high=17.74, low=17.74, close=17.74, volume=55247, vwap=17.74, timestamp=1699041600000, transactions=31, otc=None)
