Agg(open=21.85, high=21.85, low=21.85, close=21.85, volume=1180, vwap=21.85, timestamp=1688983200000, transactions=2, otc=None)
Agg(open=21.79, high=21.95, low=21.75, close=21.95, volume=9828, vwap=21.9128, timestamp=1688986800000, transactions=47, otc=None)
Agg(open=21.82, high=22.04, low=21.82, close=21.95, volume=24830, vwap=21.9778, timestamp=1688990400000, transactions=150, otc=None)
Agg(open=21.9969, high=22.4099, low=21.87, close=22.17, volume=2827074.0, vwap=22.2038, timestamp=1688994000000, transactions=15391, otc=None)
Agg(open=22.175, high=22.405, low=22.04, close=22.24, volume=2689991.0, vwap=22.2436, timestamp=1688997600000, transactions=16726, otc=None)
Agg(open=22.25, high=22.49, low=22.225, close=22.37, volume=1746093.0, vwap=22.3828, timestamp=1689001200000, transactions=11921, otc=None)
Agg(open=22.3799, high=22.4, low=22.14, close=22.14, volume=1381269.0, vwap=22.2763, timestamp=1689004800000, transactions=9827, otc=None)
Agg(open=22.14, high=22.36, low=22.1, close=22.345, volume=1462978.0, vwap=22.2491, timestamp=1689008400000, transactions=8802, otc=None)
Agg(open=22.345, high=22.407, low=22.32, close=22.35, volume=1077643.0, vwap=22.3638, timestamp=1689012000000, transactions=8321, otc=None)
Agg(open=22.345, high=22.53, low=22.31, close=22.53, volume=3220243.0, vwap=22.446, timestamp=1689015600000, transactions=17514, otc=None)
Agg(open=22.52, high=22.56, low=22.5, close=22.53, volume=589087, vwap=22.5308, timestamp=1689019200000, transactions=178, otc=None)
Agg(open=22.53, high=22.54, low=22.53, close=22.54, volume=1784, vwap=22.5315, timestamp=1689022800000, transactions=10, otc=None)
Agg(open=22.53, high=22.56, low=22.53, close=22.56, volume=516, vwap=22.5401, timestamp=1689026400000, transactions=11, otc=None)
Agg(open=22.53, high=22.53, low=22.5, close=22.53, volume=5527, vwap=22.5252, timestamp=1689030000000, transactions=31, otc=None)
Agg(open=22.56, high=22.6, low=22.56, close=22.6, volume=1029, vwap=22.5783, timestamp=1689062400000, transactions=8, otc=None)
Agg(open=22.51, high=22.51, low=22.51, close=22.51, volume=235, vwap=22.5085, timestamp=1689066000000, transactions=3, otc=None)
Agg(open=22.6, high=22.6, low=22.6, close=22.6, volume=101, vwap=22.6, timestamp=1689069600000, transactions=2, otc=None)
Agg(open=22.63, high=22.72, low=22.62, close=22.65, volume=14219, vwap=22.6593, timestamp=1689073200000, transactions=52, otc=None)
Agg(open=22.72, high=22.7299, low=22.62, close=22.65, volume=67357, vwap=22.656, timestamp=1689076800000, transactions=160, otc=None)
Agg(open=22.65, high=22.77, low=22.2, close=22.58, volume=2051652.0, vwap=22.4499, timestamp=1689080400000, transactions=10159, otc=None)
Agg(open=22.585, high=22.62, low=22.22, close=22.2288, volume=1951981.0, vwap=22.4392, timestamp=1689084000000, transactions=12676, otc=None)
Agg(open=22.23, high=22.35, low=22.09, close=22.255, volume=1519313.0, vwap=22.2217, timestamp=1689087600000, transactions=10220, otc=None)
Agg(open=22.26, high=22.38, low=22.225, close=22.315, volume=1132487.0, vwap=22.3093, timestamp=1689091200000, transactions=7186, otc=None)
Agg(open=22.315, high=22.4, low=22.3, close=22.375, volume=887196, vwap=22.3514, timestamp=1689094800000, transactions=5629, otc=None)
Agg(open=22.375, high=22.43, low=22.34, close=22.415, volume=1056003.0, vwap=22.3892, timestamp=1689098400000, transactions=7173, otc=None)
Agg(open=22.42, high=22.47, low=22.36, close=22.4, volume=2636926.0, vwap=22.4141, timestamp=1689102000000, transactions=14046, otc=None)
Agg(open=22.41, high=22.42, low=22.38, close=22.4, volume=101629, vwap=22.4094, timestamp=1689105600000, transactions=90, otc=None)
Agg(open=22.4, high=22.4, low=22.34, close=22.4, volume=8976, vwap=22.3794, timestamp=1689109200000, transactions=17, otc=None)
