Agg(open=18, high=18, low=18, close=18, volume=486, vwap=17.9935, timestamp=1691395200000, transactions=4, otc=None)
Agg(open=18.09, high=18.23, low=18.09, close=18.1, volume=4351, vwap=18.1558, timestamp=1691398800000, transactions=21, otc=None)
Agg(open=18.02, high=18.02, low=18.02, close=18.02, volume=217, vwap=17.9954, timestamp=1691402400000, transactions=5, otc=None)
Agg(open=18.02, high=18.03, low=18, close=18.02, volume=2605, vwap=18.0164, timestamp=1691406000000, transactions=26, otc=None)
Agg(open=18.06, high=18.06, low=17.92, close=17.98, volume=77626, vwap=17.9763, timestamp=1691409600000, transactions=263, otc=None)
Agg(open=17.98, high=18.44, low=17.97, close=18.375, volume=1884213.0, vwap=18.2529, timestamp=1691413200000, transactions=9696, otc=None)
Agg(open=18.37, high=18.5, low=18.24, close=18.4701, volume=2811741.0, vwap=18.374, timestamp=1691416800000, transactions=16851, otc=None)
Agg(open=18.48, high=18.56, low=18, close=18.2507, volume=2340643.0, vwap=18.2871, timestamp=1691420400000, transactions=14170, otc=None)
Agg(open=18.26, high=18.34, low=18.2304, close=18.305, volume=1170383.0, vwap=18.2803, timestamp=1691424000000, transactions=8494, otc=None)
Agg(open=18.3, high=18.395, low=18.28, close=18.36, volume=1020075.0, vwap=18.3404, timestamp=1691427600000, transactions=6890, otc=None)
Agg(open=18.37, high=18.4, low=18.31, close=18.39, volume=989226, vwap=18.3721, timestamp=1691431200000, transactions=6972, otc=None)
Agg(open=18.395, high=18.5, low=18.3712, close=18.48, volume=3214441.0, vwap=18.4427, timestamp=1691434800000, transactions=15749, otc=None)
Agg(open=18.48, high=18.57, low=18.44, close=18.51, volume=162447, vwap=18.484, timestamp=1691438400000, transactions=196, otc=None)
Agg(open=18.52, high=18.54, low=18.5, close=18.5099, volume=8242, vwap=18.522, timestamp=1691442000000, transactions=38, otc=None)
Agg(open=18.51, high=18.53, low=18.5, close=18.53, volume=6329, vwap=18.5091, timestamp=1691445600000, transactions=21, otc=None)
Agg(open=18.5198, high=18.53, low=18.5, close=18.5, volume=5711, vwap=18.5203, timestamp=1691449200000, transactions=30, otc=None)
Agg(open=18.48, high=18.52, low=18.48, close=18.52, volume=776, vwap=18.4911, timestamp=1691481600000, transactions=3, otc=None)
Agg(open=18.4, high=18.4, low=18.38, close=18.38, volume=901, vwap=18.3889, timestamp=1691485200000, transactions=3, otc=None)
Agg(open=18.38, high=18.38, low=18.38, close=18.38, volume=100, vwap=18.38, timestamp=1691488800000, transactions=1, otc=None)
Agg(open=18.37, high=18.5, low=18.28, close=18.3, volume=68363, vwap=18.4182, timestamp=1691492400000, transactions=128, otc=None)
Agg(open=18.35, high=18.48, low=18.21, close=18.34, volume=51673, vwap=18.2748, timestamp=1691496000000, transactions=173, otc=None)
Agg(open=18.31, high=18.3203, low=17.965, close=18.121, volume=1500687.0, vwap=18.1176, timestamp=1691499600000, transactions=7210, otc=None)
Agg(open=18.132, high=18.25, low=18.02, close=18.1, volume=1512332.0, vwap=18.1157, timestamp=1691503200000, transactions=9966, otc=None)
Agg(open=18.1, high=18.1212, low=17.98, close=18.055, volume=967242, vwap=18.054, timestamp=1691506800000, transactions=6947, otc=None)
Agg(open=18.05, high=18.19, low=18.0402, close=18.1899, volume=751883, vwap=18.1047, timestamp=1691510400000, transactions=5557, otc=None)
Agg(open=18.185, high=18.26, low=18.17, close=18.2339, volume=1043540.0, vwap=18.2148, timestamp=1691514000000, transactions=6218, otc=None)
Agg(open=18.235, high=18.315, low=18.215, close=18.2701, volume=904812, vwap=18.2547, timestamp=1691517600000, transactions=6502, otc=None)
Agg(open=18.2712, high=18.46, low=18.265, close=18.42, volume=2163426.0, vwap=18.3977, timestamp=1691521200000, transactions=13380, otc=None)
Agg(open=18.42, high=18.42, low=18.36, close=18.4, volume=58838, vwap=18.4148, timestamp=1691524800000, transactions=64, otc=None)
Agg(open=18.39, high=18.45, low=18.23, close=18.43, volume=53900, vwap=18.3429, timestamp=1691528400000, transactions=28, otc=None)
Agg(open=18.33, high=18.3301, low=18.3202, close=18.3301, volume=3035, vwap=18.3213, timestamp=1691532000000, transactions=4, otc=None)
Agg(open=18.46, high=18.46, low=18.4, close=18.43, volume=2919, vwap=18.4266, timestamp=1691535600000, transactions=8, otc=None)
Agg(open=18.43, high=18.43, low=18.42, close=18.42, volume=1000, vwap=18.4232, timestamp=1691575200000, transactions=6, otc=None)
Agg(open=18.42, high=18.46, low=18.42, close=18.46, volume=5095, vwap=18.442, timestamp=1691578800000, transactions=15, otc=None)
Agg(open=18.47, high=18.51, low=18.43, close=18.51, volume=221423, vwap=18.4243, timestamp=1691582400000, transactions=80, otc=None)
Agg(open=18.48, high=18.5392, low=18.34, close=18.49, volume=959591, vwap=18.4607, timestamp=1691586000000, transactions=5852, otc=None)
Agg(open=18.485, high=18.54, low=18.23, close=18.29, volume=1266368.0, vwap=18.3553, timestamp=1691589600000, transactions=9299, otc=None)
Agg(open=18.29, high=18.35, low=18, close=18.03, volume=1187348.0, vwap=18.142, timestamp=1691593200000, transactions=8581, otc=None)
Agg(open=18.02, high=18.085, low=18, close=18.005, volume=1685481.0, vwap=18.0253, timestamp=1691596800000, transactions=9327, otc=None)
Agg(open=18.005, high=18.11, low=17.99, close=18.03, volume=688269, vwap=18.0567, timestamp=1691600400000, transactions=5702, otc=None)
Agg(open=18.025, high=18.07, low=17.95, close=17.975, volume=827994, vwap=18.024, timestamp=1691604000000, transactions=6726, otc=None)
Agg(open=17.9796, high=18.1, low=17.85, close=17.885, volume=2625880.0, vwap=17.9326, timestamp=1691607600000, transactions=16106, otc=None)
Agg(open=17.9, high=17.95, low=17.87, close=17.92, volume=121971, vwap=17.9014, timestamp=1691611200000, transactions=103, otc=None)
Agg(open=17.91, high=17.95, low=17.9, close=17.95, volume=6094, vwap=17.931, timestamp=1691614800000, transactions=42, otc=None)
Agg(open=17.94, high=17.98, low=17.93, close=17.96, volume=3324, vwap=17.958, timestamp=1691618400000, transactions=7, otc=None)
Agg(open=17.96, high=17.96, low=17.93, close=17.93, volume=6242, vwap=17.9572, timestamp=1691622000000, transactions=11, otc=None)
Agg(open=18.05, high=18.05, low=18.05, close=18.05, volume=250, vwap=18.05, timestamp=1691658000000, transactions=2, otc=None)
Agg(open=18.04, high=18.06, low=18.01, close=18.02, volume=10145, vwap=18.0517, timestamp=1691665200000, transactions=22, otc=None)
Agg(open=18.0409, high=18.11, low=17.95, close=18.07, volume=92466, vwap=18.0561, timestamp=1691668800000, transactions=207, otc=None)
Agg(open=18.07, high=18.23, low=18, close=18.195, volume=950687, vwap=18.1242, timestamp=1691672400000, transactions=5048, otc=None)
Agg(open=18.195, high=18.24, low=17.88, close=17.955, volume=1421848.0, vwap=18.055, timestamp=1691676000000, transactions=10227, otc=None)
Agg(open=17.955, high=18.11, low=17.88, close=17.965, volume=1695609.0, vwap=18.0014, timestamp=1691679600000, transactions=9324, otc=None)
Agg(open=17.96, high=18.02, low=17.835, close=17.8508, volume=836591, vwap=17.9448, timestamp=1691683200000, transactions=5844, otc=None)
Agg(open=17.8533, high=18.2001, low=17.765, close=17.8, volume=1314191.0, vwap=17.8166, timestamp=1691686800000, transactions=8517, otc=None)
Agg(open=17.8, high=17.98, low=17.795, close=17.95, volume=878926, vwap=17.9128, timestamp=1691690400000, transactions=6765, otc=None)
Agg(open=17.95, high=17.983, low=17.875, close=17.96, volume=1566092.0, vwap=17.9338, timestamp=1691694000000, transactions=9330, otc=None)
Agg(open=17.97, high=17.97, low=17.93, close=17.95, volume=185262, vwap=17.9693, timestamp=1691697600000, transactions=37, otc=None)
Agg(open=17.98, high=17.98, low=17.91, close=17.9412, volume=881, vwap=17.9496, timestamp=1691701200000, transactions=8, otc=None)
Agg(open=17.98, high=18.03, low=17.98, close=18.03, volume=841, vwap=18.0103, timestamp=1691704800000, transactions=8, otc=None)
Agg(open=17.98, high=18, low=17.97, close=17.97, volume=444, vwap=17.9799, timestamp=1691708400000, transactions=6, otc=None)
Agg(open=17.8, high=17.86, low=17.8, close=17.8, volume=27794, vwap=17.8157, timestamp=1691755200000, transactions=40, otc=None)
Agg(open=17.8, high=17.84, low=17.59, close=17.605, volume=1125743.0, vwap=17.7111, timestamp=1691758800000, transactions=6775, otc=None)
Agg(open=17.61, high=17.87, low=17.61, close=17.72, volume=1194270.0, vwap=17.7648, timestamp=1691762400000, transactions=9344, otc=None)
Agg(open=17.73, high=17.759, low=17.57, close=17.6582, volume=1306203.0, vwap=17.6308, timestamp=1691766000000, transactions=8001, otc=None)
Agg(open=17.65, high=17.715, low=17.58, close=17.6394, volume=750670, vwap=17.6476, timestamp=1691769600000, transactions=5539, otc=None)
Agg(open=17.64, high=17.64, low=17.56, close=17.605, volume=662379, vwap=17.6019, timestamp=1691773200000, transactions=5341, otc=None)
Agg(open=17.61, high=17.67, low=17.6, close=17.66, volume=673291, vwap=17.6315, timestamp=1691776800000, transactions=5911, otc=None)
Agg(open=17.66, high=17.765, low=17.625, close=17.68, volume=1704092.0, vwap=17.6826, timestamp=1691780400000, transactions=11203, otc=None)
Agg(open=17.68, high=17.7, low=17.6601, close=17.7, volume=91745, vwap=17.6791, timestamp=1691784000000, transactions=57, otc=None)
Agg(open=17.69, high=17.69, low=17.66, close=17.66, volume=7117, vwap=17.6759, timestamp=1691787600000, transactions=24, otc=None)
Agg(open=17.7, high=17.7, low=17.7, close=17.7, volume=100, vwap=17.7, timestamp=1691791200000, transactions=1, otc=None)
Agg(open=17.68, high=17.69, low=17.68, close=17.69, volume=1229, vwap=17.6841, timestamp=1691794800000, transactions=5, otc=None)
