Agg(open=11.18, high=11.18, low=11.14, close=11.155, volume=122374, vwap=11.167, timestamp=1683550800000, transactions=244, otc=None)
Agg(open=11.155, high=11.16, low=11.1311, close=11.155, volume=108694, vwap=11.1445, timestamp=1683554400000, transactions=304, otc=None)
Agg(open=11.155, high=11.155, low=11.14, close=11.14, volume=85099, vwap=11.1485, timestamp=1683558000000, transactions=236, otc=None)
Agg(open=11.14, high=11.15, low=11.14, close=11.14, volume=88099, vwap=11.1412, timestamp=1683561600000, transactions=279, otc=None)
Agg(open=11.14, high=11.14, low=11.13, close=11.13, volume=52716, vwap=11.1337, timestamp=1683565200000, transactions=209, otc=None)
Agg(open=11.13, high=11.14, low=11.13, close=11.13, volume=45003, vwap=11.1338, timestamp=1683568800000, transactions=228, otc=None)
Agg(open=11.13, high=11.14, low=11.13, close=11.13, volume=70340, vwap=11.1342, timestamp=1683572400000, transactions=279, otc=None)
Agg(open=11.15, high=11.175, low=11.12, close=11.16, volume=70169, vwap=11.1575, timestamp=1683637200000, transactions=226, otc=None)
Agg(open=11.1599, high=11.16, low=11.14, close=11.145, volume=69190, vwap=11.148, timestamp=1683640800000, transactions=288, otc=None)
Agg(open=11.145, high=11.145, low=11.115, close=11.12, volume=63189, vwap=11.1275, timestamp=1683644400000, transactions=453, otc=None)
Agg(open=11.12, high=11.127, low=11.1, close=11.105, volume=46609, vwap=11.1096, timestamp=1683648000000, transactions=338, otc=None)
Agg(open=11.105, high=11.115, low=11.09, close=11.09, volume=102475, vwap=11.0998, timestamp=1683651600000, transactions=380, otc=None)
Agg(open=11.09, high=11.105, low=11.09, close=11.09, volume=87313, vwap=11.094, timestamp=1683655200000, transactions=431, otc=None)
Agg(open=11.095, high=11.11, low=11.09, close=11.11, volume=75564, vwap=11.1004, timestamp=1683658800000, transactions=399, otc=None)
Agg(open=11.14, high=11.17, low=11.13, close=11.1329, volume=43372, vwap=11.1404, timestamp=1683723600000, transactions=137, otc=None)
Agg(open=11.135, high=11.14, low=11.1, close=11.1, volume=50064, vwap=11.1187, timestamp=1683727200000, transactions=312, otc=None)
Agg(open=11.105, high=11.1096, low=11.08, close=11.08, volume=72565, vwap=11.0958, timestamp=1683730800000, transactions=386, otc=None)
Agg(open=11.08, high=11.0975, low=11.08, close=11.085, volume=89859, vwap=11.0878, timestamp=1683734400000, transactions=434, otc=None)
Agg(open=11.085, high=11.11, low=11.08, close=11.09, volume=76085, vwap=11.0914, timestamp=1683738000000, transactions=429, otc=None)
Agg(open=11.09, high=11.12, low=11.08, close=11.115, volume=142280, vwap=11.1026, timestamp=1683741600000, transactions=810, otc=None)
Agg(open=11.1149, high=11.12, low=11.11, close=11.12, volume=92007, vwap=11.1116, timestamp=1683745200000, transactions=466, otc=None)
Agg(open=11.15, high=11.18, low=11.11, close=11.11, volume=50393, vwap=11.1491, timestamp=1683810000000, transactions=165, otc=None)
Agg(open=11.105, high=11.115, low=11.1, close=11.1, volume=93647, vwap=11.1058, timestamp=1683813600000, transactions=459, otc=None)
Agg(open=11.1, high=11.1099, low=11.07, close=11.09, volume=59953, vwap=11.0895, timestamp=1683817200000, transactions=424, otc=None)
Agg(open=11.09, high=11.1, low=11.07, close=11.07, volume=72563, vwap=11.0837, timestamp=1683820800000, transactions=297, otc=None)
Agg(open=11.07, high=11.0701, low=11.06, close=11.0601, volume=51659, vwap=11.0681, timestamp=1683824400000, transactions=245, otc=None)
Agg(open=11.0676, high=11.07, low=11.04, close=11.05, volume=83962, vwap=11.0542, timestamp=1683828000000, transactions=587, otc=None)
Agg(open=11.05, high=11.07, low=11.04, close=11.065, volume=164704, vwap=11.0489, timestamp=1683831600000, transactions=860, otc=None)
Agg(open=11.08, high=11.1, low=11.05, close=11.05, volume=19575, vwap=11.0731, timestamp=1683896400000, transactions=54, otc=None)
Agg(open=11.045, high=11.045, low=11, close=11.015, volume=91738, vwap=11.018, timestamp=1683900000000, transactions=308, otc=None)
Agg(open=11.0112, high=11.03, low=11.0111, close=11.015, volume=89482, vwap=11.0216, timestamp=1683903600000, transactions=210, otc=None)
Agg(open=11.015, high=11.02, low=11.01, close=11.01, volume=27930, vwap=11.0147, timestamp=1683907200000, transactions=112, otc=None)
Agg(open=11.015, high=11.05, low=11.0101, close=11.04, volume=80725, vwap=11.0333, timestamp=1683910800000, transactions=214, otc=None)
Agg(open=11.0407, high=11.05, low=11.03, close=11.0301, volume=50620, vwap=11.041, timestamp=1683914400000, transactions=182, otc=None)
Agg(open=11.0302, high=11.04, low=11.01, close=11.01, volume=112275, vwap=11.0261, timestamp=1683918000000, transactions=350, otc=None)
