Agg(open=15, high=15, low=15, close=15, volume=440, vwap=15, timestamp=1672736400000, transactions=3, otc=None)
Agg(open=15.46, high=15.69, low=15.29, close=15.29, volume=162131, vwap=15.4917, timestamp=1672754400000, transactions=2112, otc=None)
Agg(open=15.3, high=15.3675, low=15.22, close=15.33, volume=261573, vwap=15.292, timestamp=1672758000000, transactions=3279, otc=None)
Agg(open=15.335, high=15.365, low=15.095, close=15.175, volume=335492, vwap=15.194, timestamp=1672761600000, transactions=2977, otc=None)
Agg(open=15.17, high=15.2175, low=15.09, close=15.205, volume=248903, vwap=15.1629, timestamp=1672765200000, transactions=2813, otc=None)
Agg(open=15.205, high=15.315, low=15.18, close=15.28, volume=171637, vwap=15.2453, timestamp=1672768800000, transactions=2200, otc=None)
Agg(open=15.28, high=15.33, low=15.185, close=15.235, volume=193232, vwap=15.253, timestamp=1672772400000, transactions=2599, otc=None)
Agg(open=15.24, high=15.285, low=15.155, close=15.25, volume=536393, vwap=15.241, timestamp=1672776000000, transactions=6072, otc=None)
Agg(open=15.26, high=15.26, low=15.26, close=15.26, volume=52830, vwap=15.2525, timestamp=1672779600000, transactions=13, otc=None)
Agg(open=15.53, high=15.71, low=15.49, close=15.6, volume=113184, vwap=15.6016, timestamp=1672840800000, transactions=1601, otc=None)
Agg(open=15.58, high=15.695, low=15.47, close=15.63, volume=169036, vwap=15.5807, timestamp=1672844400000, transactions=2638, otc=None)
Agg(open=15.635, high=15.77, low=15.61, close=15.67, volume=222149, vwap=15.7012, timestamp=1672848000000, transactions=2772, otc=None)
Agg(open=15.67, high=15.76, low=15.64, close=15.705, volume=158576, vwap=15.6953, timestamp=1672851600000, transactions=2320, otc=None)
Agg(open=15.705, high=15.795, low=15.55, close=15.6, volume=282329, vwap=15.6789, timestamp=1672855200000, transactions=3266, otc=None)
Agg(open=15.62, high=15.7, low=15.49, close=15.675, volume=287851, vwap=15.6163, timestamp=1672858800000, transactions=3222, otc=None)
Agg(open=15.675, high=15.7, low=15.5, close=15.58, volume=943639, vwap=15.5689, timestamp=1672862400000, transactions=7266, otc=None)
Agg(open=15.57, high=16, low=15.57, close=15.95, volume=46152, vwap=15.5856, timestamp=1672866000000, transactions=26, otc=None)
Agg(open=16.2, high=16.87, low=16.19, close=16.87, volume=869, vwap=16.2799, timestamp=1672920000000, transactions=7, otc=None)
Agg(open=17, high=17.197, low=16, close=16, volume=145273, vwap=15.6372, timestamp=1672923600000, transactions=29, otc=None)
Agg(open=15.62, high=15.97, low=15.21, close=15.86, volume=483714, vwap=15.614, timestamp=1672927200000, transactions=3161, otc=None)
Agg(open=15.85, high=16.34, low=15.61, close=15.67, volume=846029, vwap=15.9925, timestamp=1672930800000, transactions=5847, otc=None)
Agg(open=15.655, high=15.74, low=15.53, close=15.595, volume=250931, vwap=15.6316, timestamp=1672934400000, transactions=3001, otc=None)
Agg(open=15.595, high=15.96, low=15.595, close=15.855, volume=359166, vwap=15.8489, timestamp=1672938000000, transactions=3971, otc=None)
Agg(open=15.85, high=16.07, low=15.799, close=16.055, volume=336398, vwap=15.9342, timestamp=1672941600000, transactions=3744, otc=None)
Agg(open=16.06, high=16.27, low=16.02, close=16.17, volume=494923, vwap=16.1416, timestamp=1672945200000, transactions=4341, otc=None)
Agg(open=16.16, high=16.435, low=16.115, close=16.13, volume=997501, vwap=16.2436, timestamp=1672948800000, transactions=9686, otc=None)
Agg(open=16.14, high=16.14, low=15.41, close=15.41, volume=27853, vwap=16.1374, timestamp=1672952400000, transactions=23, otc=None)
Agg(open=16.15, high=16.16, low=15.89, close=15.94, volume=380903, vwap=16.0012, timestamp=1673013600000, transactions=3235, otc=None)
Agg(open=15.95, high=16.22, low=15.94, close=16.2, volume=442421, vwap=16.0541, timestamp=1673017200000, transactions=4206, otc=None)
Agg(open=16.21, high=16.38, low=16.2, close=16.275, volume=446594, vwap=16.2814, timestamp=1673020800000, transactions=3959, otc=None)
Agg(open=16.28, high=16.31, low=16.145, close=16.195, volume=318320, vwap=16.2316, timestamp=1673024400000, transactions=3090, otc=None)
Agg(open=16.2, high=16.23, low=16.14, close=16.215, volume=338396, vwap=16.1851, timestamp=1673028000000, transactions=3478, otc=None)
Agg(open=16.22, high=16.31, low=16.145, close=16.235, volume=361568, vwap=16.2458, timestamp=1673031600000, transactions=3996, otc=None)
Agg(open=16.235, high=16.42, low=16.19, close=16.37, volume=970172, vwap=16.3319, timestamp=1673035200000, transactions=9023, otc=None)
Agg(open=16.37, high=16.37, low=16.2, close=16.2, volume=88699, vwap=16.3696, timestamp=1673038800000, transactions=28, otc=None)
