Agg(open=19.99, high=20.05, low=19.875, close=19.96, volume=251709, vwap=19.9657, timestamp=1675692000000, transactions=2218, otc=None)
Agg(open=19.95, high=20.01, low=19.765, close=19.905, volume=211590, vwap=19.8861, timestamp=1675695600000, transactions=2645, otc=None)
Agg(open=19.905, high=20, low=19.85, close=19.905, volume=142845, vwap=19.918, timestamp=1675699200000, transactions=1484, otc=None)
Agg(open=19.905, high=20, low=19.905, close=19.94, volume=84946, vwap=19.9477, timestamp=1675702800000, transactions=1427, otc=None)
Agg(open=19.94, high=20, low=19.92, close=19.945, volume=111985, vwap=19.9523, timestamp=1675706400000, transactions=1360, otc=None)
Agg(open=19.945, high=19.975, low=19.895, close=19.97, volume=129949, vwap=19.9375, timestamp=1675710000000, transactions=1737, otc=None)
Agg(open=19.975, high=20, low=19.865, close=19.9, volume=308030, vwap=19.929, timestamp=1675713600000, transactions=3786, otc=None)
Agg(open=19.89, high=19.89, low=19.89, close=19.89, volume=200224, vwap=19.89, timestamp=1675717200000, transactions=28, otc=None)
Agg(open=19.84, high=19.84, low=19.6, close=19.79, volume=63446, vwap=19.7445, timestamp=1675778400000, transactions=836, otc=None)
Agg(open=19.8, high=19.805, low=19.72, close=19.735, volume=87622, vwap=19.7592, timestamp=1675782000000, transactions=1538, otc=None)
Agg(open=19.74, high=19.9091, low=19.71, close=19.89, volume=98049, vwap=19.787, timestamp=1675785600000, transactions=1521, otc=None)
Agg(open=19.885, high=20.0893, low=19.86, close=20.08, volume=412083, vwap=19.9795, timestamp=1675789200000, transactions=3370, otc=None)
Agg(open=20.09, high=20.165, low=19.74, close=19.88, volume=274118, vwap=19.9273, timestamp=1675792800000, transactions=3616, otc=None)
Agg(open=19.88, high=20.2, low=19.88, close=20.17, volume=236554, vwap=20.1215, timestamp=1675796400000, transactions=2871, otc=None)
Agg(open=20.18, high=20.48, low=20.16, close=20.38, volume=365658, vwap=20.3607, timestamp=1675800000000, transactions=4386, otc=None)
Agg(open=20.39, high=20.39, low=20.39, close=20.39, volume=46282, vwap=20.39, timestamp=1675803600000, transactions=13, otc=None)
Agg(open=20.26, high=20.26, low=19.84, close=20.135, volume=41587, vwap=20.1455, timestamp=1675864800000, transactions=584, otc=None)
Agg(open=20.13, high=20.13, low=19.89, close=20, volume=116045, vwap=20.0018, timestamp=1675868400000, transactions=1888, otc=None)
Agg(open=19.995, high=20, low=19.845, close=19.94, volume=197402, vwap=19.9173, timestamp=1675872000000, transactions=2557, otc=None)
Agg(open=19.94, high=20.02, low=19.92, close=19.975, volume=141598, vwap=19.9609, timestamp=1675875600000, transactions=2049, otc=None)
Agg(open=19.98, high=20.005, low=19.88, close=19.905, volume=143619, vwap=19.9538, timestamp=1675879200000, transactions=2003, otc=None)
Agg(open=19.905, high=20, low=19.895, close=19.985, volume=139155, vwap=19.9571, timestamp=1675882800000, transactions=1849, otc=None)
Agg(open=19.985, high=20.02, low=19.89, close=19.99, volume=384547, vwap=19.9704, timestamp=1675886400000, transactions=4635, otc=None)
Agg(open=20, high=20, low=20, close=20, volume=58398, vwap=20, timestamp=1675890000000, transactions=11, otc=None)
Agg(open=20.07, high=20.13, low=19.73, close=20.045, volume=75871, vwap=20.0324, timestamp=1675951200000, transactions=1046, otc=None)
Agg(open=20.045, high=20.045, low=19.91, close=19.975, volume=140754, vwap=19.9799, timestamp=1675954800000, transactions=2025, otc=None)
Agg(open=19.975, high=19.985, low=19.755, close=19.86, volume=125182, vwap=19.9142, timestamp=1675958400000, transactions=1663, otc=None)
Agg(open=19.87, high=19.9, low=19.785, close=19.855, volume=140673, vwap=19.8532, timestamp=1675962000000, transactions=1721, otc=None)
Agg(open=19.855, high=19.855, low=19.775, close=19.84, volume=196240, vwap=19.8112, timestamp=1675965600000, transactions=1962, otc=None)
Agg(open=19.845, high=19.845, low=19.68, close=19.745, volume=195090, vwap=19.7486, timestamp=1675969200000, transactions=2061, otc=None)
Agg(open=19.745, high=19.88, low=19.63, close=19.83, volume=561518, vwap=19.7777, timestamp=1675972800000, transactions=6808, otc=None)
Agg(open=19.83, high=19.83, low=19.83, close=19.83, volume=41090, vwap=19.83, timestamp=1675976400000, transactions=24, otc=None)
Agg(open=19.76, high=19.76, low=19.51, close=19.695, volume=118956, vwap=19.6491, timestamp=1676037600000, transactions=1443, otc=None)
Agg(open=19.695, high=19.82, low=19.64, close=19.71, volume=268172, vwap=19.7266, timestamp=1676041200000, transactions=3227, otc=None)
Agg(open=19.7, high=19.74, low=19.525, close=19.625, volume=160510, vwap=19.6483, timestamp=1676044800000, transactions=2032, otc=None)
Agg(open=19.625, high=19.64, low=19.5001, close=19.62, volume=229278, vwap=19.5824, timestamp=1676048400000, transactions=1857, otc=None)
Agg(open=19.62, high=19.705, low=19.54, close=19.54, volume=180632, vwap=19.6355, timestamp=1676052000000, transactions=1982, otc=None)
Agg(open=19.545, high=19.605, low=19.51, close=19.59, volume=185188, vwap=19.564, timestamp=1676055600000, transactions=1868, otc=None)
Agg(open=19.59, high=19.71, low=19.56, close=19.62, volume=485113, vwap=19.6438, timestamp=1676059200000, transactions=5345, otc=None)
Agg(open=19.64, high=19.64, low=19.64, close=19.64, volume=24563, vwap=19.64, timestamp=1676062800000, transactions=16, otc=None)
