Agg(open=23.34, high=23.34, low=23.34, close=23.34, volume=133, vwap=23.3362, timestamp=1675069200000, transactions=6, otc=None)
Agg(open=23.3, high=23.3, low=23.15, close=23.15, volume=621, vwap=23.2011, timestamp=1675080000000, transactions=13, otc=None)
Agg(open=23.15, high=23.28, low=23.15, close=23.28, volume=833, vwap=23.1917, timestamp=1675083600000, transactions=15, otc=None)
Agg(open=23.17, high=23.25, low=23.01, close=23.1332, volume=533106, vwap=23.1232, timestamp=1675087200000, transactions=3716, otc=None)
Agg(open=23.13, high=23.27, low=23.115, close=23.1938, volume=635778, vwap=23.1917, timestamp=1675090800000, transactions=4715, otc=None)
Agg(open=23.19, high=23.22, low=23.025, close=23.07, volume=489715, vwap=23.141, timestamp=1675094400000, transactions=3636, otc=None)
Agg(open=23.075, high=23.1, low=22.9, close=22.925, volume=484615, vwap=22.9981, timestamp=1675098000000, transactions=3652, otc=None)
Agg(open=22.92, high=23.01, low=22.9, close=22.945, volume=418247, vwap=22.9534, timestamp=1675101600000, transactions=3192, otc=None)
Agg(open=22.965, high=22.97, low=22.85, close=22.8798, volume=503817, vwap=22.8935, timestamp=1675105200000, transactions=3808, otc=None)
Agg(open=22.88, high=22.905, low=22.81, close=22.9, volume=1048530.0, vwap=22.8585, timestamp=1675108800000, transactions=7431, otc=None)
Agg(open=22.9, high=22.9, low=22.84, close=22.84, volume=144044, vwap=22.8974, timestamp=1675112400000, transactions=85, otc=None)
Agg(open=22.84, high=22.86, low=22.84, close=22.86, volume=2208, vwap=22.8507, timestamp=1675116000000, transactions=13, otc=None)
Agg(open=22.83, high=22.85, low=22.83, close=22.83, volume=1953, vwap=22.8351, timestamp=1675119600000, transactions=15, otc=None)
Agg(open=22.8501, high=22.9, low=22.85, close=22.85, volume=1299, vwap=22.8638, timestamp=1675123200000, transactions=9, otc=None)
Agg(open=22.79, high=22.79, low=22.79, close=22.79, volume=306, vwap=22.792, timestamp=1675166400000, transactions=5, otc=None)
Agg(open=22.88, high=23.11, low=22.86, close=23.11, volume=20348, vwap=23.0007, timestamp=1675170000000, transactions=78, otc=None)
Agg(open=23.09, high=23.48, low=23.06, close=23.1797, volume=2233901.0, vwap=23.3013, timestamp=1675173600000, transactions=9672, otc=None)
Agg(open=23.18, high=23.445, low=23.16, close=23.355, volume=1324187.0, vwap=23.3116, timestamp=1675177200000, transactions=8081, otc=None)
Agg(open=23.35, high=23.39, low=23.19, close=23.38, volume=657486, vwap=23.2681, timestamp=1675180800000, transactions=5750, otc=None)
Agg(open=23.375, high=23.39, low=23.27, close=23.31, volume=490424, vwap=23.3195, timestamp=1675184400000, transactions=3894, otc=None)
Agg(open=23.31, high=23.4, low=23.3, close=23.345, volume=563748, vwap=23.356, timestamp=1675188000000, transactions=4115, otc=None)
Agg(open=23.35, high=23.43, low=23.34, close=23.36, volume=529362, vwap=23.3831, timestamp=1675191600000, transactions=3956, otc=None)
Agg(open=23.3611, high=23.48, low=23.275, close=23.48, volume=1503048.0, vwap=23.3804, timestamp=1675195200000, transactions=9601, otc=None)
Agg(open=23.47, high=23.47, low=23.43, close=23.46, volume=130414, vwap=23.4698, timestamp=1675198800000, transactions=73, otc=None)
Agg(open=23.4699, high=23.47, low=23.45, close=23.46, volume=2377, vwap=23.4598, timestamp=1675202400000, transactions=12, otc=None)
Agg(open=23.48, high=23.48, low=23.48, close=23.48, volume=250, vwap=23.48, timestamp=1675206000000, transactions=1, otc=None)
Agg(open=23.48, high=23.48, low=23.41, close=23.41, volume=1989, vwap=23.4452, timestamp=1675209600000, transactions=4, otc=None)
Agg(open=23.38, high=23.44, low=23.37, close=23.44, volume=492, vwap=23.4073, timestamp=1675249200000, transactions=5, otc=None)
Agg(open=23.36, high=23.36, low=23.36, close=23.36, volume=242, vwap=23.3938, timestamp=1675252800000, transactions=18, otc=None)
Agg(open=23.44, high=23.44, low=23.43, close=23.44, volume=1104, vwap=23.4367, timestamp=1675256400000, transactions=10, otc=None)
Agg(open=23.42, high=23.515, low=23.315, close=23.48, volume=624255, vwap=23.3933, timestamp=1675260000000, transactions=4114, otc=None)
Agg(open=23.48, high=23.665, low=23.375, close=23.61, volume=1141770.0, vwap=23.5447, timestamp=1675263600000, transactions=8378, otc=None)
Agg(open=23.61, high=23.61, low=23.47, close=23.495, volume=396505, vwap=23.5164, timestamp=1675267200000, transactions=3385, otc=None)
Agg(open=23.49, high=23.59, low=23.49, close=23.58, volume=323699, vwap=23.5465, timestamp=1675270800000, transactions=2852, otc=None)
Agg(open=23.5719, high=23.63, low=23.55, close=23.61, volume=457485, vwap=23.5888, timestamp=1675274400000, transactions=3917, otc=None)
