Agg(open=20.38, high=20.38, low=20.38, close=20.38, volume=100, vwap=20.38, timestamp=1695639600000, transactions=1, otc=None)
Agg(open=20.31, high=20.645, low=20.31, close=20.63, volume=122561, vwap=20.4365, timestamp=1695646800000, transactions=1317, otc=None)
Agg(open=20.625, high=20.64, low=20.485, close=20.555, volume=229159, vwap=20.5627, timestamp=1695650400000, transactions=2740, otc=None)
Agg(open=20.55, high=20.82, low=20.52, close=20.77, volume=198990, vwap=20.7389, timestamp=1695654000000, transactions=2402, otc=None)
Agg(open=20.775, high=20.92, low=20.755, close=20.86, volume=315379, vwap=20.8459, timestamp=1695657600000, transactions=2706, otc=None)
Agg(open=20.86, high=20.945, low=20.815, close=20.915, volume=196508, vwap=20.8932, timestamp=1695661200000, transactions=2309, otc=None)
Agg(open=20.92, high=20.945, low=20.855, close=20.8887, volume=300762, vwap=20.8864, timestamp=1695664800000, transactions=2428, otc=None)
Agg(open=20.89, high=20.9, low=20.76, close=20.84, volume=539642, vwap=20.8264, timestamp=1695668400000, transactions=4682, otc=None)
Agg(open=20.83, high=20.98, low=20.83, close=20.98, volume=57896, vwap=20.8303, timestamp=1695672000000, transactions=17, otc=None)
Agg(open=20.6, high=20.89, low=20.55, close=20.695, volume=198341, vwap=20.7423, timestamp=1695733200000, transactions=2080, otc=None)
Agg(open=20.695, high=20.745, low=20.47, close=20.64, volume=443718, vwap=20.6103, timestamp=1695736800000, transactions=3502, otc=None)
Agg(open=20.64, high=20.72, low=20.5, close=20.59, volume=419124, vwap=20.6129, timestamp=1695740400000, transactions=3800, otc=None)
Agg(open=20.6, high=20.8, low=20.58, close=20.79, volume=177317, vwap=20.7047, timestamp=1695744000000, transactions=2404, otc=None)
Agg(open=20.785, high=20.8099, low=20.69, close=20.7799, volume=693249, vwap=20.7584, timestamp=1695747600000, transactions=3924, otc=None)
Agg(open=20.7706, high=20.7742, low=20.54, close=20.5775, volume=528292, vwap=20.6056, timestamp=1695751200000, transactions=3137, otc=None)
Agg(open=20.57, high=20.65, low=20.56, close=20.58, volume=675030, vwap=20.6017, timestamp=1695754800000, transactions=5279, otc=None)
Agg(open=20.58, high=20.58, low=20.58, close=20.58, volume=26867, vwap=20.58, timestamp=1695758400000, transactions=22, otc=None)
Agg(open=20.9, high=20.9, low=20.9, close=20.9, volume=200, vwap=20.9, timestamp=1695816000000, transactions=1, otc=None)
Agg(open=20.89, high=21.24, low=20.88, close=21.21, volume=451373, vwap=21.022, timestamp=1695819600000, transactions=3881, otc=None)
Agg(open=21.2, high=21.61, low=21.2, close=21.465, volume=1181378.0, vwap=21.3675, timestamp=1695823200000, transactions=6927, otc=None)
Agg(open=21.45, high=21.675, low=21.45, close=21.6, volume=470053, vwap=21.6154, timestamp=1695826800000, transactions=3863, otc=None)
Agg(open=21.6, high=21.62, low=21.51, close=21.545, volume=283916, vwap=21.5762, timestamp=1695830400000, transactions=2526, otc=None)
Agg(open=21.55, high=21.615, low=21.375, close=21.53, volume=811483, vwap=21.4689, timestamp=1695834000000, transactions=4341, otc=None)
Agg(open=21.535, high=21.66, low=21.475, close=21.61, volume=469018, vwap=21.5806, timestamp=1695837600000, transactions=3476, otc=None)
Agg(open=21.61, high=21.71, low=21.465, close=21.55, volume=1016448.0, vwap=21.5707, timestamp=1695841200000, transactions=6904, otc=None)
Agg(open=21.54, high=21.7, low=21.54, close=21.7, volume=25987, vwap=21.5483, timestamp=1695844800000, transactions=34, otc=None)
Agg(open=21.75, high=21.75, low=21.75, close=21.75, volume=1000, vwap=21.75, timestamp=1695848400000, transactions=2, otc=None)
Agg(open=21.7, high=21.75, low=21.7, close=21.75, volume=735, vwap=21.734, timestamp=1695852000000, transactions=4, otc=None)
Agg(open=21.75, high=21.75, low=21.66, close=21.66, volume=2647, vwap=21.7075, timestamp=1695855600000, transactions=7, otc=None)
Agg(open=21.71, high=21.71, low=21.71, close=21.71, volume=200, vwap=21.71, timestamp=1695898800000, transactions=2, otc=None)
Agg(open=21.78, high=21.85, low=21.6, close=21.6, volume=5134, vwap=21.7312, timestamp=1695902400000, transactions=34, otc=None)
Agg(open=21.58, high=21.64, low=21.37, close=21.595, volume=332599, vwap=21.5177, timestamp=1695906000000, transactions=2790, otc=None)
Agg(open=21.59, high=21.68, low=21.4694, close=21.485, volume=448762, vwap=21.587, timestamp=1695909600000, transactions=4246, otc=None)
Agg(open=21.4801, high=21.67, low=21.47, close=21.615, volume=558238, vwap=21.5932, timestamp=1695913200000, transactions=3917, otc=None)
Agg(open=21.61, high=21.615, low=21.4401, close=21.46, volume=305334, vwap=21.507, timestamp=1695916800000, transactions=2807, otc=None)
Agg(open=21.47, high=21.48, low=21.17, close=21.21, volume=391889, vwap=21.2911, timestamp=1695920400000, transactions=4275, otc=None)
Agg(open=21.21, high=21.335, low=21.19, close=21.32, volume=271296, vwap=21.2457, timestamp=1695924000000, transactions=3687, otc=None)
Agg(open=21.32, high=21.34, low=21.165, close=21.23, volume=863987, vwap=21.2392, timestamp=1695927600000, transactions=8261, otc=None)
Agg(open=21.23, high=21.23, low=21.23, close=21.23, volume=21970, vwap=21.23, timestamp=1695931200000, transactions=21, otc=None)
Agg(open=21.34, high=21.34, low=21.33, close=21.33, volume=700, vwap=21.3336, timestamp=1695934800000, transactions=2, otc=None)
Agg(open=21.18, high=21.315, low=21.03, close=21.085, volume=347099, vwap=21.158, timestamp=1695992400000, transactions=2901, otc=None)
Agg(open=21.1, high=21.135, low=20.92, close=20.99, volume=615089, vwap=21.0398, timestamp=1695996000000, transactions=5447, otc=None)
Agg(open=21, high=21.29, low=20.88, close=21.075, volume=566786, vwap=21.1275, timestamp=1695999600000, transactions=4844, otc=None)
Agg(open=21.07, high=21.29, low=21.05, close=21.16, volume=502102, vwap=21.2021, timestamp=1696003200000, transactions=3935, otc=None)
Agg(open=21.16, high=21.16, low=20.8844, close=20.945, volume=402346, vwap=21.0139, timestamp=1696006800000, transactions=3003, otc=None)
Agg(open=20.95, high=21.065, low=20.87, close=21.06, volume=389176, vwap=20.9405, timestamp=1696010400000, transactions=3486, otc=None)
Agg(open=21.07, high=21.11, low=20.83, close=20.9, volume=903390, vwap=20.9222, timestamp=1696014000000, transactions=7771, otc=None)
Agg(open=20.9, high=21.74, low=20.9, close=21.74, volume=122561, vwap=20.9008, timestamp=1696017600000, transactions=20, otc=None)
Agg(open=20.93, high=20.93, low=20.93, close=20.93, volume=500, vwap=20.93, timestamp=1696021200000, transactions=1, otc=None)
Agg(open=20.9, high=20.9, low=20.9, close=20.9, volume=200, vwap=20.9, timestamp=1696024800000, transactions=1, otc=None)
Agg(open=20.91, high=20.91, low=20.91, close=20.91, volume=496, vwap=20.91, timestamp=1696028400000, transactions=4, otc=None)
