Agg(open=12.22, high=12.22, low=12.22, close=12.22, volume=216, vwap=12.2215, timestamp=1678698000000, transactions=2, otc=None)
Agg(open=12.3, high=12.3, low=12.3, close=12.3, volume=102, vwap=12.2992, timestamp=1678705200000, transactions=3, otc=None)
Agg(open=12.29, high=12.29, low=12.02, close=12.04, volume=9111, vwap=12.0616, timestamp=1678708800000, transactions=134, otc=None)
Agg(open=12.05, high=12.45, low=11.78, close=11.9, volume=692718, vwap=11.9184, timestamp=1678712400000, transactions=5474, otc=None)
Agg(open=11.9, high=11.9799, low=11.785, close=11.95, volume=918203, vwap=11.8942, timestamp=1678716000000, transactions=9470, otc=None)
Agg(open=11.95, high=12.26, low=11.93, close=12.085, volume=1067258.0, vwap=12.0916, timestamp=1678719600000, transactions=9884, otc=None)
Agg(open=12.09, high=12.16, low=11.8725, close=11.91, volume=589577, vwap=11.9825, timestamp=1678723200000, transactions=5853, otc=None)
Agg(open=11.905, high=11.99, low=11.825, close=11.965, volume=480448, vwap=11.8896, timestamp=1678726800000, transactions=4837, otc=None)
Agg(open=11.965, high=12.04, low=11.94, close=11.975, volume=586972, vwap=11.9919, timestamp=1678730400000, transactions=6117, otc=None)
Agg(open=11.975, high=11.995, low=11.81, close=11.82, volume=1390289.0, vwap=11.8691, timestamp=1678734000000, transactions=12800, otc=None)
Agg(open=11.82, high=12.07, low=11.82, close=12.01, volume=104249, vwap=11.8358, timestamp=1678737600000, transactions=89, otc=None)
Agg(open=12.02, high=12.02, low=12.02, close=12.02, volume=1600, vwap=12.02, timestamp=1678741200000, transactions=3, otc=None)
Agg(open=12.02, high=12.29, low=12.02, close=12.29, volume=692, vwap=12.098, timestamp=1678744800000, transactions=2, otc=None)
Agg(open=12.29, high=12.29, low=12.12, close=12.2499, volume=1100, vwap=12.195, timestamp=1678748400000, transactions=5, otc=None)
Agg(open=12.14, high=12.19, low=12.14, close=12.19, volume=1200, vwap=12.185, timestamp=1678791600000, transactions=13, otc=None)
Agg(open=12.29, high=12.29, low=12.05, close=12.15, volume=4492, vwap=12.1434, timestamp=1678795200000, transactions=22, otc=None)
Agg(open=12.2, high=12.48, low=12.2, close=12.28, volume=568325, vwap=12.3004, timestamp=1678798800000, transactions=4315, otc=None)
Agg(open=12.285, high=12.4199, low=12.245, close=12.29, volume=658033, vwap=12.3515, timestamp=1678802400000, transactions=6684, otc=None)
Agg(open=12.29, high=12.425, low=12.29, close=12.355, volume=431392, vwap=12.363, timestamp=1678806000000, transactions=4568, otc=None)
Agg(open=12.36, high=12.42, low=12.29, close=12.305, volume=360639, vwap=12.3564, timestamp=1678809600000, transactions=4047, otc=None)
Agg(open=12.3, high=12.32, low=12.14, close=12.2086, volume=496004, vwap=12.2127, timestamp=1678813200000, transactions=5611, otc=None)
Agg(open=12.21, high=12.22, low=12.09, close=12.145, volume=453447, vwap=12.1469, timestamp=1678816800000, transactions=4829, otc=None)
Agg(open=12.15, high=12.2, low=12.055, close=12.18, volume=1112868.0, vwap=12.137, timestamp=1678820400000, transactions=9769, otc=None)
Agg(open=12.18, high=12.18, low=12.05, close=12.18, volume=141386, vwap=12.1798, timestamp=1678824000000, transactions=58, otc=None)
Agg(open=11.83, high=11.83, low=11.78, close=11.78, volume=4971, vwap=11.8065, timestamp=1678874400000, transactions=22, otc=None)
Agg(open=12.02, high=12.02, low=11.79, close=11.8, volume=4934, vwap=11.9045, timestamp=1678878000000, transactions=49, otc=None)
Agg(open=11.87, high=11.87, low=11.85, close=11.8599, volume=2253, vwap=11.8564, timestamp=1678881600000, transactions=18, otc=None)
Agg(open=11.9, high=12.25, low=11.755, close=11.76, volume=943220, vwap=11.9305, timestamp=1678885200000, transactions=5764, otc=None)
Agg(open=11.765, high=12.075, low=11.75, close=12.035, volume=689739, vwap=11.9301, timestamp=1678888800000, transactions=6773, otc=None)
Agg(open=12.04, high=12.125, low=11.965, close=11.99, volume=390382, vwap=12.0374, timestamp=1678892400000, transactions=4541, otc=None)
Agg(open=11.995, high=12.015, low=11.905, close=11.94, volume=427149, vwap=11.9652, timestamp=1678896000000, transactions=4871, otc=None)
Agg(open=11.93, high=12.03, low=11.9, close=12.01, volume=391434, vwap=11.9519, timestamp=1678899600000, transactions=3985, otc=None)
Agg(open=12.02, high=12.225, low=11.96, close=12.15, volume=799461, vwap=12.118, timestamp=1678903200000, transactions=7341, otc=None)
Agg(open=12.16, high=12.22, low=12.115, close=12.215, volume=796809, vwap=12.1699, timestamp=1678906800000, transactions=8448, otc=None)
Agg(open=12.2, high=12.6197, low=12.12, close=12.12, volume=89406, vwap=12.2049, timestamp=1678910400000, transactions=69, otc=None)
Agg(open=12.2001, high=12.5, low=12.2, close=12.2, volume=648, vwap=12.3094, timestamp=1678968000000, transactions=15, otc=None)
Agg(open=12.03, high=12.11, low=11.905, close=11.94, volume=250550, vwap=11.9896, timestamp=1678971600000, transactions=2237, otc=None)
Agg(open=11.935, high=11.96, low=11.675, close=11.885, volume=979096, vwap=11.7764, timestamp=1678975200000, transactions=7997, otc=None)
Agg(open=11.885, high=11.9, low=11.78, close=11.84, volume=613608, vwap=11.8422, timestamp=1678978800000, transactions=6121, otc=None)
Agg(open=11.84, high=11.8654, low=11.72, close=11.86, volume=521386, vwap=11.7886, timestamp=1678982400000, transactions=4988, otc=None)
Agg(open=11.87, high=11.95, low=11.78, close=11.815, volume=657888, vwap=11.8431, timestamp=1678986000000, transactions=5631, otc=None)
Agg(open=11.82, high=11.84, low=11.755, close=11.79, volume=488294, vwap=11.7991, timestamp=1678989600000, transactions=4841, otc=None)
Agg(open=11.79, high=11.82, low=11.74, close=11.76, volume=1289015.0, vwap=11.7729, timestamp=1678993200000, transactions=9156, otc=None)
Agg(open=11.76, high=11.94, low=11.76, close=11.88, volume=98137, vwap=11.7608, timestamp=1678996800000, transactions=45, otc=None)
Agg(open=11.87, high=11.87, low=11.712102, close=11.712102, volume=5562, vwap=11.7236, timestamp=1679000400000, transactions=3, otc=None)
Agg(open=11.76, high=11.76, low=11.76, close=11.76, volume=200, vwap=11.768, timestamp=1679007600000, transactions=7, otc=None)
Agg(open=11.95, high=11.95, low=11.76, close=11.76, volume=2171, vwap=11.8011, timestamp=1679050800000, transactions=10, otc=None)
Agg(open=11.75, high=11.84, low=11.64, close=11.64, volume=2882, vwap=11.706, timestamp=1679054400000, transactions=53, otc=None)
Agg(open=11.64, high=11.69, low=11.46, close=11.51, volume=943610, vwap=11.5966, timestamp=1679058000000, transactions=4138, otc=None)
Agg(open=11.52, high=11.6, low=11.38, close=11.405, volume=449556, vwap=11.4757, timestamp=1679061600000, transactions=5479, otc=None)
Agg(open=11.4012, high=11.5295, low=11.36, close=11.485, volume=454677, vwap=11.4522, timestamp=1679065200000, transactions=4000, otc=None)
Agg(open=11.4825, high=11.585, low=11.47, close=11.515, volume=284309, vwap=11.5316, timestamp=1679068800000, transactions=3181, otc=None)
Agg(open=11.515, high=11.565, low=11.44, close=11.46, volume=376178, vwap=11.5084, timestamp=1679072400000, transactions=3373, otc=None)
Agg(open=11.46, high=11.475, low=11.34, close=11.44, volume=458068, vwap=11.3914, timestamp=1679076000000, transactions=4403, otc=None)
Agg(open=11.44, high=11.46, low=11.37, close=11.4, volume=1299639.0, vwap=11.4049, timestamp=1679079600000, transactions=9563, otc=None)
Agg(open=11.39, high=11.39, low=11.39, close=11.39, volume=2658937.0, vwap=11.39, timestamp=1679083200000, transactions=86, otc=None)
Agg(open=11.67, high=11.67, low=11.67, close=11.67, volume=1316, vwap=11.67, timestamp=1679086800000, transactions=8, otc=None)
Agg(open=11.87, high=11.87, low=11.87, close=11.87, volume=100, vwap=11.87, timestamp=1679090400000, transactions=1, otc=None)
Agg(open=11.42, high=11.42, low=11.36, close=11.37, volume=347, vwap=11.3832, timestamp=1679094000000, transactions=8, otc=None)
