Agg(open=3.9981, high=4, low=3.9981, close=4, volume=310, vwap=3.9988, timestamp=1683547200000, transactions=4, otc=None)
Agg(open=3.94, high=3.96, low=3.9, close=3.92, volume=118030, vwap=3.9249, timestamp=1683550800000, transactions=390, otc=None)
Agg(open=3.92, high=3.93, low=3.885, close=3.91, volume=108502, vwap=3.9053, timestamp=1683554400000, transactions=566, otc=None)
Agg(open=3.91, high=3.915, low=3.8912, close=3.895, volume=52356, vwap=3.9016, timestamp=1683558000000, transactions=258, otc=None)
Agg(open=3.895, high=3.9, low=3.88, close=3.9, volume=55622, vwap=3.8872, timestamp=1683561600000, transactions=279, otc=None)
Agg(open=3.8973, high=3.9175, low=3.895, close=3.91, volume=50112, vwap=3.9063, timestamp=1683565200000, transactions=256, otc=None)
Agg(open=3.9068, high=3.9175, low=3.89, close=3.91, volume=88517, vwap=3.909, timestamp=1683568800000, transactions=287, otc=None)
Agg(open=3.91, high=3.93, low=3.89, close=3.93, volume=224828, vwap=3.911, timestamp=1683572400000, transactions=813, otc=None)
Agg(open=3.93, high=3.93, low=3.93, close=3.93, volume=100, vwap=3.93, timestamp=1683576000000, transactions=1, otc=None)
Agg(open=3.94, high=3.94, low=3.94, close=3.94, volume=200, vwap=3.94, timestamp=1683579600000, transactions=1, otc=None)
Agg(open=3.99, high=3.99, low=3.99, close=3.99, volume=500, vwap=3.99, timestamp=1683586800000, transactions=1, otc=None)
Agg(open=3.99, high=4.05, low=3.99, close=4.05, volume=1518, vwap=4.044, timestamp=1683619200000, transactions=8, otc=None)
Agg(open=4.05, high=4.05, low=4.05, close=4.05, volume=1700, vwap=4.05, timestamp=1683622800000, transactions=2, otc=None)
Agg(open=4.03, high=4.03, low=4.02, close=4.02, volume=600, vwap=4.0283, timestamp=1683630000000, transactions=2, otc=None)
Agg(open=4.03, high=4.03, low=4, close=4, volume=4882, vwap=4.0145, timestamp=1683633600000, transactions=9, otc=None)
Agg(open=4, high=4, low=3.93, close=3.99, volume=144370, vwap=3.9669, timestamp=1683637200000, transactions=613, otc=None)
Agg(open=3.99, high=4.02, low=3.96, close=4.01, volume=276645, vwap=3.9905, timestamp=1683640800000, transactions=839, otc=None)
Agg(open=4.01, high=4.075, low=4.005, close=4.07, volume=247815, vwap=4.0372, timestamp=1683644400000, transactions=718, otc=None)
Agg(open=4.07, high=4.15, low=4.07, close=4.125, volume=275178, vwap=4.1142, timestamp=1683648000000, transactions=740, otc=None)
Agg(open=4.125, high=4.14, low=4.1, close=4.115, volume=167980, vwap=4.1138, timestamp=1683651600000, transactions=545, otc=None)
Agg(open=4.12, high=4.17, low=4.11, close=4.15, volume=319750, vwap=4.1404, timestamp=1683655200000, transactions=1107, otc=None)
Agg(open=4.155, high=4.175, low=4.1414, close=4.17, volume=691892, vwap=4.16, timestamp=1683658800000, transactions=1504, otc=None)
Agg(open=4.17, high=4.17, low=4.17, close=4.17, volume=100, vwap=4.17, timestamp=1683662400000, transactions=1, otc=None)
Agg(open=4.1994, high=4.2, low=4.1994, close=4.2, volume=985, vwap=4.1997, timestamp=1683666000000, transactions=4, otc=None)
Agg(open=4.14, high=4.19, low=4.14, close=4.19, volume=2291, vwap=4.1638, timestamp=1683720000000, transactions=8, otc=None)
Agg(open=4.2, high=4.24, low=4.17, close=4.2, volume=161949, vwap=4.2046, timestamp=1683723600000, transactions=537, otc=None)
Agg(open=4.2, high=4.21, low=4.13, close=4.14, volume=237356, vwap=4.1682, timestamp=1683727200000, transactions=768, otc=None)
Agg(open=4.14, high=4.18, low=4.135, close=4.145, volume=163868, vwap=4.1547, timestamp=1683730800000, transactions=524, otc=None)
Agg(open=4.145, high=4.185, low=4.14, close=4.17, volume=167754, vwap=4.1675, timestamp=1683734400000, transactions=606, otc=None)
Agg(open=4.17, high=4.17, low=4.1201, close=4.135, volume=119267, vwap=4.148, timestamp=1683738000000, transactions=564, otc=None)
Agg(open=4.14, high=4.16, low=4.1301, close=4.16, volume=57430, vwap=4.1467, timestamp=1683741600000, transactions=388, otc=None)
Agg(open=4.155, high=4.19, low=4.155, close=4.19, volume=393529, vwap=4.1794, timestamp=1683745200000, transactions=1267, otc=None)
Agg(open=4.19, high=4.19, low=4.18, close=4.18, volume=624, vwap=4.188, timestamp=1683748800000, transactions=2, otc=None)
Agg(open=4.16, high=4.16, low=4.16, close=4.16, volume=700, vwap=4.16, timestamp=1683806400000, transactions=2, otc=None)
Agg(open=4.15, high=4.2, low=4.11, close=4.13, volume=103093, vwap=4.1705, timestamp=1683810000000, transactions=351, otc=None)
Agg(open=4.1219, high=4.13, low=4.06, close=4.065, volume=126286, vwap=4.0841, timestamp=1683813600000, transactions=375, otc=None)
Agg(open=4.065, high=4.075, low=4.04, close=4.045, volume=126924, vwap=4.0587, timestamp=1683817200000, transactions=407, otc=None)
Agg(open=4.0498, high=4.055, low=3.98, close=3.98, volume=269343, vwap=4.0363, timestamp=1683820800000, transactions=600, otc=None)
Agg(open=3.98, high=3.99, low=3.95, close=3.955, volume=206284, vwap=3.9686, timestamp=1683824400000, transactions=597, otc=None)
Agg(open=3.955, high=3.96, low=3.93, close=3.945, volume=193539, vwap=3.944, timestamp=1683828000000, transactions=535, otc=None)
Agg(open=3.945, high=3.985, low=3.94, close=3.97, volume=561265, vwap=3.9658, timestamp=1683831600000, transactions=1409, otc=None)
Agg(open=4, high=4, low=3.99, close=3.99, volume=1100, vwap=3.9948, timestamp=1683889200000, transactions=4, otc=None)
Agg(open=3.99, high=3.99, low=3.98, close=3.98, volume=11508, vwap=3.9823, timestamp=1683892800000, transactions=4, otc=None)
Agg(open=4.01, high=4.0999, low=4.01, close=4.09, volume=71057, vwap=4.0449, timestamp=1683896400000, transactions=308, otc=None)
Agg(open=4.08, high=4.085, low=4.04, close=4.055, volume=191338, vwap=4.0647, timestamp=1683900000000, transactions=773, otc=None)
Agg(open=4.055, high=4.06, low=4.0301, close=4.04, volume=220342, vwap=4.0457, timestamp=1683903600000, transactions=724, otc=None)
Agg(open=4.045, high=4.045, low=4.02, close=4.035, volume=346151, vwap=4.0338, timestamp=1683907200000, transactions=848, otc=None)
Agg(open=4.03, high=4.08, low=4.03, close=4.065, volume=217889, vwap=4.0621, timestamp=1683910800000, transactions=636, otc=None)
Agg(open=4.065, high=4.09, low=4.055, close=4.075, volume=124439, vwap=4.0735, timestamp=1683914400000, transactions=649, otc=None)
Agg(open=4.07, high=4.115, low=4.07, close=4.1, volume=259398, vwap=4.0969, timestamp=1683918000000, transactions=1221, otc=None)
Agg(open=4.02, high=4.13, low=4.02, close=4.13, volume=1705, vwap=4.0734, timestamp=1683921600000, transactions=4, otc=None)
Agg(open=4.17, high=4.18, low=4.17, close=4.18, volume=600, vwap=4.1767, timestamp=1683932400000, transactions=3, otc=None)
